Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-05,3.68,3.93,3.66,3.85,125781,0.17,0.27,4.42,7.01,0.14,3.95,3.83,-0.09,-0.07,-0.02,31512750,23.3,53.33,0.0,1.0,53.33,Weak Buy Signal,4.75,3.95,3.16,0.4,50.19,Target Volume,Expected Range,21.1,Absent or Weak Trend
2023-07-03,3.64,3.8,3.55,3.7,19986,0.06,0.25,1.62,6.76,0.12,3.95,3.83,-0.11,-0.07,-0.04,31386969,22.58,55.0,0.0,1.0,55.0,Weak Buy Signal,4.75,3.95,3.15,0.41,49.68,Target Volume,Expected Range,21.06,Absent or Weak Trend
2023-06-30,3.55,3.68,3.5,3.61,44367,0.06,0.18,1.66,4.99,0.09,3.94,3.83,-0.11,-0.06,-0.05,31366983,21.91,56.67,1.67,1.0,55.0,Weak Buy Signal,4.77,3.94,3.1,0.42,49.37,Target Volume,Expected Range,21.04,Absent or Weak Trend
2023-06-29,3.51,3.51,3.28,3.49,60007,-0.02,0.23,-0.57,6.59,0.12,3.93,3.84,-0.1,-0.04,-0.06,31322616,20.96,58.33,0.0,1.0,58.33,Weak Buy Signal,4.77,3.93,3.09,0.43,48.97,Target Volume,Expected Range,21.02,Absent or Weak Trend
2023-06-28,3.97,3.99,3.47,3.51,309166,-0.46,0.52,-13.11,14.76,0.26,3.95,3.85,-0.08,-0.03,-0.05,31382623,22.6,60.0,0.0,1.0,60.0,Weak Buy Signal,4.81,3.95,3.1,0.43,49.03,Target Volume,Expected Range,21.02,Absent or Weak Trend
2023-06-27,3.81,3.89,3.66,3.77,29079,-0.04,0.23,-1.06,6.1,0.12,3.94,3.86,-0.05,-0.02,-0.03,31691789,24.25,61.67,1.67,1.0,60.0,Weak Buy Signal,4.85,3.94,3.02,0.46,49.87,Target Volume,Expected Range,21.0,Absent or Weak Trend
2023-06-26,3.98,4.0,3.77,3.82,28540,-0.16,0.23,-4.19,6.02,0.12,3.91,3.86,-0.04,-0.01,-0.03,31720868,25.22,63.33,3.33,1.0,60.0,Weak Buy Signal,4.92,3.91,2.91,0.51,50.04,Target Volume,Expected Range,20.94,Absent or Weak Trend
2023-06-23,3.96,3.97,3.76,3.94,22702,-0.02,0.21,-0.51,5.33,0.11,3.89,3.87,-0.03,-0.0,-0.03,31749408,25.06,65.0,5.0,1.0,60.0,Weak Buy Signal,4.97,3.89,2.81,0.55,50.43,Target Volume,Expected Range,20.87,Absent or Weak Trend
2023-06-22,3.9,4.03,3.82,3.93,37356,0.03,0.21,0.76,5.23,0.1,3.86,3.86,-0.03,0.01,-0.04,31726706,25.57,66.67,6.67,1.0,60.0,Weak Buy Signal,5.01,3.86,2.72,0.59,50.39,Target Volume,Expected Range,20.8,Absent or Weak Trend
2023-06-21,3.95,3.99,3.82,3.86,27581,-0.09,0.17,-2.33,4.4,0.09,3.84,3.86,-0.03,0.01,-0.04,31689350,25.39,68.33,8.33,1.0,60.0,Weak Buy Signal,5.04,3.84,2.64,0.63,50.18,Target Volume,Expected Range,20.72,Absent or Weak Trend
2023-06-20,4.03,4.04,3.85,3.94,38640,-0.09,0.19,-2.28,4.82,0.09,3.82,3.86,-0.02,0.03,-0.04,31716931,25.64,70.0,10.0,1.0,60.0,Weak Buy Signal,5.07,3.82,2.56,0.66,50.42,Target Volume,Expected Range,20.64,Absent or Weak Trend
2023-06-16,4.05,4.05,3.9,3.96,23518,-0.09,0.15,-2.27,3.9,0.08,3.79,3.86,-0.01,0.04,-0.05,31755571,26.02,71.67,11.67,1.0,60.0,Weak Buy Signal,5.09,3.79,2.49,0.69,50.49,Target Volume,Expected Range,20.55,Absent or Weak Trend
2023-06-15,4.01,4.03,3.83,3.95,44777,-0.06,0.2,-1.52,4.95,0.1,3.77,3.86,-0.01,0.05,-0.06,31732053,25.92,73.33,13.33,1.0,60.0,Weak Buy Signal,5.1,3.77,2.43,0.71,50.46,Target Volume,Expected Range,20.46,Absent or Weak Trend
2023-06-14,4.1,4.1,3.91,3.91,46210,-0.19,0.19,-4.86,4.86,0.09,3.75,3.85,-0.0,0.06,-0.06,31687276,26.53,75.0,15.0,1.0,60.0,Weak Buy Signal,5.11,3.75,2.38,0.73,50.34,Target Volume,Expected Range,20.37,Absent or Weak Trend
