Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-21,20.75,20.75,20.57,20.61,700365,-0.14,0.18,-0.68,0.87,0.09,21.49,21.33,-0.18,-0.1,-0.09,231781063,2.63,25.0,5.0,1.0,20.0,Weak Buy Signal,22.45,21.49,20.54,0.09,48.79,Target Volume,Expected Range,5.3,Absent or Weak Trend
2023-07-20,21.03,21.06,20.56,20.68,861508,-0.35,0.49,-1.69,2.39,0.25,21.5,21.35,-0.14,-0.07,-0.07,232481428,2.63,26.67,6.67,1.0,20.0,Weak Buy Signal,22.43,21.5,20.56,0.09,49.04,Target Volume,Expected Range,5.34,Absent or Weak Trend
2023-07-19,21.3,21.34,20.97,21.0,688543,-0.3,0.37,-1.43,1.76,0.19,21.51,21.37,-0.1,-0.06,-0.04,233342936,0.58,28.33,8.33,1.0,20.0,Weak Buy Signal,22.42,21.51,20.59,0.09,50.23,Target Volume,Expected Range,5.39,Absent or Weak Trend
2023-07-18,21.24,21.36,21.12,21.15,1105641,-0.09,0.25,-0.43,1.16,0.12,21.51,21.39,-0.07,-0.05,-0.02,234031479,1.77,30.0,10.0,1.0,20.0,Weak Buy Signal,22.42,21.51,20.6,0.08,50.79,Target Volume,Expected Range,5.47,Absent or Weak Trend
2023-07-17,21.37,21.37,20.96,21.27,1151184,-0.1,0.41,-0.47,1.93,0.21,21.51,21.39,-0.05,-0.04,-0.0,235137120,1.77,31.67,11.67,1.0,20.0,Weak Buy Signal,22.42,21.51,20.59,0.09,51.24,Target Volume,Expected Range,5.53,Absent or Weak Trend
2023-07-14,21.79,21.81,21.39,21.45,1614727,-0.34,0.42,-1.59,1.96,0.21,21.5,21.4,-0.03,-0.04,0.01,236288304,5.32,33.33,13.33,1.0,20.0,Weak Buy Signal,22.43,21.5,20.57,0.09,51.93,Target Volume,Expected Range,5.6,Absent or Weak Trend
2023-07-13,21.44,21.76,21.44,21.75,1392678,0.31,0.32,1.43,1.47,0.16,21.5,21.4,-0.03,-0.04,0.02,237903031,5.74,35.0,15.0,1.0,20.0,Weak Buy Signal,22.43,21.5,20.57,0.09,53.09,Target Volume,Expected Range,5.6,Absent or Weak Trend
2023-07-12,21.84,22.26,21.4,21.76,1776830,-0.08,0.86,-0.37,3.95,0.43,21.5,21.38,-0.06,-0.05,-0.01,236510353,5.74,36.67,16.67,1.0,20.0,Weak Buy Signal,22.42,21.5,20.57,0.09,52.19,Target Volume,Expected Range,5.6,Absent or Weak Trend
2023-07-11,21.39,22.06,21.3,21.99,3430806,0.6,0.75,2.73,3.43,0.38,21.49,21.38,-0.06,-0.05,-0.02,238287183,4.27,38.33,18.33,1.0,20.0,Weak Buy Signal,22.42,21.49,20.56,0.09,53.08,Target Volume,Expected Range,5.6,Absent or Weak Trend
2023-07-10,21.55,21.6,21.35,21.38,1996888,-0.17,0.25,-0.8,1.19,0.13,21.48,21.37,-0.1,-0.04,-0.05,234856377,0.83,40.0,20.0,1.0,20.0,Weak Buy Signal,22.41,21.48,20.56,0.09,50.91,Target Volume,Expected Range,5.62,Absent or Weak Trend
