Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-12,338.8,339.19,334.42,336.85,366095,-1.95,4.77,-0.58,1.42,2.38,317.27,318.1,3.07,2.58,0.5,180571314,12.4,73.33,23.33,1.0,50.0,Weak Buy Signal,341.69,317.27,292.86,0.15,57.0,Target Volume,Expected Range,12.55,Absent or Weak Trend
2023-07-11,332.52,334.58,330.26,333.72,341293,1.2,4.32,0.36,1.3,2.16,316.95,317.47,2.44,2.45,-0.01,180205219,10.54,75.0,25.0,1.0,50.0,Weak Buy Signal,340.82,316.95,293.07,0.15,56.4,Target Volume,Expected Range,12.56,Absent or Weak Trend
2023-07-10,320.91,332.97,320.91,332.21,589917,11.3,12.06,3.4,3.63,6.03,316.72,316.91,1.91,2.45,-0.54,179863926,9.88,76.67,26.67,1.0,50.0,Weak Buy Signal,340.2,316.72,293.23,0.15,56.12,Target Volume,Expected Range,12.59,Absent or Weak Trend
2023-07-07,320.78,324.23,319.41,320.17,245341,-0.61,4.82,-0.19,1.51,2.41,316.45,316.4,1.36,2.59,-1.23,179274009,6.21,78.33,28.33,1.0,50.0,Weak Buy Signal,339.59,316.45,293.32,0.15,53.71,Target Volume,Expected Range,12.64,Absent or Weak Trend
2023-07-06,319.55,321.95,317.25,321.39,330971,1.84,4.7,0.57,1.46,2.35,316.48,316.27,1.87,2.9,-1.03,179519350,5.21,80.0,30.0,1.0,50.0,Weak Buy Signal,339.63,316.48,293.32,0.15,54.01,Target Volume,Expected Range,12.75,Absent or Weak Trend
2023-07-05,323.86,325.94,320.11,323.92,442969,0.06,5.83,0.02,1.8,2.91,316.48,316.09,2.37,3.15,-0.79,179850321,6.6,81.67,31.67,1.0,50.0,Weak Buy Signal,339.64,316.48,293.32,0.15,54.62,Target Volume,Expected Range,12.87,Absent or Weak Trend
2023-07-03,327.84,328.8,320.98,326.95,238218,-0.89,7.82,-0.27,2.39,3.91,316.45,315.83,2.71,3.35,-0.64,180293290,7.03,83.33,33.33,1.0,50.0,Weak Buy Signal,339.58,316.45,293.33,0.15,55.36,Target Volume,Expected Range,12.98,Absent or Weak Trend
2023-06-30,328.63,334.64,328.63,330.27,575834,1.64,6.01,0.5,1.82,3.0,316.39,315.45,2.8,3.51,-0.71,180531508,10.83,85.0,35.0,1.0,50.0,Weak Buy Signal,339.43,316.39,293.36,0.15,56.17,Target Volume,Expected Range,13.08,Absent or Weak Trend
2023-06-29,324.59,326.38,322.3,326.05,318967,1.46,4.08,0.45,1.25,2.04,316.37,314.95,2.53,3.69,-1.16,179955674,7.33,86.67,36.67,1.0,50.0,Weak Buy Signal,339.34,316.37,293.39,0.15,55.35,Target Volume,Expected Range,13.12,Absent or Weak Trend
2023-06-28,324.05,326.46,321.08,324.31,389595,0.26,5.38,0.08,1.66,2.69,316.42,314.57,2.58,3.98,-1.4,179636707,7.33,88.33,38.33,1.0,50.0,Weak Buy Signal,339.51,316.42,293.33,0.15,55.01,Target Volume,Expected Range,13.22,Absent or Weak Trend
2023-06-27,317.14,324.91,317.14,323.32,357101,6.18,7.77,1.91,2.4,3.89,316.56,314.24,2.79,4.33,-1.54,179247112,6.67,90.0,40.0,1.0,50.0,Weak Buy Signal,339.94,316.56,293.18,0.15,54.81,Target Volume,Expected Range,13.32,Absent or Weak Trend
2023-06-26,318.34,321.15,315.65,316.2,372595,-2.14,5.5,-0.68,1.74,2.75,316.61,313.94,3.12,4.71,-1.6,178890011,5.04,91.67,41.67,1.0,50.0,Weak Buy Signal,340.05,316.61,293.17,0.15,53.39,Target Volume,Expected Range,13.43,Absent or Weak Trend
2023-06-23,321.79,322.9,318.95,319.54,964939,-2.25,3.95,-0.7,1.23,1.97,316.67,313.86,4.21,5.11,-0.9,179262606,6.65,93.33,43.33,1.0,50.0,Weak Buy Signal,340.13,316.67,293.21,0.15,54.18,Target Volume,Expected Range,13.57,Absent or Weak Trend
2023-06-22,323.6,326.9,321.03,325.68,324678,2.08,5.88,0.64,1.8,2.94,316.64,313.67,5.2,5.34,-0.13,180227545,7.66,95.0,45.0,1.0,50.0,Weak Buy Signal,340.09,316.64,293.19,0.15,55.66,Target Volume,Expected Range,13.69,Absent or Weak Trend
2023-06-21,330.22,330.91,324.77,325.05,313666,-5.17,6.14,-1.59,1.89,3.07,316.5,313.26,5.77,5.37,0.41,179902867,9.51,96.67,46.67,1.0,50.0,Weak Buy Signal,339.83,316.5,293.17,0.15,55.54,Target Volume,Expected Range,13.79,Absent or Weak Trend
2023-06-20,329.86,336.04,328.62,331.31,371676,1.45,7.42,0.44,2.24,3.71,316.34,312.86,6.48,5.27,1.21,180216533,11.44,98.33,48.33,1.0,50.0,Weak Buy Signal,339.57,316.34,293.12,0.15,57.08,Target Volume,Expected Range,13.86,Absent or Weak Trend
2023-06-16,339.55,339.55,332.64,334.37,887072,-5.18,6.91,-1.55,2.07,3.46,316.06,312.23,6.65,4.96,1.69,180588209,13.5,100.0,50.0,1.0,50.0,Weak Buy Signal,338.96,316.06,293.16,0.14,57.85,Target Volume,Expected Range,13.9,Absent or Weak Trend
2023-06-15,331.67,338.65,330.7,336.81,397678,5.14,7.95,1.53,2.36,3.97,315.64,311.48,6.46,4.54,1.92,181475281,13.15,100.0,51.67,1.0,48.33,Weak Buy Signal,338.1,315.64,293.18,0.14,58.47,Target Volume,Expected Range,13.91,Absent or Weak Trend
2023-06-14,331.07,336.58,330.1,334.31,374687,3.24,6.48,0.97,1.94,3.24,315.27,310.63,5.87,4.06,1.81,181077603,12.34,98.33,53.33,1.0,45.0,Weak Buy Signal,337.05,315.27,293.49,0.14,58.02,Target Volume,Expected Range,13.92,Absent or Weak Trend
2023-06-13,332.98,336.64,330.51,333.23,475569,0.25,6.13,0.08,1.84,3.06,314.92,309.82,5.3,3.61,1.69,180702916,12.54,100.0,55.0,1.0,45.0,Weak Buy Signal,336.13,314.92,293.72,0.13,57.82,Target Volume,Expected Range,13.95,Absent or Weak Trend
2023-06-12,326.21,330.09,324.85,329.97,458240,3.76,5.24,1.14,1.59,2.62,314.56,309.03,4.59,3.19,1.4,180227347,9.97,18.33,56.67,-1.0,-38.33,Weak Sell Signal,335.24,314.56,293.87,0.13,57.23,Target Volume,Expected Range,13.97,Absent or Weak Trend
2023-06-09,318.74,326.89,318.5,325.53,663971,6.79,8.39,2.09,2.58,4.19,314.29,308.32,3.95,2.84,1.12,179769107,8.68,20.0,58.33,-1.0,-38.33,Weak Sell Signal,334.58,314.29,294.0,0.13,56.41,Target Volume,Expected Range,14.04,Absent or Weak Trend
2023-06-08,312.35,317.07,310.72,316.05,459065,3.7,6.35,1.17,2.01,3.18,314.01,307.74,3.54,2.56,0.98,179105136,4.55,21.67,60.0,-1.0,-38.33,Weak Sell Signal,334.14,314.01,293.89,0.13,54.59,Target Volume,Expected Range,14.13,Absent or Weak Trend
2023-06-07,324.57,325.99,308.17,312.85,701380,-11.72,17.82,-3.75,5.7,8.91,313.89,307.45,3.92,2.31,1.61,178646071,4.55,23.33,61.67,-1.0,-38.33,Weak Sell Signal,334.05,313.89,293.72,0.13,53.95,Target Volume,Expected Range,14.3,Absent or Weak Trend
2023-06-06,326.76,329.25,324.89,325.59,279177,-1.17,4.36,-0.36,1.34,2.18,313.72,307.27,4.68,1.91,2.76,179347451,12.96,25.0,63.33,-1.0,-38.33,Weak Sell Signal,334.08,313.72,293.35,0.13,57.1,Target Volume,Expected Range,14.46,Absent or Weak Trend
2023-06-05,321.89,327.59,321.89,326.02,448607,4.13,5.7,1.27,1.75,2.85,313.22,306.65,4.28,1.22,3.06,179626628,12.27,26.67,65.0,-1.0,-38.33,Weak Sell Signal,333.85,313.22,292.6,0.13,57.21,Target Volume,Expected Range,14.49,Absent or Weak Trend
