Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-21,1.3,1.3,1.2,1.2,27062,-0.1,0.1,-8.33,8.33,0.05,1.35,1.5,-0.1,-0.03,-0.07,116674908,14.46,55.0,3.33,1.0,51.67,Weak Buy Signal,2.27,1.35,0.44,1.35,41.93,Target Volume,Expected Range,,
2023-07-20,1.24,1.28,1.22,1.27,32595,0.03,0.06,2.36,4.72,0.03,1.35,1.51,-0.09,-0.01,-0.08,116701970,14.46,56.67,5.0,1.0,51.67,Weak Buy Signal,2.27,1.35,0.43,1.36,42.37,Target Volume,Expected Range,,
2023-07-19,1.28,1.31,1.23,1.25,53291,-0.03,0.08,-2.4,6.4,0.04,1.34,1.52,-0.08,0.01,-0.08,116669375,14.62,58.33,6.67,1.0,51.67,Weak Buy Signal,2.27,1.34,0.42,1.37,42.2,Target Volume,Expected Range,,
2023-07-18,1.33,1.38,1.22,1.28,90400,-0.05,0.15,-3.91,11.99,0.08,1.34,1.53,-0.06,0.03,-0.09,116722666,14.62,60.0,8.33,1.0,51.67,Weak Buy Signal,2.27,1.34,0.42,1.38,42.39,Target Volume,Expected Range,,
2023-07-17,1.47,1.47,1.35,1.36,65233,-0.1,0.12,-7.69,8.79,0.06,1.34,1.54,-0.04,0.05,-0.09,116813066,16.66,61.67,10.0,1.0,51.67,Weak Buy Signal,2.27,1.34,0.41,1.39,42.91,Target Volume,Expected Range,,
2023-07-14,1.42,1.47,1.4,1.44,105905,0.03,0.07,1.73,4.84,0.04,1.33,1.54,-0.02,0.07,-0.09,116878299,17.47,63.33,11.67,1.0,51.67,Weak Buy Signal,2.26,1.33,0.4,1.39,43.41,Target Volume,Expected Range,,
2023-07-13,1.34,1.53,1.33,1.43,317569,0.09,0.2,6.29,13.99,0.1,1.33,1.55,-0.0,0.09,-0.1,116772394,17.47,65.0,13.33,1.0,51.67,Weak Buy Signal,2.26,1.33,0.4,1.4,43.29,Target Volume,Expected Range,,
2023-07-12,1.33,1.38,1.31,1.33,259695,0.0,0.07,0.0,5.26,0.03,1.32,1.55,0.02,0.12,-0.1,116454825,15.77,66.67,15.0,1.0,51.67,Weak Buy Signal,2.26,1.32,0.39,1.41,42.48,Target Volume,Expected Range,,
2023-07-11,1.65,1.7,1.27,1.33,1113957,-0.32,0.43,-24.06,32.33,0.21,1.32,1.56,0.05,0.14,-0.09,116454825,15.77,68.33,16.67,1.0,51.67,Weak Buy Signal,2.25,1.32,0.39,1.42,42.48,Target Volume,Expected Range,,
2023-07-10,1.77,1.8,1.57,1.65,225736,-0.12,0.23,-7.27,13.72,0.11,1.31,1.57,0.1,0.17,-0.07,117568782,20.59,70.0,18.33,1.0,51.67,Weak Buy Signal,2.25,1.31,0.38,1.43,44.43,Target Volume,Expected Range,,
