Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-05,11.85,11.86,11.62,11.8,145254,-0.05,0.24,-0.42,2.08,0.12,-1
2023-07-03,12.16,12.18,11.77,11.88,115755,-0.28,0.41,-2.36,3.42,0.2,-1
2023-06-30,12.09,12.22,11.96,12.16,343661,0.07,0.25,0.58,2.1,0.13,1
2023-06-29,12.09,12.27,11.96,12.02,138706,-0.07,0.3,-0.58,2.54,0.15,-1
2023-06-28,11.75,12.19,11.65,12.1,157773,0.35,0.54,2.89,4.46,0.27,1
2023-06-27,11.66,11.93,11.51,11.81,169044,0.15,0.42,1.27,3.56,0.21,1
2023-06-26,11.55,11.77,11.28,11.59,270775,0.04,0.49,0.35,4.23,0.25,-1
2023-06-23,12.14,12.18,11.76,11.85,2586341,-0.29,0.42,-2.45,3.54,0.21,-1
2023-06-22,12.28,12.39,12.1,12.26,151035,-0.02,0.29,-0.16,2.37,0.15,-1
2023-06-21,12.04,12.39,11.9,12.3,186577,0.26,0.49,2.11,3.98,0.25,1
2023-06-20,11.57,12.08,11.57,12.04,207458,0.47,0.51,3.9,4.24,0.25,1
2023-06-16,11.54,11.72,11.26,11.55,322556,0.01,0.46,0.09,3.94,0.23,-1
2023-06-15,11.69,11.89,11.55,11.67,167226,-0.02,0.34,-0.17,2.91,0.17,-1
2023-06-14,12.14,12.24,11.75,11.76,119453,-0.38,0.49,-3.23,4.21,0.25,-1
2023-06-13,12.12,12.47,12.08,12.23,172430,0.11,0.39,0.9,3.16,0.19,1
2023-06-12,11.81,12.39,11.75,12.08,190956,0.27,0.64,2.24,5.3,0.32,1
2023-06-09,12.23,12.39,11.91,11.93,178386,-0.3,0.48,-2.51,4.02,0.24,-1
2023-06-08,12.8,12.88,12.21,12.23,146109,-0.57,0.66,-4.66,5.44,0.33,-1
2023-06-07,12.66,12.84,12.19,12.77,229239,0.11,0.65,0.86,5.09,0.33,1
2023-06-06,12.29,12.79,12.28,12.69,128538,0.4,0.51,3.15,4.02,0.25,1
2023-06-05,12.61,12.61,12.23,12.28,208030,-0.33,0.38,-2.69,3.09,0.19,-1
