Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-07,14.74,15.02,14.07,14.16,269172,-0.58,0.95,-4.1,6.72,0.48,16.5,16.06,-0.68,-0.63,-0.04,6207557,2.19,63.33,0.0,1.0,63.33,Weak Buy Signal,20.37,16.5,12.62,0.47,47.08,Target Volume,Expected Range,8.13,Absent or Weak Trend
2023-07-06,15.0,15.0,14.5,14.73,423746,-0.27,0.5,-1.83,3.39,0.25,16.5,16.12,-0.63,-0.62,-0.01,6476729,0.5,65.0,0.0,1.0,65.0,Weak Buy Signal,20.37,16.5,12.62,0.47,48.07,Target Volume,Expected Range,8.23,Absent or Weak Trend
2023-07-05,15.27,15.45,14.93,15.22,264097,-0.05,0.52,-0.33,3.42,0.26,16.49,16.17,-0.63,-0.62,-0.01,6900475,1.23,66.67,0.0,1.0,66.67,Weak Buy Signal,20.38,16.49,12.6,0.47,48.94,Target Volume,Expected Range,8.36,Absent or Weak Trend
2023-07-03,15.8,15.83,15.14,15.36,192587,-0.44,0.69,-2.86,4.49,0.34,16.47,16.2,-0.66,-0.62,-0.04,7164572,2.07,68.33,0.0,1.0,68.33,Weak Buy Signal,20.4,16.47,12.54,0.48,49.19,Target Volume,Expected Range,8.48,Absent or Weak Trend
2023-06-30,15.31,15.96,15.18,15.82,598458,0.51,0.78,3.22,4.93,0.39,16.44,16.23,-0.7,-0.61,-0.09,7357159,2.24,70.0,1.67,1.0,68.33,Weak Buy Signal,20.42,16.44,12.46,0.48,50.02,Target Volume,Expected Range,8.59,Absent or Weak Trend
2023-06-29,14.98,15.16,14.75,15.14,230756,0.16,0.41,1.06,2.71,0.21,16.4,16.25,-0.8,-0.58,-0.21,6758701,0.88,71.67,3.33,1.0,68.33,Weak Buy Signal,20.45,16.4,12.36,0.49,48.77,Target Volume,Expected Range,8.7,Absent or Weak Trend
2023-06-28,14.35,14.97,14.2,14.94,419248,0.59,0.77,3.95,5.15,0.39,16.38,16.28,-0.83,-0.53,-0.3,6527945,1.64,73.33,5.0,1.0,68.33,Weak Buy Signal,20.47,16.38,12.29,0.5,48.4,Target Volume,Expected Range,8.83,Absent or Weak Trend
2023-06-27,14.16,14.49,13.97,14.35,347661,0.19,0.52,1.32,3.62,0.26,16.37,16.33,-0.85,-0.46,-0.4,6108697,3.57,75.0,6.67,1.0,68.33,Weak Buy Signal,20.48,16.37,12.25,0.5,47.28,Target Volume,Expected Range,8.95,Absent or Weak Trend
2023-06-26,14.5,14.71,14.16,14.17,270726,-0.33,0.55,-2.33,3.88,0.28,16.35,16.4,-0.8,-0.36,-0.45,5761036,2.85,76.67,8.33,1.0,68.33,Weak Buy Signal,20.5,16.35,12.21,0.51,46.93,Target Volume,Expected Range,9.04,Absent or Weak Trend
2023-06-23,14.65,14.86,14.4,14.63,1342297,-0.02,0.46,-0.14,3.18,0.23,16.35,16.47,-0.71,-0.24,-0.46,6031762,1.95,78.33,10.0,1.0,68.33,Weak Buy Signal,20.51,16.35,12.19,0.51,47.72,Target Volume,Expected Range,9.15,Absent or Weak Trend
