Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-04,0.04,0.05,0.03,0.05,35679,0.01,0.01,14.04,27.86,0.01,,,-0.01,-0.01,-0.0,-1530108,,,,,,,,,,,,,,,
2023-08-03,0.04,0.05,0.03,0.03,140781,-0.01,0.02,-25.9,61.64,0.01,,,-0.01,-0.01,-0.0,-1565787,,,,,,,,,,,,,,,
2023-08-02,0.04,0.04,0.04,0.04,278,0.0,0.0,0.0,0.0,0.0,,,-0.01,-0.01,-0.0,-1425006,,,,,,,,,,,,,,,
2023-08-01,0.04,0.04,0.03,0.04,17142,0.01,0.01,19.27,25.69,0.01,,,-0.01,-0.01,-0.0,-1425006,,,,,,,,,,,,,,,
2023-07-31,0.05,0.05,0.03,0.03,345533,-0.02,0.02,-60.31,61.54,0.01,,,-0.01,-0.01,-0.0,-1442148,,,,,,,,,,,,,,,
2023-07-28,0.05,0.05,0.05,0.05,1300,0.0,0.0,8.26,8.26,0.0,,,-0.0,-0.01,0.0,-1096615,,,,,,,,,,,,,,,
2023-07-27,0.05,0.06,0.05,0.05,95979,0.0,0.01,0.8,25.8,0.01,,,-0.0,-0.01,0.0,-1097915,,,,,,,,,,,,,,,
2023-07-26,0.06,0.06,0.04,0.05,201759,-0.01,0.02,-16.94,32.46,0.01,,,,,,-1193894,,,,,,,,,,,,,,,
2023-07-25,0.05,0.06,0.05,0.06,16501,0.01,0.01,19.71,19.71,0.01,,,,,,-992135,,,,,,,,,,,,,,,
2023-07-24,0.06,0.06,0.05,0.06,14442,-0.0,0.01,-0.85,16.81,0.0,,,,,,-1008636,,,,,,,,,,,,,,,
2023-07-21,0.06,0.06,0.06,0.06,204,0.0,0.0,0.0,0.0,0.0,,,,,,-994194,,,,,,,,,,,,,,,
2023-07-20,0.06,0.06,0.05,0.06,41657,-0.01,0.01,-10.65,23.21,0.01,,,,,,-994398,,,,,,,,,,,,,,,
2023-07-19,0.05,0.06,0.05,0.06,53891,0.0,0.01,9.09,25.45,0.01,,,,,,-1036055,,,,,,,,,,,,,,,
2023-07-18,0.05,0.06,0.05,0.06,24146,0.01,0.01,14.04,14.04,0.0,,,,,,-982164,,,,,,,,,,,,,,,
