Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-06,1.07,1.07,0.94,0.96,1019728,-0.11,0.13,-11.46,13.53,0.06,-1
2023-07-05,1.06,1.12,1.01,1.06,1044108,0.0,0.11,0.0,10.38,0.06,-1
2023-07-03,0.94,1.06,0.93,1.06,786463,0.12,0.13,11.4,12.25,0.06,1
2023-06-30,1.02,1.02,0.94,0.95,1143381,-0.07,0.08,-7.69,8.45,0.04,-1
2023-06-29,0.85,1.0,0.85,0.98,1072004,0.13,0.15,13.0,15.02,0.07,1
2023-06-28,0.86,0.93,0.86,0.89,824689,0.03,0.07,3.1,7.89,0.04,1
2023-06-27,0.89,0.92,0.86,0.87,742830,-0.02,0.06,-2.19,6.97,0.03,-1
2023-06-26,0.86,0.94,0.86,0.9,1240889,0.04,0.08,3.92,8.91,0.04,1
2023-06-23,0.9,0.98,0.85,0.86,22136211,-0.04,0.13,-4.65,15.12,0.06,-1
2023-06-22,0.91,0.93,0.85,0.9,1702259,-0.01,0.08,-1.33,8.52,0.04,-1
2023-06-21,0.9,0.93,0.86,0.91,1395203,0.01,0.07,0.78,7.97,0.04,1
2023-06-20,0.96,0.98,0.88,0.9,1923077,-0.06,0.1,-6.27,10.67,0.05,-1
2023-06-16,1.04,1.04,0.93,0.99,2598542,-0.05,0.11,-5.47,11.1,0.05,-1
2023-06-15,0.96,1.02,0.93,1.01,1532812,0.05,0.09,4.95,8.9,0.04,1
2023-06-14,1.08,1.12,0.95,0.96,1644674,-0.12,0.17,-13.05,17.8,0.09,-1
2023-06-13,1.05,1.15,1.01,1.08,1535232,0.03,0.14,2.78,12.5,0.07,1
2023-06-12,0.95,1.02,0.95,1.01,1734179,0.06,0.07,5.94,6.93,0.04,1
2023-06-09,1.03,1.05,0.92,0.98,3854866,-0.05,0.14,-5.09,13.77,0.07,-1
2023-06-08,0.99,1.06,0.95,1.03,1449813,0.04,0.12,3.88,11.17,0.06,1
2023-06-07,1.0,1.14,0.97,0.98,1733059,-0.02,0.17,-2.0,17.2,0.08,-1
2023-06-06,1.02,1.04,0.98,1.04,1049907,0.02,0.06,1.92,5.76,0.03,-1
2023-06-05,1.04,1.05,0.97,1.05,828320,0.01,0.08,0.95,7.24,0.04,-1
2023-06-02,1.02,1.07,0.98,1.05,898291,0.03,0.09,2.86,8.57,0.05,1
