Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-04,20.59,20.81,20.55,20.64,11776,0.05,0.26,0.24,1.26,0.13,-1
2023-08-03,20.56,20.73,20.45,20.68,14704,0.12,0.28,0.58,1.35,0.14,1
2023-08-02,20.67,20.71,20.38,20.66,23236,-0.01,0.33,-0.05,1.6,0.17,-1
2023-08-01,20.89,20.89,20.65,20.71,31908,-0.18,0.24,-0.87,1.16,0.12,-1
2023-07-31,20.81,21.12,20.76,21.05,55785,0.24,0.36,1.14,1.71,0.18,-1
2023-07-28,21.02,21.15,20.9,21.15,17128,0.12,0.25,0.59,1.18,0.12,1
2023-07-27,21.29,21.29,20.9,21.13,24641,-0.16,0.39,-0.76,1.85,0.2,1
2023-07-26,20.88,21.02,20.84,20.94,24988,0.06,0.18,0.29,0.86,0.09,1
2023-07-25,20.76,20.79,20.66,20.79,22336,0.03,0.13,0.14,0.65,0.07,1
2023-07-24,20.53,20.73,20.52,20.72,12787,0.19,0.21,0.92,1.01,0.11,1
2023-07-21,20.42,20.67,20.41,20.62,25675,0.2,0.26,0.96,1.24,0.13,1
2023-07-20,20.58,20.58,20.4,20.49,21852,-0.09,0.18,-0.45,0.88,0.09,-1
2023-07-19,20.45,20.58,20.42,20.53,10093,0.08,0.16,0.39,0.78,0.08,1
2023-07-18,20.4,20.5,20.34,20.47,28400,0.07,0.16,0.34,0.77,0.08,1
2023-07-17,20.3,20.49,20.3,20.31,19288,0.01,0.19,0.05,0.93,0.09,1
2023-07-14,20.36,20.4,20.13,20.3,11310,-0.06,0.27,-0.32,1.31,0.13,-1
2023-07-13,20.11,20.46,20.11,20.36,22386,0.25,0.35,1.23,1.72,0.17,1
2023-07-12,20.23,20.41,20.16,20.27,16497,0.04,0.25,0.2,1.22,0.12,1
2023-07-11,20.15,20.18,20.04,20.18,21197,0.03,0.14,0.15,0.69,0.07,1
2023-07-10,19.98,20.09,19.83,20.09,22623,0.11,0.26,0.55,1.29,0.13,1
2023-07-07,19.78,20.0,19.68,19.95,18088,0.17,0.32,0.85,1.6,0.16,1
2023-07-06,20.12,20.12,19.68,19.84,30852,-0.28,0.44,-1.41,2.22,0.22,-1
2023-07-05,20.02,20.3,20.02,20.2,13309,0.18,0.28,0.89,1.39,0.14,-1
2023-07-03,19.94,20.21,19.94,20.21,6676,0.27,0.27,1.34,1.34,0.13,1
2023-06-30,19.79,20.07,19.79,20.06,25306,0.27,0.28,1.35,1.4,0.14,1
