Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-07,70.88,71.44,70.76,70.94,444931,0.06,0.69,0.08,0.97,0.34,65.87,66.22,1.62,1.5,0.12,98629571,20.85,93.33,58.33,1.0,35.0,Weak Buy Signal,71.42,65.87,60.32,0.17,59.66,Target Volume,Expected Range,12.39,Absent or Weak Trend
2023-07-06,70.6,71.33,70.15,70.9,505597,0.3,1.18,0.42,1.66,0.59,65.74,66.06,1.66,1.47,0.19,98184640,20.58,95.0,60.0,1.0,35.0,Weak Buy Signal,71.17,65.74,60.3,0.17,59.62,Target Volume,Expected Range,12.25,Absent or Weak Trend
2023-07-05,71.16,71.5,70.57,70.86,536254,-0.3,0.93,-0.42,1.31,0.47,65.6,65.89,1.69,1.42,0.27,97679043,22.05,96.67,61.67,1.0,35.0,Weak Buy Signal,70.92,65.6,60.28,0.16,59.58,Target Volume,Expected Range,12.11,Absent or Weak Trend
2023-07-03,71.4,71.72,70.82,71.38,236902,-0.02,0.9,-0.03,1.27,0.45,65.45,65.72,1.71,1.35,0.36,98215297,22.93,98.33,63.33,1.0,35.0,Weak Buy Signal,70.67,65.45,60.24,0.16,60.38,Trending Low,Bearish Trend,11.94,Absent or Weak Trend
2023-06-30,71.62,71.94,70.87,71.57,622385,-0.05,1.07,-0.07,1.5,0.53,65.3,65.53,1.66,1.27,0.39,98452199,23.1,100.0,65.0,1.0,35.0,Weak Buy Signal,70.35,65.3,60.26,0.15,60.68,Trending Low,Bearish Trend,11.75,Absent or Weak Trend
2023-06-29,70.2,71.57,70.05,71.38,691096,1.18,1.52,1.65,2.13,0.76,65.15,65.33,1.54,1.17,0.38,97829814,22.3,100.0,66.67,1.0,33.33,Weak Buy Signal,69.97,65.15,60.33,0.15,60.49,Trending Low,Bearish Trend,11.56,Absent or Weak Trend
2023-06-28,70.08,70.25,69.51,70.22,726017,0.14,0.74,0.2,1.05,0.37,65.02,65.12,1.4,1.07,0.32,97138718,19.36,98.33,68.33,1.0,30.0,Weak Buy Signal,69.58,65.02,60.45,0.14,59.31,Target Volume,Expected Range,11.38,Absent or Weak Trend
2023-06-27,68.86,70.32,68.86,69.84,832049,0.98,1.46,1.4,2.09,0.73,64.89,64.95,1.31,0.99,0.31,96412701,19.36,100.0,70.0,1.0,30.0,Weak Buy Signal,69.28,64.89,60.5,0.14,58.91,Target Volume,Expected Range,11.24,Absent or Weak Trend
2023-06-26,67.41,68.93,67.15,68.86,926622,1.45,1.78,2.11,2.58,0.89,64.77,64.78,1.21,0.92,0.3,95580652,16.13,93.33,71.67,1.0,21.67,Weak Buy Signal,69.01,64.77,60.52,0.13,57.87,Target Volume,Expected Range,11.1,Absent or Weak Trend
2023-06-23,68.36,68.57,67.27,67.6,1125894,-0.76,1.3,-1.12,1.92,0.65,64.66,64.64,1.17,0.84,0.33,94654030,15.26,95.0,73.33,1.0,21.67,Weak Buy Signal,68.81,64.66,60.52,0.13,56.49,Target Volume,Expected Range,11.02,Absent or Weak Trend
2023-06-22,68.3,68.87,67.71,68.62,757114,0.32,1.16,0.47,1.69,0.58,64.57,64.54,1.23,0.76,0.48,95779924,16.71,96.67,75.0,1.0,21.67,Weak Buy Signal,68.7,64.57,60.44,0.13,58.01,Target Volume,Expected Range,10.95,Absent or Weak Trend
2023-06-21,68.77,68.95,68.16,68.74,1071696,-0.03,0.79,-0.04,1.15,0.4,64.45,64.41,1.19,0.64,0.55,96537038,18.2,98.33,76.67,1.0,21.67,Weak Buy Signal,68.52,64.45,60.37,0.13,58.19,Target Volume,Expected Range,10.85,Absent or Weak Trend
2023-06-20,69.3,69.92,68.73,68.8,1884981,-0.5,1.19,-0.73,1.73,0.59,64.32,64.26,1.11,0.5,0.6,97608734,20.12,100.0,78.33,1.0,21.67,Weak Buy Signal,68.33,64.32,60.31,0.12,58.28,Target Volume,Expected Range,10.72,Absent or Weak Trend
2023-06-16,67.99,69.76,67.95,69.73,15142652,1.74,1.81,2.5,2.6,0.91,64.18,64.1,0.98,0.35,0.63,99493715,19.76,100.0,80.0,1.0,20.0,Weak Buy Signal,68.13,64.18,60.24,0.12,59.68,Target Volume,Expected Range,10.56,Absent or Weak Trend
2023-06-15,67.17,68.1,67.11,67.73,1026811,0.56,0.99,0.83,1.46,0.49,64.04,63.91,0.7,0.19,0.51,84351063,15.91,100.0,81.67,1.0,18.33,High Volatility / Hold Signal,67.8,64.04,60.27,0.12,57.52,Target Volume,Expected Range,10.41,Absent or Weak Trend
2023-06-14,67.6,67.86,67.01,67.42,1012991,-0.18,0.85,-0.27,1.26,0.42,63.95,63.78,0.54,0.07,0.48,83324252,15.33,100.0,83.33,1.0,16.67,High Volatility / Hold Signal,67.61,63.95,60.28,0.11,57.17,Target Volume,Expected Range,10.32,Absent or Weak Trend
2023-06-13,66.63,67.57,66.33,67.55,1114736,0.92,1.24,1.36,1.84,0.62,63.85,63.66,0.36,-0.05,0.42,84337243,14.63,100.0,85.0,1.0,15.0,High Volatility / Hold Signal,67.45,63.85,60.26,0.11,57.37,Target Volume,Expected Range,10.23,Absent or Weak Trend
2023-06-12,64.93,66.93,64.76,66.69,1095179,1.76,2.17,2.64,3.25,1.09,63.74,63.53,0.12,-0.16,0.27,83222507,13.08,63.33,86.67,-1.0,-23.33,Weak Sell Signal,67.28,63.74,60.19,0.11,56.4,Target Volume,Expected Range,10.16,Absent or Weak Trend
