Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-21,41.74,41.8,40.67,40.7,65250,-1.04,1.13,-2.56,2.78,0.56,38.42,39.13,0.52,0.61,-0.09,7024248,14.94,90.0,0.0,1.0,90.0,Strong Buy Signal,44.26,38.42,32.58,0.3,55.39,Target Volume,Expected Range,12.22,Absent or Weak Trend
2023-07-20,41.58,41.84,41.38,41.45,50846,-0.13,0.46,-0.31,1.11,0.23,38.29,39.08,0.61,0.63,-0.03,7089498,17.94,91.67,1.67,1.0,90.0,Strong Buy Signal,44.25,38.29,32.33,0.31,56.77,Target Volume,Expected Range,12.17,Absent or Weak Trend
2023-07-19,41.88,42.02,41.41,41.7,105112,-0.18,0.61,-0.43,1.46,0.31,38.17,39.0,0.63,0.64,-0.01,7140344,18.07,93.33,3.33,1.0,90.0,Strong Buy Signal,44.17,38.17,32.18,0.31,57.24,Target Volume,Expected Range,12.07,Absent or Weak Trend
2023-07-18,41.31,42.03,41.14,41.76,70264,0.45,0.89,1.08,2.13,0.45,38.05,38.9,0.63,0.64,-0.01,7245456,18.07,95.0,5.0,1.0,90.0,Strong Buy Signal,44.05,38.05,32.06,0.31,57.35,Target Volume,Expected Range,11.97,Absent or Weak Trend
2023-07-17,41.38,42.03,41.15,41.32,64172,-0.06,0.88,-0.15,2.14,0.44,37.94,38.81,0.61,0.65,-0.04,7175192,18.1,96.67,6.67,1.0,90.0,Strong Buy Signal,43.91,37.94,31.96,0.31,56.74,Target Volume,Expected Range,11.87,Absent or Weak Trend
2023-07-14,41.7,41.7,40.86,41.39,59110,-0.31,0.84,-0.75,2.02,0.42,37.83,38.72,0.62,0.65,-0.04,7239364,17.15,98.33,8.33,1.0,90.0,Strong Buy Signal,43.79,37.83,31.87,0.31,56.87,Target Volume,Expected Range,11.76,Absent or Weak Trend
2023-07-13,41.85,42.26,41.6,41.78,58144,-0.07,0.66,-0.17,1.58,0.33,37.72,38.63,0.61,0.66,-0.05,7298474,20.19,100.0,10.0,1.0,90.0,Strong Buy Signal,43.65,37.72,31.8,0.31,57.58,Target Volume,Expected Range,11.67,Absent or Weak Trend
2023-07-12,41.6,42.16,41.3,41.84,137409,0.24,0.86,0.57,2.06,0.43,37.62,38.53,0.56,0.68,-0.12,7356618,19.91,68.33,11.67,1.0,56.67,Weak Buy Signal,43.48,37.62,31.76,0.31,57.68,Target Volume,Expected Range,11.53,Absent or Weak Trend
2023-07-11,41.26,41.55,40.1,40.72,112375,-0.54,1.45,-1.33,3.56,0.72,37.51,38.41,0.48,0.71,-0.23,7219209,18.21,70.0,13.33,1.0,56.67,Weak Buy Signal,43.29,37.51,31.73,0.31,56.17,Target Volume,Expected Range,11.38,Absent or Weak Trend
2023-07-10,39.37,41.31,39.35,41.13,232399,1.76,1.96,4.28,4.77,0.98,37.42,38.33,0.48,0.76,-0.28,7331584,17.53,71.67,15.0,1.0,56.67,Weak Buy Signal,43.17,37.42,31.68,0.31,56.9,Target Volume,Expected Range,11.27,Absent or Weak Trend
2023-07-07,39.39,39.88,38.96,39.04,57295,-0.35,0.92,-0.9,2.36,0.46,37.32,38.24,0.43,0.83,-0.4,7099185,13.32,73.33,16.67,1.0,56.67,Weak Buy Signal,43.01,37.32,31.64,0.3,53.89,Target Volume,Expected Range,11.16,Absent or Weak Trend
2023-07-06,39.53,39.95,39.0,39.15,80396,-0.38,0.95,-0.97,2.43,0.48,37.25,38.21,0.58,0.93,-0.35,7156480,13.48,75.0,18.33,1.0,56.67,Weak Buy Signal,42.97,37.25,31.53,0.31,54.08,Target Volume,Expected Range,11.13,Absent or Weak Trend
2023-07-05,40.69,40.8,39.9,39.93,89884,-0.76,0.9,-1.9,2.25,0.45,37.17,38.18,0.75,1.02,-0.27,7236876,17.12,76.67,20.0,1.0,56.67,Weak Buy Signal,42.91,37.17,31.42,0.31,55.49,Target Volume,Expected Range,11.09,Absent or Weak Trend
2023-07-03,40.58,41.2,40.39,41.04,52625,0.46,0.81,1.12,1.97,0.41,37.06,38.12,0.88,1.09,-0.21,7326760,19.17,78.33,21.67,1.0,56.67,Weak Buy Signal,42.83,37.06,31.3,0.31,57.58,Target Volume,Expected Range,10.98,Absent or Weak Trend
2023-06-30,41.45,41.56,40.62,40.65,134269,-0.8,0.94,-1.97,2.31,0.47,36.95,38.02,0.91,1.14,-0.23,7274135,20.14,80.0,23.33,1.0,56.67,Weak Buy Signal,42.66,36.95,31.24,0.31,57.02,Target Volume,Expected Range,10.84,Absent or Weak Trend
2023-06-29,40.63,41.19,40.35,41.1,117521,0.47,0.84,1.14,2.03,0.42,36.86,37.93,0.98,1.2,-0.22,7408404,19.1,81.67,25.0,1.0,56.67,Weak Buy Signal,42.51,36.86,31.22,0.31,57.89,Target Volume,Expected Range,10.69,Absent or Weak Trend
2023-06-28,40.81,40.99,40.37,40.42,119693,-0.39,0.62,-0.96,1.53,0.31,36.79,37.83,1.01,1.25,-0.24,7290883,18.54,83.33,26.67,1.0,56.67,Weak Buy Signal,42.33,36.79,31.26,0.3,56.92,Target Volume,Expected Range,10.54,Absent or Weak Trend
2023-06-27,40.59,41.14,40.59,40.64,111544,0.05,0.55,0.12,1.37,0.28,36.74,37.74,1.1,1.32,-0.21,7410576,19.44,85.0,28.33,1.0,56.67,Weak Buy Signal,42.19,36.74,31.28,0.3,57.34,Target Volume,Expected Range,10.41,Absent or Weak Trend
