Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-06,1.09,1.12,0.91,0.97,410926,-0.12,0.21,-12.93,21.76,0.11,1.06,1.07,0.03,0.05,-0.02,397945136,3.8,11.67,41.67,-1.0,-30.0,Weak Sell Signal,1.32,1.06,0.8,0.49,48.26,Target Volume,Expected Range,12.26,Absent or Weak Trend
2023-07-05,1.23,1.29,1.06,1.08,338462,-0.15,0.23,-13.89,21.3,0.12,1.06,1.08,0.06,0.06,-0.0,398356062,9.83,13.33,43.33,-1.0,-30.0,Weak Sell Signal,1.32,1.06,0.8,0.49,50.19,Target Volume,Expected Range,12.4,Absent or Weak Trend
2023-07-03,1.3,1.33,1.23,1.26,46428,-0.04,0.1,-3.17,7.93,0.05,1.06,1.08,0.07,0.06,0.01,398694524,17.42,15.0,45.0,-1.0,-30.0,Weak Sell Signal,1.32,1.06,0.8,0.49,53.5,Target Volume,Expected Range,12.45,Absent or Weak Trend
2023-06-30,1.21,1.3,1.1,1.28,62735,0.07,0.2,5.47,15.34,0.1,1.06,1.07,0.07,0.05,0.02,398740952,16.3,16.67,46.67,-1.0,-30.0,Weak Sell Signal,1.32,1.06,0.81,0.48,53.89,Target Volume,Expected Range,12.36,Absent or Weak Trend
2023-06-29,1.28,1.34,1.22,1.23,68027,-0.05,0.12,-4.07,9.75,0.06,1.06,1.07,0.07,0.05,0.02,398678217,22.14,18.33,48.33,-1.0,-30.0,Weak Sell Signal,1.31,1.06,0.81,0.47,53.05,Target Volume,Expected Range,12.29,Absent or Weak Trend
2023-06-28,1.24,1.27,1.16,1.23,44122,-0.01,0.11,-0.81,8.93,0.05,1.06,1.06,0.07,0.04,0.02,398678217,19.83,20.0,50.0,-1.0,-30.0,Weak Sell Signal,1.31,1.06,0.81,0.47,53.05,Target Volume,Expected Range,12.13,Absent or Weak Trend
2023-06-27,1.21,1.3,1.18,1.29,34253,0.08,0.12,6.2,9.3,0.06,1.06,1.05,0.07,0.04,0.03,398722339,20.83,21.67,51.67,-1.0,-30.0,Weak Sell Signal,1.31,1.06,0.81,0.47,54.2,Target Volume,Expected Range,12.0,Absent or Weak Trend
2023-06-26,1.24,1.37,1.18,1.23,66510,-0.01,0.19,-0.81,15.7,0.1,1.06,1.05,0.06,0.03,0.02,398688086,20.83,23.33,53.33,-1.0,-30.0,Weak Sell Signal,1.3,1.06,0.81,0.46,53.21,Target Volume,Expected Range,11.85,Absent or Weak Trend
2023-06-23,1.15,1.34,1.09,1.24,236084,0.09,0.25,7.26,20.16,0.12,1.06,1.04,0.05,0.03,0.02,398754596,19.75,25.0,55.0,-1.0,-30.0,Weak Sell Signal,1.3,1.06,0.81,0.46,53.4,Target Volume,Expected Range,11.69,Absent or Weak Trend
2023-06-22,1.17,1.21,1.07,1.1,63465,-0.07,0.14,-6.42,12.73,0.07,1.06,1.03,0.04,0.02,0.02,398518512,15.29,26.67,56.67,-1.0,-30.0,Weak Sell Signal,1.3,1.06,0.81,0.46,51.0,Target Volume,Expected Range,11.56,Absent or Weak Trend
2023-06-21,1.23,1.23,1.13,1.2,59863,-0.03,0.1,-2.5,8.33,0.05,1.06,1.03,0.04,0.01,0.03,398581977,18.28,28.33,58.33,-1.0,-30.0,Weak Sell Signal,1.3,1.06,0.81,0.47,52.91,Target Volume,Expected Range,11.49,Absent or Weak Trend
2023-06-20,1.22,1.29,1.13,1.23,129418,0.01,0.16,0.81,12.84,0.08,1.06,1.02,0.04,0.01,0.03,398641840,18.38,30.0,60.0,-1.0,-30.0,Weak Sell Signal,1.31,1.06,0.81,0.47,53.5,Target Volume,Expected Range,11.38,Absent or Weak Trend
2023-06-16,1.11,1.2,1.05,1.2,221157,0.09,0.15,7.5,12.5,0.07,1.06,1.02,0.02,-0.0,0.02,398512422,15.2,31.67,61.67,-1.0,-30.0,Weak Sell Signal,1.31,1.06,0.81,0.47,52.98,Target Volume,Expected Range,11.26,Absent or Weak Trend
2023-06-15,1.03,1.16,1.03,1.1,309221,0.07,0.13,6.36,11.82,0.06,1.06,1.01,0.01,-0.01,0.01,398291265,13.73,33.33,63.33,-1.0,-30.0,Weak Sell Signal,1.31,1.06,0.81,0.47,51.2,Target Volume,Expected Range,11.19,Absent or Weak Trend
2023-06-14,1.0,1.02,0.97,0.99,42211,-0.01,0.05,-1.26,4.9,0.02,1.06,1.01,-0.0,-0.01,0.01,397982044,8.18,35.0,65.0,-1.0,-30.0,Weak Sell Signal,1.32,1.06,0.81,0.48,49.06,Target Volume,Expected Range,11.15,Absent or Weak Trend
2023-06-13,1.03,1.03,0.97,0.98,80959,-0.05,0.06,-5.1,6.26,0.03,1.07,1.01,-0.0,-0.01,0.01,397939833,8.18,36.67,66.67,-1.0,-30.0,Weak Sell Signal,1.32,1.07,0.81,0.48,48.92,Target Volume,Expected Range,11.2,Absent or Weak Trend
2023-06-12,1.01,1.03,0.99,1.02,28842,0.01,0.04,1.46,3.9,0.02,1.07,1.01,-0.0,-0.01,0.01,398020792,9.2,38.33,68.33,-1.0,-30.0,Weak Sell Signal,1.33,1.07,0.81,0.48,49.77,Target Volume,Expected Range,11.25,Absent or Weak Trend
2023-06-09,1.04,1.04,0.97,0.97,78896,-0.07,0.07,-7.16,7.5,0.04,1.07,1.01,-0.01,-0.02,0.01,397991950,9.2,40.0,70.0,-1.0,-30.0,Weak Sell Signal,1.33,1.07,0.81,0.48,48.71,Target Volume,Expected Range,11.29,Absent or Weak Trend
2023-06-08,1.05,1.05,0.98,1.03,40074,-0.02,0.07,-1.94,6.8,0.04,1.07,1.01,-0.01,-0.02,0.01,398070846,9.8,41.67,71.67,-1.0,-30.0,Weak Sell Signal,1.33,1.07,0.82,0.48,49.84,Target Volume,Expected Range,11.32,Absent or Weak Trend
2023-06-07,0.99,1.05,0.98,1.0,79162,0.01,0.07,1.0,6.81,0.03,1.07,1.01,-0.01,-0.02,0.01,398030772,9.89,43.33,73.33,-1.0,-30.0,Weak Sell Signal,1.33,1.07,0.82,0.48,49.26,Target Volume,Expected Range,11.35,Absent or Weak Trend
2023-06-06,0.94,0.98,0.94,0.98,70355,0.04,0.04,3.89,4.09,0.02,1.07,1.01,-0.01,-0.02,0.01,397951610,7.18,45.0,75.0,-1.0,-30.0,Weak Sell Signal,1.33,1.07,0.81,0.48,48.83,Target Volume,Expected Range,11.37,Absent or Weak Trend
2023-06-05,0.95,0.99,0.93,0.95,64034,0.0,0.06,0.0,6.27,0.03,1.07,1.01,-0.02,-0.03,0.01,397881255,7.18,46.67,76.67,-1.0,-30.0,Weak Sell Signal,1.33,1.07,0.81,0.49,48.29,Target Volume,Expected Range,11.44,Absent or Weak Trend
2023-06-02,0.94,1.0,0.93,0.96,14916,0.02,0.07,2.4,7.25,0.03,1.07,1.01,-0.02,-0.03,0.01,397945289,7.18,48.33,78.33,-1.0,-30.0,Weak Sell Signal,1.33,1.07,0.81,0.48,48.47,Target Volume,Expected Range,11.52,Absent or Weak Trend
2023-06-01,1.01,1.01,0.9,0.93,295013,-0.09,0.11,-9.16,12.25,0.06,1.07,1.02,-0.02,-0.03,0.01,397930373,7.18,50.0,80.0,-1.0,-30.0,Weak Sell Signal,1.33,1.07,0.82,0.48,47.89,Target Volume,Expected Range,11.59,Absent or Weak Trend
2023-05-31,1.04,1.04,1.0,1.0,95390,-0.04,0.04,-4.0,4.0,0.02,1.08,1.02,-0.01,-0.03,0.02,398225386,11.62,51.67,81.67,-1.0,-30.0,Weak Sell Signal,1.33,1.08,0.82,0.47,49.15,Target Volume,Expected Range,11.66,Absent or Weak Trend
2023-05-30,1.01,1.06,0.99,1.04,101362,0.03,0.07,2.88,6.72,0.03,1.08,1.02,-0.02,-0.04,0.02,398320776,11.62,53.33,83.33,-1.0,-30.0,Weak Sell Signal,1.33,1.08,0.82,0.47,49.89,Target Volume,Expected Range,11.67,Absent or Weak Trend
2023-05-26,1.0,1.03,0.99,1.02,38806,0.02,0.04,1.96,3.92,0.02,1.08,1.02,-0.02,-0.04,0.02,398219414,10.53,55.0,85.0,-1.0,-30.0,Weak Sell Signal,1.33,1.08,0.82,0.47,49.52,Target Volume,Expected Range,11.67,Absent or Weak Trend
2023-05-25,1.05,1.05,0.98,0.99,123014,-0.06,0.07,-5.54,7.03,0.03,1.08,1.02,-0.03,-0.05,0.02,398180608,10.53,56.67,86.67,-1.0,-30.0,Weak Sell Signal,1.33,1.08,0.82,0.47,49.05,Target Volume,Expected Range,11.69,Absent or Weak Trend
2023-05-24,0.97,0.98,0.95,0.96,42383,-0.01,0.03,-1.05,3.11,0.01,1.08,1.02,-0.04,-0.05,0.01,398057594,7.98,58.33,88.33,-1.0,-30.0,Weak Sell Signal,1.33,1.08,0.82,0.47,48.4,Target Volume,Expected Range,11.71,Absent or Weak Trend
2023-05-23,0.96,1.0,0.96,0.99,127809,0.03,0.04,2.95,4.52,0.02,1.08,1.02,-0.04,-0.06,0.01,398099977,8.41,60.0,90.0,-1.0,-30.0,Weak Sell Signal,1.33,1.08,0.82,0.47,48.91,Target Volume,Expected Range,11.77,Absent or Weak Trend
2023-05-22,0.97,1.02,0.95,0.97,55665,0.0,0.07,0.3,7.54,0.04,1.08,1.02,-0.05,-0.06,0.01,397972168,8.41,61.67,91.67,-1.0,-30.0,Weak Sell Signal,1.33,1.08,0.82,0.48,48.56,Target Volume,Expected Range,11.83,Absent or Weak Trend
2023-05-19,0.93,1.01,0.91,1.0,87290,0.07,0.1,7.19,10.01,0.05,1.07,1.02,-0.06,-0.06,0.0,398027833,8.06,63.33,93.33,-1.0,-30.0,Weak Sell Signal,1.33,1.07,0.82,0.48,49.07,Target Volume,Expected Range,11.88,Absent or Weak Trend
2023-05-18,0.83,0.92,0.83,0.92,68371,0.1,0.1,10.77,10.77,0.05,1.07,1.03,-0.07,-0.06,-0.01,397940543,4.96,65.0,95.0,-1.0,-30.0,Weak Sell Signal,1.33,1.07,0.82,0.48,47.7,Target Volume,Expected Range,11.95,Absent or Weak Trend
2023-05-17,0.86,0.87,0.79,0.85,97897,-0.01,0.08,-1.56,9.96,0.04,1.08,1.03,-0.08,-0.06,-0.02,397872172,2.87,66.67,96.67,-1.0,-30.0,Weak Sell Signal,1.33,1.08,0.82,0.48,46.27,Target Volume,Expected Range,12.07,Absent or Weak Trend
2023-05-16,0.83,0.86,0.8,0.82,59332,-0.01,0.06,-1.22,7.32,0.03,1.08,1.04,-0.08,-0.06,-0.02,397774275,3.47,68.33,98.33,-1.0,-30.0,Weak Sell Signal,1.33,1.08,0.82,0.47,45.67,Target Volume,Expected Range,12.22,Absent or Weak Trend
2023-05-15,0.83,0.85,0.77,0.82,141018,-0.01,0.08,-1.21,10.02,0.04,1.08,1.04,-0.07,-0.05,-0.02,397833607,3.19,70.0,100.0,-1.0,-30.0,Weak Sell Signal,1.32,1.08,0.84,0.45,45.67,Target Volume,Expected Range,12.37,Absent or Weak Trend
2023-05-12,0.9,0.95,0.82,0.82,225715,-0.08,0.13,-9.68,15.77,0.06,1.08,1.05,-0.07,-0.04,-0.02,397974625,5.21,71.67,100.0,-1.0,-28.33,Weak Sell Signal,1.32,1.08,0.85,0.43,45.68,Target Volume,Expected Range,12.53,Absent or Weak Trend
2023-05-11,0.95,0.99,0.88,0.9,78818,-0.05,0.11,-5.06,11.78,0.05,1.09,1.06,-0.06,-0.04,-0.02,398200340,7.83,73.33,30.0,1.0,43.33,Weak Buy Signal,1.32,1.09,0.86,0.41,46.97,Target Volume,Expected Range,12.65,Absent or Weak Trend
2023-05-10,0.99,1.03,0.94,0.94,90464,-0.05,0.09,-5.35,9.57,0.05,1.09,1.06,-0.05,-0.03,-0.02,398279158,10.21,75.0,31.67,1.0,43.33,Weak Buy Signal,1.31,1.09,0.87,0.4,47.64,Target Volume,Expected Range,12.73,Absent or Weak Trend
2023-05-09,1.0,1.01,0.93,1.0,28351,-0.0,0.08,-0.01,8.39,0.04,1.1,1.07,-0.05,-0.03,-0.02,398369622,9.51,76.67,33.33,1.0,43.33,Weak Buy Signal,1.31,1.1,0.88,0.4,48.66,Target Volume,Expected Range,12.77,Absent or Weak Trend
2023-05-08,0.96,0.99,0.9,0.95,91340,-0.01,0.09,-1.05,9.95,0.05,1.1,1.07,-0.05,-0.03,-0.02,398341271,8.98,78.33,35.0,1.0,43.33,Weak Buy Signal,1.31,1.1,0.88,0.39,47.74,Target Volume,Expected Range,12.83,Absent or Weak Trend
2023-05-05,0.99,0.99,0.9,0.95,130989,-0.04,0.09,-4.21,9.47,0.04,1.1,1.07,-0.04,-0.02,-0.02,398341271,8.81,80.0,36.67,1.0,43.33,Weak Buy Signal,1.31,1.1,0.89,0.39,47.74,Target Volume,Expected Range,12.9,Absent or Weak Trend
2023-05-04,1.0,1.03,0.93,0.97,66926,-0.03,0.1,-3.1,10.3,0.05,1.1,1.08,-0.04,-0.01,-0.02,398472260,10.05,81.67,38.33,1.0,43.33,Weak Buy Signal,1.31,1.1,0.89,0.38,48.08,Target Volume,Expected Range,12.96,Absent or Weak Trend
2023-05-03,0.98,1.1,0.98,1.0,132955,0.02,0.12,2.0,11.99,0.06,1.1,1.08,-0.03,-0.01,-0.02,398539186,12.14,83.33,40.0,1.0,43.33,Weak Buy Signal,1.31,1.1,0.9,0.38,48.58,Target Volume,Expected Range,13.01,Absent or Weak Trend
2023-05-02,1.02,1.03,0.93,1.0,158954,-0.02,0.1,-2.0,9.77,0.05,1.11,1.08,-0.02,-0.0,-0.02,398539186,9.78,85.0,41.67,1.0,43.33,Weak Buy Signal,1.31,1.11,0.9,0.37,48.58,Target Volume,Expected Range,13.03,Absent or Weak Trend
2023-05-01,1.11,1.12,1.03,1.05,48521,-0.06,0.09,-5.71,8.56,0.04,1.11,1.09,-0.02,0.0,-0.02,398698140,13.98,86.67,0.0,1.0,86.67,Strong Buy Signal,1.32,1.11,0.9,0.37,49.4,Target Volume,Expected Range,13.08,Absent or Weak Trend
2023-04-28,1.05,1.15,1.04,1.12,102667,0.07,0.11,6.25,9.47,0.05,1.11,1.09,-0.01,0.01,-0.02,398746661,14.6,88.33,1.67,1.0,86.67,Strong Buy Signal,1.32,1.11,0.91,0.37,50.58,Target Volume,Expected Range,13.07,Absent or Weak Trend
2023-04-27,1.09,1.09,1.01,1.03,57984,-0.06,0.08,-5.83,7.77,0.04,1.11,1.09,-0.01,0.01,-0.02,398643994,12.6,90.0,0.0,1.0,90.0,Strong Buy Signal,1.32,1.11,0.9,0.38,49.04,Target Volume,Expected Range,13.04,Absent or Weak Trend
2023-04-26,1.07,1.12,1.0,1.06,106373,-0.01,0.12,-0.94,11.31,0.06,1.11,1.09,-0.0,0.02,-0.02,398701978,12.6,91.67,0.0,1.0,91.67,Strong Buy Signal,1.32,1.11,0.89,0.39,49.55,Target Volume,Expected Range,13.05,Absent or Weak Trend
2023-04-25,1.06,1.11,1.05,1.06,57031,0.0,0.06,0.0,5.66,0.03,1.1,1.09,0.01,0.02,-0.02,398701978,14.76,93.33,0.0,1.0,93.33,Strong Buy Signal,1.33,1.1,0.88,0.41,49.55,Target Volume,Expected Range,13.06,Absent or Weak Trend
2023-04-24,1.2,1.2,1.05,1.08,151891,-0.12,0.15,-11.11,13.89,0.07,1.1,1.09,0.02,0.03,-0.01,398759009,14.76,95.0,0.0,1.0,95.0,Strong Buy Signal,1.34,1.1,0.86,0.43,49.88,Target Volume,Expected Range,13.03,Absent or Weak Trend
2023-04-21,1.17,1.24,1.13,1.17,47215,0.0,0.11,0.0,9.24,0.05,1.1,1.09,0.03,0.03,-0.0,398910900,18.27,96.67,1.67,1.0,95.0,Strong Buy Signal,1.35,1.1,0.84,0.46,51.41,Target Volume,Expected Range,13.0,Absent or Weak Trend
2023-04-20,1.22,1.28,1.13,1.16,117081,-0.06,0.15,-5.17,12.92,0.07,1.09,1.09,0.03,0.03,-0.0,398863685,18.27,98.33,3.33,1.0,95.0,Strong Buy Signal,1.35,1.09,0.82,0.49,51.24,Target Volume,Expected Range,12.91,Absent or Weak Trend
2023-04-19,1.42,1.52,1.21,1.24,529804,-0.18,0.31,-14.98,25.01,0.15,1.08,1.09,0.04,0.03,0.01,398980766,21.88,100.0,5.0,1.0,95.0,Strong Buy Signal,1.36,1.08,0.8,0.51,52.54,Target Volume,Expected Range,12.82,Absent or Weak Trend
2023-04-18,1.32,1.43,1.31,1.41,570747,0.09,0.12,6.38,8.51,0.06,1.07,1.08,0.04,0.03,0.01,399510570,26.62,100.0,0.0,1.0,100.0,Strong Buy Signal,1.36,1.07,0.79,0.53,55.79,Target Volume,Expected Range,12.67,Absent or Weak Trend
2023-04-17,1.16,1.25,1.13,1.25,257177,0.09,0.12,7.2,9.44,0.06,1.06,1.07,0.02,0.03,-0.01,398939823,21.19,18.33,1.67,1.0,16.67,High Volatility / Hold Signal,1.35,1.06,0.78,0.53,53.19,Target Volume,Expected Range,12.43,Absent or Weak Trend
