Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-28,41.74,41.98,41.3,41.56,205918,-0.18,0.69,-0.43,1.65,0.34,-1
2023-07-27,41.84,41.98,41.3,41.64,146969,-0.2,0.68,-0.48,1.63,0.34,1
2023-07-26,41.29,41.67,41.14,41.6,147873,0.31,0.53,0.75,1.27,0.27,1
2023-07-25,40.97,41.6,40.6,41.49,183319,0.52,0.99,1.25,2.4,0.5,1
2023-07-24,40.96,41.42,40.48,41.09,145569,0.13,0.94,0.32,2.29,0.47,1
2023-07-21,41.32,41.32,40.53,40.91,188734,-0.41,0.79,-1.0,1.93,0.39,-1
2023-07-20,41.17,41.29,40.77,40.94,160416,-0.23,0.52,-0.56,1.27,0.26,-1
2023-07-19,42.06,42.23,41.26,41.34,216032,-0.72,0.97,-1.74,2.35,0.48,-1
2023-07-18,42.27,42.4,41.47,42.06,214678,-0.21,0.93,-0.5,2.21,0.46,-1
2023-07-17,41.62,42.35,41.48,42.25,189466,0.63,0.87,1.49,2.05,0.43,1
2023-07-14,41.52,41.69,41.01,41.62,234834,0.1,0.68,0.24,1.63,0.34,-1
2023-07-13,40.67,41.8,40.67,41.62,238157,0.95,1.13,2.28,2.72,0.56,1
2023-07-12,39.99,40.74,39.74,40.6,259103,0.61,1.0,1.5,2.46,0.5,1
2023-07-11,39.64,39.65,39.07,39.53,184216,-0.11,0.58,-0.28,1.47,0.29,1
2023-07-10,38.81,39.6,38.73,39.4,206413,0.59,0.87,1.5,2.21,0.44,1
2023-07-07,38.72,39.19,38.66,38.81,184441,0.09,0.53,0.23,1.37,0.27,1
2023-07-06,38.42,38.73,38.31,38.6,164973,0.18,0.42,0.47,1.09,0.21,-1
2023-07-05,39.22,39.22,38.49,38.75,254328,-0.47,0.73,-1.21,1.88,0.36,-1
2023-07-03,39.24,39.58,38.77,39.45,116638,0.21,0.81,0.53,2.05,0.4,1
2023-06-30,39.93,40.02,39.35,39.39,266082,-0.54,0.67,-1.37,1.7,0.34,-1
2023-06-29,39.55,39.98,39.2,39.66,247369,0.11,0.78,0.28,1.98,0.39,1
2023-06-28,38.1,39.3,37.41,39.11,541639,1.01,1.89,2.58,4.83,0.95,1
2023-06-27,37.99,38.51,37.71,38.22,267039,0.23,0.8,0.6,2.08,0.4,1
2023-06-26,38.19,38.99,37.76,37.91,525872,-0.28,1.23,-0.74,3.24,0.62,-1
2023-06-23,38.27,38.92,37.88,38.25,1558652,-0.02,1.04,-0.05,2.73,0.52,-1
2023-06-22,38.89,39.08,38.34,38.71,293393,-0.18,0.73,-0.46,1.9,0.37,-1
2023-06-21,37.66,39.1,37.63,39.06,468036,1.4,1.47,3.58,3.78,0.74,1
2023-06-20,37.87,38.07,37.55,37.89,174005,0.02,0.52,0.05,1.37,0.26,-1
2023-06-16,38.55,38.55,37.62,38.0,523238,-0.55,0.93,-1.45,2.45,0.46,-1
2023-06-15,37.9,38.6,37.85,38.14,401167,0.24,0.75,0.63,1.97,0.38,1
2023-06-14,37.88,38.14,37.67,38.01,360837,0.13,0.47,0.34,1.25,0.24,-1
2023-06-13,38.16,38.16,37.71,38.02,198736,-0.14,0.45,-0.37,1.18,0.22,1
2023-06-12,37.54,37.9,37.31,37.75,127454,0.21,0.59,0.56,1.56,0.29,1
2023-06-09,37.41,37.64,37.24,37.43,142717,0.02,0.4,0.05,1.06,0.2,1
2023-06-08,37.19,37.58,37.0,37.31,157639,0.12,0.58,0.32,1.55,0.29,-1
2023-06-07,37.0,37.7,36.97,37.31,351318,0.31,0.73,0.83,1.96,0.37,1
2023-06-06,36.16,37.0,36.15,36.93,237707,0.77,0.85,2.09,2.3,0.42,1
2023-06-05,36.26,36.51,35.38,36.4,265773,0.14,1.13,0.38,3.1,0.56,-1
2023-06-02,35.98,36.59,35.65,36.53,280578,0.55,0.94,1.51,2.57,0.47,1
2023-06-01,35.72,36.18,35.42,35.67,268419,-0.05,0.76,-0.14,2.13,0.38,-1
2023-05-31,36.02,36.51,35.46,35.95,790992,-0.07,1.05,-0.19,2.92,0.52,-1
2023-05-30,36.13,36.24,35.6,36.09,177268,-0.04,0.64,-0.11,1.77,0.32,1
2023-05-26,34.7,35.94,34.7,35.75,160464,1.05,1.24,2.94,3.47,0.62,1
2023-05-25,34.65,35.0,34.33,34.76,175119,0.11,0.67,0.32,1.94,0.34,1
2023-05-24,34.52,34.55,33.39,34.43,239185,-0.09,1.16,-0.26,3.37,0.58,-1
2023-05-23,34.41,34.98,34.16,34.63,218855,0.22,0.81,0.64,2.35,0.41,1
2023-05-22,33.97,34.44,33.89,34.43,181184,0.46,0.55,1.34,1.58,0.27,1
2023-05-19,33.76,33.91,33.26,33.87,235581,0.11,0.65,0.32,1.92,0.32,1
2023-05-18,32.37,33.14,32.37,33.11,236908,0.74,0.77,2.23,2.33,0.39,1
2023-05-17,32.49,32.67,32.21,32.47,276769,-0.02,0.46,-0.06,1.42,0.23,1
2023-05-16,32.15,32.64,32.12,32.28,237690,0.13,0.52,0.4,1.61,0.26,-1
2023-05-15,32.11,32.68,31.84,32.44,148621,0.33,0.84,1.02,2.59,0.42,1
2023-05-12,31.98,32.5,31.84,32.1,155216,0.12,0.66,0.37,2.06,0.33,1
2023-05-11,31.41,31.92,31.02,31.9,203841,0.49,0.9,1.54,2.82,0.45,1
2023-05-10,31.84,32.07,31.11,31.4,171643,-0.44,0.96,-1.4,3.06,0.48,-1
2023-05-09,31.23,31.78,30.96,31.54,353350,0.31,0.82,0.98,2.58,0.41,1
2023-05-08,31.43,31.5,31.13,31.25,301446,-0.18,0.37,-0.58,1.18,0.19,-1
2023-05-05,32.86,32.86,31.18,31.49,326596,-1.37,1.68,-4.35,5.34,0.84,-1
2023-05-04,28.87,32.16,28.67,32.11,786488,3.24,3.49,10.09,10.88,1.75,1
2023-05-03,28.87,29.5,28.73,28.93,356469,0.06,0.77,0.21,2.66,0.38,-1
2023-05-02,29.1,29.37,28.66,28.94,353211,-0.16,0.7,-0.55,2.42,0.35,-1
2023-05-01,29.9,30.04,28.86,29.13,409847,-0.77,1.18,-2.64,4.05,0.59,-1
2023-04-28,29.89,30.46,29.57,30.16,213458,0.27,0.89,0.9,2.95,0.45,1
2023-04-27,29.85,30.09,29.55,29.99,243435,0.14,0.54,0.47,1.8,0.27,1
2023-04-26,31.35,31.51,29.69,29.71,352351,-1.64,1.82,-5.52,6.13,0.91,-1
2023-04-25,31.77,32.42,31.42,31.48,309377,-0.29,1.0,-0.92,3.19,0.5,-1
2023-04-24,32.37,32.64,32.06,32.09,216803,-0.28,0.58,-0.87,1.79,0.29,-1
2023-04-21,32.46,32.54,32.12,32.47,157642,0.01,0.42,0.03,1.29,0.21,-1
2023-04-20,32.0,32.66,31.86,32.51,176884,0.51,0.8,1.57,2.46,0.4,1
