Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-07,10.19,10.7,10.19,10.57,520158,0.38,0.51,3.6,4.82,0.25,1
2023-07-06,10.46,10.55,9.94,10.16,719024,-0.3,0.61,-2.95,6.0,0.31,-1
2023-07-05,10.41,10.66,10.14,10.56,1098863,0.15,0.52,1.42,4.92,0.26,1
2023-07-03,10.33,10.53,10.33,10.49,148688,0.16,0.2,1.53,1.91,0.1,1
2023-06-30,10.54,10.54,10.35,10.36,403661,-0.18,0.19,-1.74,1.83,0.09,-1
2023-06-29,10.25,10.45,10.25,10.43,412364,0.18,0.2,1.73,1.92,0.1,1
2023-06-28,10.24,10.26,10.11,10.2,329194,-0.04,0.15,-0.39,1.42,0.07,-1
2023-06-27,10.15,10.36,10.04,10.25,405475,0.1,0.32,0.98,3.12,0.16,1
2023-06-26,10.37,10.61,10.08,10.08,698143,-0.29,0.53,-2.88,5.26,0.26,-1
2023-06-23,9.97,10.42,9.9,10.37,1390875,0.4,0.53,3.86,5.06,0.26,1
2023-06-22,10.05,10.19,9.89,10.17,638581,0.12,0.3,1.18,2.95,0.15,1
2023-06-21,9.89,10.26,9.84,10.1,892098,0.21,0.42,2.08,4.2,0.21,1
2023-06-20,9.97,9.97,9.76,9.97,766907,0.0,0.21,0.0,2.06,0.1,-1
2023-06-16,10.17,10.2,9.85,9.98,2620663,-0.19,0.35,-1.9,3.51,0.17,-1
2023-06-15,9.85,10.1,9.82,10.05,759839,0.2,0.28,1.99,2.79,0.14,1
2023-06-14,10.2,10.3,9.8,9.88,702023,-0.32,0.5,-3.24,5.06,0.25,-1
2023-06-13,10.25,10.52,10.16,10.17,948058,-0.08,0.36,-0.79,3.54,0.18,-1
2023-06-12,10.05,10.24,10.01,10.19,674767,0.14,0.23,1.37,2.31,0.12,1
2023-06-09,10.19,10.2,9.99,10.09,634998,-0.1,0.21,-0.99,2.03,0.1,-1
2023-06-08,10.06,10.18,9.97,10.16,682900,0.1,0.21,0.98,2.07,0.1,1
2023-06-07,9.85,10.2,9.82,10.13,721684,0.28,0.38,2.76,3.7,0.19,1
2023-06-06,9.37,9.81,9.31,9.74,747084,0.37,0.5,3.8,5.13,0.25,1
