Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-07,0.94,0.94,0.9,0.92,10090,-0.02,0.04,-1.75,4.54,0.02,-1
2023-07-06,0.91,0.97,0.91,0.94,9894,0.03,0.06,3.39,6.36,0.03,-1
2023-07-05,0.94,0.98,0.94,0.97,2021,0.03,0.03,2.68,3.33,0.02,1
2023-07-03,0.93,0.95,0.93,0.95,4100,0.02,0.02,1.72,1.89,0.01,1
2023-06-30,0.97,1.03,0.91,0.92,32707,-0.05,0.12,-6.0,13.09,0.06,-1
2023-06-29,0.98,1.03,0.97,0.97,32223,-0.01,0.06,-0.81,5.97,0.03,-1
2023-06-28,0.94,1.03,0.94,1.03,23611,0.1,0.1,9.36,9.36,0.05,1
2023-06-27,0.96,0.96,0.91,0.92,17086,-0.04,0.05,-4.12,5.42,0.02,-1
2023-06-26,1.0,1.0,0.96,0.97,14193,-0.03,0.04,-3.2,4.11,0.02,-1
2023-06-23,1.05,1.05,0.98,1.0,52284,-0.05,0.07,-5.01,7.0,0.04,-1
2023-06-22,0.98,1.03,0.98,1.03,48175,0.05,0.05,5.22,5.22,0.03,1
2023-06-21,0.96,0.98,0.96,0.98,15716,0.02,0.02,1.74,2.33,0.01,-1
2023-06-20,1.0,1.06,0.95,0.98,36453,-0.02,0.11,-2.04,11.06,0.05,-1
2023-06-16,1.09,1.09,1.08,1.09,3009,0.0,0.01,0.02,0.92,0.01,-1
2023-06-15,1.09,1.1,1.08,1.09,13285,-0.0,0.02,-0.02,1.84,0.01,-1
2023-06-14,1.08,1.1,1.06,1.09,32377,0.01,0.04,0.83,3.66,0.02,-1
2023-06-13,1.09,1.14,1.09,1.09,36580,0.0,0.05,0.0,4.59,0.02,-1
2023-06-12,1.07,1.12,1.04,1.11,58861,0.04,0.08,3.28,6.91,0.04,1
2023-06-09,1.07,1.15,1.06,1.07,177543,0.0,0.09,0.0,8.41,0.04,1
2023-06-08,0.88,1.04,0.87,1.04,81092,0.16,0.17,15.29,15.98,0.08,1
2023-06-07,0.9,0.9,0.85,0.88,16623,-0.02,0.05,-2.74,5.6,0.02,1
2023-06-06,0.87,0.89,0.85,0.87,14562,0.0,0.04,0.22,5.06,0.02,-1
2023-06-05,0.85,0.9,0.82,0.87,15418,0.02,0.08,2.59,8.71,0.04,1
2023-06-02,0.84,0.86,0.83,0.85,42250,0.01,0.03,1.18,3.42,0.01,1
2023-06-01,0.82,0.94,0.82,0.84,80567,0.02,0.12,2.49,13.68,0.06,-1
2023-05-31,0.94,0.99,0.8,0.92,90591,-0.02,0.19,-2.27,20.65,0.09,-1
2023-05-30,0.98,1.02,0.95,0.97,72352,-0.01,0.07,-1.0,7.22,0.04,-1
2023-05-26,1.01,1.05,0.9,1.01,134819,0.0,0.15,0.0,14.62,0.07,-1
2023-05-25,1.08,1.08,1.0,1.02,56854,-0.06,0.08,-5.88,7.84,0.04,-1
2023-05-24,1.13,1.13,1.05,1.08,37368,-0.05,0.08,-4.63,7.41,0.04,-1
2023-05-23,1.08,1.13,1.06,1.11,106094,0.03,0.07,2.69,6.31,0.03,1
2023-05-22,1.11,1.14,1.09,1.1,27187,-0.01,0.05,-0.91,4.55,0.02,-1
2023-05-19,1.12,1.15,1.1,1.15,49905,0.03,0.05,2.61,4.35,0.02,-1
2023-05-18,1.0,1.15,0.99,1.15,141798,0.15,0.16,13.04,13.91,0.08,1
2023-05-17,1.1,1.1,1.07,1.07,8448,-0.03,0.03,-2.8,2.8,0.02,-1
2023-05-16,1.15,1.16,1.06,1.07,35129,-0.08,0.1,-7.47,9.37,0.05,-1
2023-05-15,1.11,1.18,1.1,1.15,81124,0.04,0.08,3.48,6.96,0.04,1
