Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-24,30.0,30.3,29.46,30.12,365913,0.12,0.84,0.4,2.8,0.42,26.34,26.88,0.93,0.88,0.05,40183154,25.43,95.0,10.0,1.0,85.0,Strong Buy Signal,30.88,26.34,21.81,0.34,60.18,Trending Low,Bearish Trend,14.87,Absent or Weak Trend
2023-07-21,30.15,30.17,29.51,29.92,690370,-0.23,0.66,-0.77,2.2,0.33,26.22,26.77,0.94,0.87,0.07,39817241,24.94,96.67,11.67,1.0,85.0,Strong Buy Signal,30.74,26.22,21.7,0.34,59.85,Target Volume,Expected Range,14.69,Absent or Weak Trend
2023-07-20,30.2,30.42,29.76,29.96,295218,-0.24,0.66,-0.8,2.2,0.33,26.1,26.66,0.95,0.85,0.1,40507611,26.5,98.33,13.33,1.0,85.0,Strong Buy Signal,30.6,26.1,21.6,0.34,59.95,Target Volume,Expected Range,14.52,Absent or Weak Trend
2023-07-19,30.75,30.76,29.73,30.07,369572,-0.68,1.03,-2.26,3.43,0.52,25.98,26.55,0.96,0.83,0.13,40802829,26.5,100.0,15.0,1.0,85.0,Strong Buy Signal,30.46,25.98,21.49,0.34,60.22,Trending Low,Bearish Trend,14.31,Absent or Weak Trend
2023-07-18,30.45,30.63,30.31,30.61,404292,0.16,0.32,0.52,1.05,0.16,25.85,26.43,0.93,0.79,0.14,41172401,30.16,100.0,16.67,1.0,83.33,Strong Buy Signal,30.28,25.85,21.42,0.34,61.55,Trending Low,Bearish Trend,14.11,Absent or Weak Trend
2023-07-17,29.26,30.57,29.26,30.25,879742,0.99,1.31,3.27,4.32,0.65,25.72,26.29,0.84,0.76,0.08,40768109,29.95,100.0,18.33,1.0,81.67,Strong Buy Signal,30.04,25.72,21.41,0.34,60.98,Trending Low,Bearish Trend,13.83,Absent or Weak Trend
2023-07-14,29.0,29.27,28.85,29.07,318055,0.07,0.42,0.24,1.44,0.21,25.62,26.16,0.74,0.74,0.0,39888367,25.25,80.0,20.0,1.0,60.0,Weak Buy Signal,29.79,25.62,21.44,0.33,59.04,Target Volume,Expected Range,13.56,Absent or Weak Trend
2023-07-13,28.92,29.22,28.77,29.09,305988,0.17,0.45,0.58,1.55,0.22,25.53,26.06,0.72,0.74,-0.01,40206422,25.06,81.67,21.67,1.0,60.0,Weak Buy Signal,29.63,25.53,21.42,0.32,59.09,Target Volume,Expected Range,13.36,Absent or Weak Trend
2023-07-12,29.17,29.28,28.25,28.71,410601,-0.46,1.03,-1.6,3.6,0.52,25.45,25.95,0.69,0.74,-0.05,39900434,25.06,83.33,23.33,1.0,60.0,Weak Buy Signal,29.46,25.45,21.43,0.32,58.45,Target Volume,Expected Range,13.16,Absent or Weak Trend
2023-07-11,28.46,28.72,28.2,28.34,256617,-0.12,0.52,-0.42,1.82,0.26,25.38,25.86,0.68,0.75,-0.07,39489833,22.9,85.0,25.0,1.0,60.0,Weak Buy Signal,29.3,25.38,21.45,0.31,57.81,Target Volume,Expected Range,12.96,Absent or Weak Trend
