Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-10,31.37,31.92,31.15,31.61,1305694,0.24,0.77,0.76,2.44,0.39,-1
2023-07-07,31.72,32.16,31.66,31.92,984421,0.2,0.5,0.63,1.57,0.25,1
2023-07-06,31.77,31.93,31.57,31.85,654560,0.08,0.36,0.25,1.13,0.18,-1
2023-07-05,32.06,32.3,31.71,32.03,1310239,-0.03,0.59,-0.09,1.83,0.29,-1
2023-07-03,31.78,32.24,31.64,32.22,309127,0.44,0.6,1.37,1.86,0.3,1
2023-06-30,32.27,32.36,31.79,31.89,1023771,-0.38,0.57,-1.19,1.79,0.29,-1
2023-06-29,32.05,32.27,31.89,32.11,692600,0.06,0.38,0.19,1.18,0.19,1
2023-06-28,32.03,32.21,31.85,32.09,624843,0.06,0.36,0.19,1.12,0.18,-1
2023-06-27,31.06,32.28,31.06,32.15,818205,1.09,1.22,3.39,3.79,0.61,1
2023-06-26,30.67,31.16,30.64,31.07,596536,0.4,0.52,1.29,1.67,0.26,1
2023-06-23,30.64,30.73,30.49,30.63,1548291,-0.01,0.24,-0.03,0.78,0.12,-1
2023-06-22,31.05,31.06,30.66,30.82,2049704,-0.23,0.39,-0.75,1.28,0.2,-1
2023-06-21,31.15,31.21,30.84,31.03,751418,-0.12,0.37,-0.39,1.19,0.19,-1
2023-06-20,31.37,31.5,30.87,31.09,1767058,-0.28,0.63,-0.9,2.03,0.31,-1
2023-06-16,31.58,31.81,31.34,31.5,1735166,-0.08,0.46,-0.25,1.48,0.23,-1
2023-06-15,31.19,31.69,31.01,31.55,1076499,0.36,0.68,1.14,2.16,0.34,1
2023-06-14,31.19,31.67,30.96,31.19,881688,0.0,0.71,0.0,2.28,0.36,1
2023-06-13,31.41,31.67,31.13,31.18,1424136,-0.23,0.54,-0.74,1.73,0.27,-1
2023-06-12,31.4,31.62,31.16,31.36,935175,-0.04,0.46,-0.13,1.47,0.23,-1
2023-06-09,31.69,31.76,31.29,31.4,1346148,-0.29,0.47,-0.92,1.5,0.24,-1
2023-06-08,31.1,31.64,31.06,31.62,670973,0.52,0.58,1.64,1.83,0.29,1
2023-06-07,30.64,31.36,30.53,31.18,938992,0.54,0.83,1.73,2.66,0.41,1
2023-06-06,30.04,30.54,29.85,30.45,1437580,0.41,0.7,1.35,2.28,0.35,1
2023-06-05,29.82,30.12,29.75,30.08,771264,0.26,0.36,0.86,1.21,0.18,1
2023-06-02,29.38,29.91,29.36,29.84,1739670,0.46,0.55,1.54,1.84,0.28,1
2023-06-01,29.27,29.52,28.98,29.2,1137490,-0.07,0.54,-0.24,1.85,0.27,-1
2023-05-31,29.2,29.35,28.89,29.21,6319085,0.01,0.46,0.03,1.57,0.23,-1
2023-05-30,29.22,29.52,29.13,29.29,1527057,0.07,0.39,0.24,1.31,0.19,1
2023-05-26,28.97,29.42,28.97,29.25,1988070,0.28,0.45,0.96,1.54,0.23,1
2023-05-25,28.68,29.08,28.45,28.92,4625523,0.24,0.63,0.83,2.18,0.31,1
2023-05-24,28.99,29.07,28.6,28.65,579667,-0.34,0.46,-1.19,1.62,0.23,-1
2023-05-23,28.91,29.38,28.91,28.98,1068131,0.07,0.47,0.24,1.62,0.23,1
2023-05-22,29.07,29.26,28.79,28.96,859125,-0.11,0.46,-0.38,1.61,0.23,1
2023-05-19,28.77,29.02,28.69,28.92,1216465,0.15,0.33,0.52,1.14,0.16,1
2023-05-18,28.84,29.07,28.36,28.7,973985,-0.14,0.71,-0.49,2.49,0.36,-1
2023-05-17,28.45,28.96,28.2,28.93,1030390,0.48,0.76,1.66,2.63,0.38,1
2023-05-16,28.65,28.68,28.17,28.21,1329909,-0.44,0.51,-1.56,1.83,0.26,-1
2023-05-15,28.23,28.63,28.04,28.62,1092954,0.39,0.59,1.36,2.06,0.29,1
2023-05-12,28.05,28.32,27.82,28.27,1131078,0.22,0.5,0.78,1.77,0.25,1
2023-05-11,28.43,28.54,27.79,28.16,1227487,-0.27,0.75,-0.96,2.66,0.38,-1
2023-05-10,29.51,29.55,28.14,28.64,1505210,-0.87,1.41,-3.04,4.92,0.7,-1
2023-05-09,29.8,30.45,29.04,29.12,1379149,-0.68,1.4,-2.34,4.82,0.7,-1
2023-05-08,29.48,29.69,29.26,29.56,916353,0.08,0.43,0.27,1.45,0.21,1
2023-05-05,28.86,29.49,28.82,29.39,764855,0.53,0.67,1.8,2.3,0.34,1
2023-05-04,29.32,29.45,28.53,28.63,1449435,-0.69,0.92,-2.41,3.21,0.46,-1
2023-05-03,30.45,30.7,29.95,29.97,783963,-0.48,0.75,-1.6,2.49,0.37,-1
2023-05-02,30.44,30.45,29.82,30.33,678858,-0.11,0.62,-0.36,2.06,0.31,-1
2023-05-01,30.44,30.9,30.4,30.62,957312,0.18,0.51,0.59,1.65,0.25,1
2023-04-28,30.0,30.75,30.0,30.54,1243832,0.54,0.75,1.76,2.45,0.37,1
2023-04-27,29.83,30.19,29.28,30.15,1044155,0.32,0.91,1.06,3.02,0.46,1
2023-04-26,29.66,30.13,29.63,29.73,1259332,0.07,0.5,0.24,1.68,0.25,1
2023-04-25,29.73,30.15,29.49,29.72,1304708,-0.01,0.66,-0.03,2.22,0.33,-1
2023-04-24,30.87,31.02,29.27,29.91,3620153,-0.96,1.75,-3.21,5.85,0.88,-1
2023-04-21,30.82,30.86,30.26,30.82,1048655,0.0,0.59,0.0,1.93,0.3,-1
2023-04-20,30.88,31.18,30.74,30.89,716331,0.01,0.44,0.03,1.42,0.22,-1
2023-04-19,30.75,31.18,30.06,31.06,1181775,0.31,1.11,1.0,3.59,0.56,-1
2023-04-18,31.2,31.37,30.92,31.2,1725498,0.0,0.45,0.0,1.44,0.22,-1
2023-04-17,30.84,31.27,30.71,31.22,889100,0.38,0.56,1.22,1.79,0.28,1
2023-04-14,31.06,31.22,30.47,30.75,877000,-0.31,0.75,-1.01,2.44,0.38,-1
2023-04-13,31.17,31.33,31.05,31.17,651553,0.0,0.28,0.0,0.9,0.14,1
2023-04-12,31.68,31.79,30.94,31.01,615200,-0.67,0.85,-2.16,2.74,0.42,-1
2023-04-11,31.13,31.7,31.13,31.47,826939,0.34,0.57,1.08,1.8,0.28,1
2023-04-10,30.68,31.22,30.68,31.19,559705,0.51,0.55,1.64,1.75,0.27,1
2023-04-06,30.76,30.93,30.55,30.74,755582,-0.02,0.38,-0.07,1.24,0.19,-1
2023-04-05,30.91,31.13,30.73,31.02,664683,0.11,0.4,0.35,1.29,0.2,-1
2023-04-04,31.47,31.63,30.89,31.16,717987,-0.31,0.74,-0.99,2.37,0.37,-1
2023-04-03,31.3,31.56,31.2,31.37,940815,0.07,0.37,0.22,1.16,0.18,1
2023-03-31,31.05,31.33,30.97,31.31,1149592,0.26,0.36,0.83,1.16,0.18,1
2023-03-30,30.69,31.09,30.68,30.89,787771,0.2,0.41,0.65,1.33,0.21,1
2023-03-29,30.48,30.6,30.27,30.52,990352,0.04,0.32,0.13,1.06,0.16,1
2023-03-28,30.13,30.65,30.07,30.13,903413,0.0,0.58,0.0,1.92,0.29,-1
2023-03-27,30.44,31.29,30.44,30.98,787666,0.54,0.85,1.74,2.74,0.42,1
2023-03-24,30.65,30.65,29.58,30.38,851954,-0.27,1.07,-0.89,3.52,0.54,-1
2023-03-23,30.65,31.44,30.65,30.91,671775,0.26,0.79,0.84,2.56,0.4,1
2023-03-22,30.95,31.27,30.56,30.57,831712,-0.38,0.71,-1.24,2.32,0.36,-1
2023-03-21,30.96,31.31,30.73,31.03,1044371,0.07,0.58,0.23,1.87,0.29,1
2023-03-20,30.1,30.92,30.01,30.7,882886,0.6,0.91,1.95,2.96,0.46,1
2023-03-17,30.2,30.36,29.98,30.1,2422518,-0.1,0.38,-0.33,1.26,0.19,-1
2023-03-16,29.73,30.33,29.6,30.22,874738,0.49,0.73,1.62,2.42,0.36,1
2023-03-15,29.72,30.1,29.58,29.83,1408501,0.11,0.52,0.37,1.74,0.26,-1
2023-03-14,30.14,30.52,29.87,30.19,1444908,0.05,0.65,0.17,2.15,0.32,1
2023-03-13,30.12,30.38,29.64,29.73,1949623,-0.39,0.74,-1.31,2.49,0.37,-1
2023-03-10,30.46,30.7,30.16,30.51,1047818,0.05,0.54,0.16,1.79,0.27,-1
2023-03-09,31.87,32.03,30.61,30.63,828150,-1.24,1.42,-4.05,4.65,0.71,-1
2023-03-08,32.0,32.24,31.64,31.84,1761157,-0.16,0.6,-0.5,1.88,0.3,-1
2023-03-07,32.12,32.38,31.91,31.97,1000310,-0.15,0.47,-0.47,1.47,0.24,-1
2023-03-06,32.39,32.69,31.96,32.07,1749321,-0.32,0.74,-1.0,2.29,0.37,-1
2023-03-03,32.43,32.54,32.08,32.2,991892,-0.23,0.46,-0.71,1.43,0.23,-1
2023-03-02,31.99,32.36,31.92,32.3,1428721,0.31,0.44,0.96,1.36,0.22,1
2023-03-01,32.12,32.21,31.86,32.04,1440636,-0.08,0.35,-0.25,1.09,0.18,-1
2023-02-28,32.59,32.82,32.09,32.25,1241256,-0.34,0.73,-1.05,2.26,0.36,-1
2023-02-27,33.24,33.27,32.81,32.85,1069537,-0.39,0.46,-1.19,1.4,0.23,-1
2023-02-24,33.05,33.36,32.94,33.06,815753,0.01,0.42,0.03,1.27,0.21,-1
2023-02-23,33.63,33.93,33.17,33.57,2852220,-0.06,0.76,-0.18,2.25,0.38,-1
2023-02-22,33.4,33.85,33.34,33.68,964727,0.28,0.51,0.83,1.51,0.25,1
2023-02-21,33.83,34.26,33.34,33.36,1662471,-0.47,0.92,-1.41,2.77,0.46,-1
2023-02-17,33.99,34.38,33.72,34.22,1623406,0.23,0.66,0.67,1.93,0.33,1
2023-02-16,33.93,34.42,33.85,33.99,1065899,0.06,0.57,0.18,1.68,0.29,-1
2023-02-15,33.11,34.37,33.03,34.36,1071419,1.25,1.34,3.64,3.9,0.67,1
2023-02-14,32.89,33.36,32.76,33.13,639358,0.24,0.6,0.72,1.81,0.3,1
2023-02-13,33.18,33.48,32.88,33.08,812713,-0.1,0.6,-0.3,1.81,0.3,-1
2023-02-10,33.14,33.45,32.94,33.2,983703,0.06,0.51,0.18,1.54,0.26,-1
2023-02-09,33.55,33.94,33.08,33.21,1670241,-0.34,0.86,-1.02,2.59,0.43,-1
2023-02-08,33.17,34.31,32.89,33.21,2000981,0.04,1.42,0.12,4.28,0.71,1
2023-02-07,31.65,31.88,31.2,31.8,1589655,0.15,0.68,0.47,2.12,0.34,-1
2023-02-06,32.12,32.12,31.56,31.81,606365,-0.31,0.56,-0.97,1.76,0.28,-1
