Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-03,18.78,18.81,18.5,18.62,5271670,-0.16,0.31,-0.86,1.66,0.15,-1
2023-08-02,19.04,19.07,18.67,18.75,3385073,-0.29,0.4,-1.55,2.13,0.2,-1
2023-08-01,19.4,19.45,19.2,19.31,3298571,-0.09,0.25,-0.47,1.29,0.12,-1
2023-07-31,19.46,19.7,19.36,19.45,3211578,-0.01,0.34,-0.05,1.75,0.17,-1
2023-07-28,19.82,19.82,19.44,19.48,2709371,-0.34,0.38,-1.75,1.95,0.19,-1
2023-07-27,19.9,19.9,19.4,19.5,4767102,-0.4,0.5,-2.05,2.56,0.25,-1
2023-07-26,19.6,19.78,19.54,19.74,3298123,0.14,0.25,0.71,1.24,0.12,1
2023-07-25,19.28,19.62,19.21,19.6,3278780,0.32,0.41,1.63,2.09,0.21,1
2023-07-24,19.32,19.44,19.24,19.31,2068454,-0.01,0.21,-0.05,1.06,0.1,1
2023-07-21,19.21,19.36,19.06,19.26,2586784,0.05,0.3,0.26,1.56,0.15,1
2023-07-20,19.24,19.3,18.99,19.09,2511977,-0.15,0.31,-0.79,1.62,0.16,-1
2023-07-19,19.33,19.55,19.22,19.32,2527649,-0.01,0.33,-0.05,1.71,0.16,1
2023-07-18,18.88,19.23,18.85,19.22,2334108,0.34,0.38,1.77,1.98,0.19,1
2023-07-17,18.94,19.01,18.78,18.87,2531364,-0.07,0.23,-0.37,1.19,0.11,-1
2023-07-14,19.18,19.18,18.86,19.01,2474862,-0.17,0.32,-0.89,1.66,0.16,-1
2023-07-13,18.95,19.24,18.91,19.21,2125491,0.26,0.33,1.35,1.72,0.16,1
2023-07-12,19.0,19.07,18.74,18.83,2883765,-0.17,0.34,-0.9,1.78,0.17,1
2023-07-11,18.41,18.78,18.36,18.75,3034967,0.34,0.42,1.81,2.24,0.21,1
2023-07-10,17.98,18.44,17.98,18.37,4163209,0.39,0.46,2.12,2.5,0.23,1
2023-07-07,17.84,18.22,17.84,18.08,5383515,0.24,0.38,1.33,2.07,0.19,1
2023-07-06,17.79,17.96,17.74,17.92,4239126,0.13,0.22,0.73,1.23,0.11,-1
2023-07-05,18.28,18.3,17.99,18.04,3636300,-0.24,0.31,-1.33,1.72,0.16,-1
2023-07-03,18.48,18.63,18.37,18.45,1887122,-0.03,0.26,-0.16,1.41,0.13,-1
2023-06-30,18.61,18.67,18.41,18.55,2657980,-0.06,0.26,-0.32,1.4,0.13,1
2023-06-29,18.25,18.44,18.18,18.43,2253455,0.18,0.26,0.98,1.41,0.13,1
2023-06-28,18.35,18.43,18.2,18.27,3491454,-0.08,0.23,-0.44,1.29,0.12,-1
2023-06-27,18.06,18.57,18.02,18.46,2654401,0.4,0.55,2.17,2.98,0.28,1
2023-06-26,17.7,18.12,17.6,18.06,3699525,0.36,0.52,1.99,2.91,0.26,1
2023-06-23,17.95,18.0,17.57,17.71,7365904,-0.24,0.43,-1.36,2.4,0.21,-1
2023-06-22,18.23,18.26,17.97,18.09,3273753,-0.14,0.29,-0.77,1.6,0.15,-1
2023-06-21,18.48,18.52,18.21,18.23,3297794,-0.25,0.31,-1.37,1.72,0.16,-1
2023-06-20,18.61,18.79,18.39,18.58,3839020,-0.03,0.4,-0.16,2.18,0.2,-1
2023-06-16,19.04,19.15,18.58,18.63,10174862,-0.41,0.57,-2.2,3.06,0.29,-1
2023-06-15,18.17,18.9,18.1,18.85,3610979,0.68,0.8,3.61,4.27,0.4,1
2023-06-14,18.47,18.66,18.32,18.35,2488099,-0.12,0.35,-0.65,1.91,0.17,-1
2023-06-13,18.38,18.6,18.33,18.43,4881796,0.05,0.27,0.27,1.44,0.13,1
2023-06-12,17.85,18.35,17.85,18.31,2965174,0.46,0.5,2.51,2.73,0.25,1
2023-06-09,17.83,17.98,17.69,17.82,2702105,-0.01,0.29,-0.06,1.63,0.14,1
2023-06-08,17.79,17.9,17.62,17.78,2222649,-0.01,0.28,-0.06,1.57,0.14,1
2023-06-07,18.12,18.17,17.64,17.77,4630106,-0.35,0.53,-1.97,2.95,0.26,-1
2023-06-06,17.91,18.15,17.73,18.13,2666880,0.22,0.42,1.21,2.32,0.21,1
2023-06-05,17.9,18.24,17.8,17.97,3655341,0.07,0.45,0.39,2.48,0.22,-1
2023-06-02,17.67,18.09,17.61,17.99,3868184,0.32,0.48,1.78,2.67,0.24,1
2023-06-01,17.51,17.76,17.3,17.55,4714934,0.04,0.46,0.23,2.62,0.23,1
2023-05-31,17.16,17.63,17.08,17.54,17286793,0.38,0.55,2.17,3.14,0.28,1
2023-05-30,17.13,17.41,17.01,17.22,3666736,0.09,0.4,0.52,2.32,0.2,1
2023-05-26,16.73,17.23,16.73,17.11,3343455,0.38,0.5,2.22,2.92,0.25,1
2023-05-25,16.78,16.98,16.62,16.84,3966952,0.06,0.36,0.36,2.14,0.18,-1
2023-05-24,16.83,16.99,16.69,16.84,4599767,0.01,0.3,0.06,1.78,0.15,-1
2023-05-23,17.05,17.19,16.86,16.96,5762550,-0.09,0.34,-0.53,1.98,0.17,-1
2023-05-22,16.53,17.14,16.44,17.06,8425953,0.53,0.7,3.11,4.1,0.35,1
2023-05-19,16.19,16.4,16.02,16.2,7633941,0.01,0.38,0.06,2.31,0.19,1
2023-05-18,15.99,16.14,15.89,16.12,4922413,0.13,0.25,0.81,1.55,0.12,1
2023-05-17,15.51,16.11,15.51,16.04,6256373,0.53,0.6,3.3,3.74,0.3,1
2023-05-16,16.36,16.39,15.45,15.46,5583326,-0.9,0.94,-5.82,6.08,0.47,-1
2023-05-15,16.24,16.62,16.1,16.41,6240170,0.17,0.52,1.04,3.14,0.26,1
2023-05-12,16.92,16.94,15.62,16.22,8372208,-0.7,1.32,-4.32,8.14,0.66,-1
2023-05-11,17.26,17.34,17.01,17.16,4640591,-0.1,0.33,-0.58,1.95,0.17,-1
2023-05-10,17.13,17.31,16.96,17.24,4631359,0.11,0.35,0.64,2.03,0.17,1
2023-05-09,17.02,17.16,16.86,17.0,5703390,-0.02,0.3,-0.12,1.79,0.15,-1
2023-05-08,17.24,17.4,17.0,17.05,5304474,-0.19,0.39,-1.11,2.32,0.2,-1
2023-05-05,16.65,17.15,16.6,17.15,4103557,0.5,0.55,2.92,3.21,0.27,1
2023-05-04,16.62,16.68,16.38,16.45,3593377,-0.17,0.3,-1.03,1.85,0.15,-1
2023-05-03,17.02,17.19,16.74,16.75,3701143,-0.27,0.45,-1.61,2.69,0.23,-1
2023-05-02,17.53,17.64,16.92,16.93,3856559,-0.6,0.72,-3.54,4.25,0.36,-1
2023-05-01,17.56,17.88,17.48,17.66,3101335,0.1,0.39,0.57,2.24,0.2,-1
2023-04-28,17.64,17.8,17.56,17.67,2917656,0.03,0.24,0.17,1.33,0.12,-1
2023-04-27,17.34,17.8,17.34,17.75,2750010,0.41,0.46,2.31,2.59,0.23,1
2023-04-26,17.46,17.59,17.14,17.21,2927131,-0.25,0.45,-1.45,2.61,0.22,-1
2023-04-25,17.37,17.5,17.28,17.36,3333400,-0.01,0.22,-0.06,1.27,0.11,-1
2023-04-24,17.65,17.7,17.43,17.54,2590471,-0.11,0.27,-0.63,1.54,0.13,-1
2023-04-21,17.72,17.74,17.55,17.65,5148968,-0.07,0.18,-0.4,1.05,0.09,1
2023-04-20,17.72,17.73,17.57,17.63,2955397,-0.09,0.16,-0.51,0.91,0.08,-1
2023-04-19,17.84,18.02,17.78,17.87,4456018,0.03,0.23,0.17,1.32,0.12,-1
2023-04-18,18.0,18.08,17.73,17.87,2977213,-0.13,0.36,-0.73,2.01,0.18,-1
2023-04-17,17.65,17.98,17.56,17.96,2966013,0.31,0.42,1.73,2.34,0.21,1
2023-04-14,17.64,17.79,17.36,17.57,2930682,-0.07,0.43,-0.4,2.45,0.21,-1
2023-04-13,17.64,17.9,17.64,17.71,3468318,0.07,0.27,0.4,1.5,0.13,1
2023-04-12,17.83,18.09,17.58,17.61,4483718,-0.22,0.51,-1.25,2.9,0.26,-1
2023-04-11,17.29,17.86,17.27,17.77,4229305,0.48,0.59,2.7,3.32,0.29,1
2023-04-10,17.1,17.34,17.05,17.31,2615223,0.21,0.29,1.21,1.65,0.14,1
2023-04-06,17.2,17.33,17.09,17.27,2346163,0.07,0.24,0.41,1.39,0.12,1
2023-04-05,17.02,17.34,16.97,17.21,3825562,0.19,0.37,1.1,2.12,0.18,1
2023-04-04,17.08,17.19,16.8,17.06,4447416,-0.02,0.39,-0.09,2.29,0.2,-1
2023-04-03,17.21,17.32,17.08,17.16,3859034,-0.05,0.25,-0.29,1.43,0.12,-1
2023-03-31,16.79,17.2,16.7,17.16,4059635,0.37,0.5,2.16,2.94,0.25,1
2023-03-30,16.77,17.1,16.68,16.78,4695102,0.01,0.42,0.06,2.5,0.21,1
2023-03-29,16.87,16.87,16.57,16.64,3694522,-0.23,0.3,-1.38,1.8,0.15,-1
2023-03-28,16.66,16.85,16.59,16.7,2966951,0.04,0.26,0.24,1.56,0.13,-1
2023-03-27,16.55,16.8,16.39,16.79,5656732,0.24,0.41,1.43,2.47,0.21,1
2023-03-24,16.28,16.41,16.07,16.4,4417378,0.12,0.34,0.73,2.1,0.17,1
2023-03-23,16.48,16.77,16.2,16.35,6383975,-0.13,0.57,-0.8,3.49,0.29,-1
2023-03-22,17.06,17.13,16.44,16.44,4685155,-0.62,0.69,-3.77,4.2,0.34,-1
2023-03-21,16.71,17.18,16.67,17.06,6570463,0.35,0.51,2.05,2.99,0.25,1
2023-03-20,16.42,16.69,16.27,16.64,6747601,0.22,0.42,1.32,2.49,0.21,1
2023-03-17,16.16,16.38,16.0,16.32,14551130,0.16,0.38,0.98,2.33,0.19,1
2023-03-16,15.82,16.2,15.68,16.17,5622411,0.35,0.52,2.16,3.25,0.26,1
2023-03-15,15.69,16.04,15.52,15.96,7097323,0.27,0.52,1.69,3.23,0.26,1
2023-03-14,16.6,16.69,15.73,15.9,6306553,-0.7,0.96,-4.4,6.04,0.48,-1
2023-03-13,16.53,16.95,16.17,16.42,6453147,-0.11,0.78,-0.67,4.75,0.39,-1
2023-03-10,17.63,17.67,16.34,16.61,9983095,-1.02,1.33,-6.14,7.98,0.66,-1
2023-03-09,18.48,18.53,17.65,17.74,6719856,-0.74,0.88,-4.17,4.96,0.44,-1
2023-03-08,18.68,18.73,18.33,18.35,5788526,-0.33,0.4,-1.8,2.15,0.2,-1
2023-03-07,19.17,19.27,18.55,18.69,4834704,-0.48,0.72,-2.57,3.85,0.36,-1
2023-03-06,19.31,19.59,19.22,19.27,3668065,-0.04,0.37,-0.21,1.92,0.19,1
2023-03-03,19.35,19.4,19.19,19.26,4056147,-0.09,0.21,-0.47,1.09,0.1,-1
2023-03-02,19.16,19.42,19.02,19.3,4047525,0.14,0.39,0.73,2.02,0.2,1
2023-03-01,19.41,19.73,19.14,19.19,3523327,-0.22,0.59,-1.15,3.08,0.3,-1
2023-02-28,19.95,19.98,19.41,19.51,6395705,-0.44,0.57,-2.26,2.92,0.29,-1
2023-02-27,20.38,20.48,19.91,19.99,2902739,-0.39,0.57,-1.95,2.85,0.29,-1
2023-02-24,20.41,20.51,20.1,20.17,2483366,-0.24,0.41,-1.19,2.03,0.21,-1
2023-02-23,20.56,20.7,20.32,20.59,2206952,0.03,0.38,0.15,1.85,0.19,1
2023-02-22,20.82,20.9,20.5,20.58,2328910,-0.24,0.39,-1.17,1.92,0.2,-1
2023-02-21,20.85,20.95,20.44,20.74,2961661,-0.11,0.51,-0.53,2.46,0.25,-1
2023-02-17,21.21,21.27,20.72,21.04,4508403,-0.17,0.55,-0.81,2.61,0.28,-1
2023-02-16,21.1,21.58,21.07,21.35,2501820,0.25,0.5,1.17,2.37,0.25,-1
2023-02-15,21.15,21.57,21.12,21.53,3482805,0.38,0.46,1.76,2.11,0.23,1
2023-02-14,21.42,21.54,21.01,21.2,3168663,-0.22,0.53,-1.04,2.5,0.26,-1
2023-02-13,21.49,21.64,21.38,21.45,2810323,-0.04,0.26,-0.19,1.21,0.13,1
2023-02-10,21.23,21.44,21.14,21.41,2725336,0.18,0.3,0.84,1.42,0.15,1
2023-02-09,21.69,21.78,21.2,21.3,4244671,-0.39,0.58,-1.83,2.72,0.29,-1
2023-02-08,21.81,22.16,21.46,21.49,4300818,-0.32,0.7,-1.49,3.26,0.35,-1
2023-02-07,21.25,21.91,21.21,21.84,5433337,0.59,0.7,2.7,3.21,0.35,1
2023-02-06,21.46,21.54,20.94,21.3,4990397,-0.15,0.6,-0.7,2.82,0.3,-1
2023-02-03,23.11,23.21,21.1,21.3,8018256,-1.81,2.11,-8.5,9.91,1.05,-1
2023-02-02,23.56,23.74,23.25,23.57,4030616,0.01,0.49,0.04,2.08,0.24,1
2023-02-01,22.85,23.48,22.76,23.36,3661441,0.51,0.71,2.18,3.06,0.36,1
2023-01-31,22.71,23.04,22.54,23.01,4537742,0.3,0.5,1.3,2.17,0.25,1
2023-01-30,22.79,22.8,22.54,22.69,3053736,-0.1,0.26,-0.44,1.15,0.13,-1
2023-01-27,22.67,22.92,22.51,22.84,2069828,0.17,0.41,0.74,1.8,0.21,1
2023-01-26,22.73,22.89,22.52,22.71,2962623,-0.02,0.37,-0.09,1.63,0.19,1
2023-01-25,22.47,22.69,22.24,22.6,1509259,0.13,0.46,0.58,2.01,0.23,-1
2023-01-24,22.82,22.97,22.59,22.66,1524791,-0.16,0.38,-0.71,1.68,0.19,-1
2023-01-23,22.5,22.89,22.43,22.81,1703277,0.31,0.46,1.36,2.02,0.23,1
2023-01-20,21.89,22.47,21.79,22.43,3580475,0.54,0.68,2.41,3.03,0.34,1
2023-01-19,22.26,22.37,21.93,21.94,2512122,-0.32,0.44,-1.46,2.01,0.22,-1
