Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-28,13.06,13.19,13.0,13.1,225381,0.04,0.19,0.31,1.44,0.09,1
2023-07-27,13.05,13.18,12.99,13.02,197070,-0.03,0.2,-0.23,1.5,0.1,-1
2023-07-26,12.91,13.13,12.91,13.07,266782,0.16,0.22,1.22,1.68,0.11,1
2023-07-25,12.98,13.06,12.85,12.93,248330,-0.05,0.21,-0.39,1.62,0.1,-1
2023-07-24,12.91,13.16,12.86,13.0,396125,0.09,0.3,0.69,2.31,0.15,1
2023-07-21,12.81,12.95,12.76,12.89,179229,0.08,0.19,0.62,1.47,0.09,1
2023-07-20,12.86,12.96,12.7,12.75,217685,-0.11,0.26,-0.86,2.04,0.13,-1
2023-07-19,12.78,12.97,12.78,12.9,247352,0.12,0.19,0.93,1.47,0.1,1
2023-07-18,12.62,12.95,12.62,12.69,264050,0.07,0.33,0.55,2.6,0.17,1
2023-07-17,12.85,12.87,12.44,12.59,464572,-0.26,0.43,-2.07,3.42,0.21,-1
2023-07-14,13.0,13.15,12.79,12.93,481635,-0.07,0.36,-0.54,2.78,0.18,-1
2023-07-13,12.75,13.09,12.7,13.0,523802,0.25,0.39,1.92,3.0,0.2,1
2023-07-12,12.6,12.75,12.53,12.64,332183,0.04,0.22,0.32,1.74,0.11,1
2023-07-11,12.5,12.6,12.46,12.46,452689,-0.04,0.14,-0.32,1.12,0.07,1
2023-07-10,12.29,12.49,12.29,12.45,244971,0.16,0.2,1.29,1.61,0.1,1
2023-07-07,12.25,12.36,12.25,12.28,163888,0.03,0.11,0.24,0.9,0.05,1
2023-07-06,12.35,12.35,12.04,12.25,229483,-0.1,0.31,-0.82,2.53,0.16,-1
2023-07-05,12.26,12.41,12.23,12.37,277077,0.11,0.18,0.93,1.46,0.09,1
2023-07-03,12.15,12.3,12.1,12.3,193603,0.15,0.2,1.22,1.63,0.1,1
2023-06-30,12.11,12.15,12.04,12.08,192012,-0.03,0.11,-0.25,0.88,0.05,-1
2023-06-29,11.94,12.12,11.91,12.08,183518,0.14,0.21,1.16,1.74,0.1,1
2023-06-28,11.83,11.94,11.8,11.89,159828,0.06,0.14,0.5,1.18,0.07,1
2023-06-27,11.89,11.89,11.75,11.8,197423,-0.09,0.14,-0.76,1.2,0.07,-1
2023-06-26,11.72,11.91,11.69,11.91,143605,0.19,0.22,1.6,1.83,0.11,1
2023-06-23,11.75,11.84,11.61,11.66,290743,-0.09,0.23,-0.77,1.95,0.11,-1
2023-06-22,12.02,12.03,11.75,11.77,284657,-0.25,0.28,-2.12,2.38,0.14,-1
2023-06-21,12.0,12.22,11.88,12.07,411299,0.07,0.34,0.58,2.82,0.17,1
