Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-03,4.61,5.3,4.61,4.62,9318,0.01,0.69,0.22,14.94,0.34,5.45,5.49,-0.13,-0.1,-0.03,-129328,6.23,5.0,100.0,-1.0,-95.0,Strong Sell Signal,6.43,5.45,4.47,0.36,41.45,Target Volume,Expected Range,9.65,Absent or Weak Trend
2023-08-02,4.98,4.98,4.98,4.98,1,0.0,0.0,0.0,0.0,0.0,5.49,5.52,-0.09,-0.09,-0.01,-120010,2.94,6.67,98.33,-1.0,-91.67,Strong Sell Signal,6.48,5.49,4.49,0.36,43.33,Target Volume,Expected Range,9.71,Absent or Weak Trend
2023-08-01,4.8,5.1,4.8,4.98,1213,0.18,0.3,3.61,6.02,0.15,5.51,5.54,-0.09,-0.09,0.0,-120010,2.94,8.33,100.0,-1.0,-91.67,Strong Sell Signal,6.54,5.51,4.48,0.37,43.33,Target Volume,Expected Range,9.83,Absent or Weak Trend
2023-07-31,5.2,5.2,5.2,5.2,30,0.0,0.0,0.0,0.0,0.0,5.54,5.56,-0.07,-0.09,0.01,-118797,0.76,10.0,91.67,-1.0,-81.67,Strong Sell Signal,6.59,5.54,4.48,0.38,44.51,Target Volume,Expected Range,9.94,Absent or Weak Trend
2023-07-28,5.2,5.2,5.2,5.2,160,0.0,0.0,0.0,0.0,0.0,5.56,5.57,-0.08,-0.09,0.01,-118797,0.76,11.67,93.33,-1.0,-81.67,Strong Sell Signal,6.65,5.56,4.48,0.39,44.51,Target Volume,Expected Range,10.1,Absent or Weak Trend
2023-07-27,5.2,5.2,5.2,5.2,37,0.0,0.0,0.0,0.0,0.0,5.59,5.58,-0.09,-0.09,-0.0,-118797,0.76,13.33,95.0,-1.0,-81.67,Strong Sell Signal,6.72,5.59,4.46,0.4,44.51,Target Volume,Expected Range,10.26,Absent or Weak Trend
2023-07-26,5.2,5.2,5.2,5.2,1257,0.0,0.0,0.0,0.0,0.0,5.62,5.6,-0.1,-0.09,-0.01,-118797,0.76,15.0,96.67,-1.0,-81.67,Strong Sell Signal,6.78,5.62,4.45,0.41,44.51,Target Volume,Expected Range,10.42,Absent or Weak Trend
2023-07-25,5.39,5.5,5.1,5.1,2387,-0.29,0.4,-5.69,7.84,0.2,5.64,5.61,-0.11,-0.09,-0.03,-120054,0.76,16.67,98.33,-1.0,-81.67,Strong Sell Signal,6.84,5.64,4.44,0.42,43.86,Target Volume,Expected Range,10.58,Absent or Weak Trend
2023-07-24,4.82,4.82,4.81,4.81,1921,-0.01,0.01,-0.21,0.21,0.01,5.66,5.63,-0.12,-0.08,-0.03,-122441,5.52,18.33,100.0,-1.0,-81.67,Strong Sell Signal,6.87,5.66,4.46,0.42,41.91,Target Volume,Expected Range,10.75,Absent or Weak Trend
2023-07-21,5.31,5.5,4.9,4.9,6320,-0.41,0.6,-8.37,12.24,0.3,5.69,5.66,-0.09,-0.07,-0.02,-120520,4.74,20.0,50.0,-1.0,-30.0,Weak Sell Signal,6.88,5.69,4.5,0.42,42.36,Target Volume,Expected Range,10.84,Absent or Weak Trend
