Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-03,10.3,10.3,10.3,10.3,1,0.0,0.0,0.0,0.0,0.0,10.21,10.21,0.01,0.01,0.0,6556517,23.99,100.0,10.0,1.0,90.0,Strong Buy Signal,10.36,10.21,10.06,0.03,60.03,Trending Low,Bearish Trend,26.1,Strong Trend
2023-08-02,10.28,10.3,10.28,10.3,3178,0.02,0.02,0.19,0.19,0.01,10.2,10.21,0.01,0.01,-0.0,6556517,23.99,100.0,11.67,1.0,88.33,Strong Buy Signal,10.35,10.2,10.05,0.03,60.03,Trending Low,Bearish Trend,26.14,Strong Trend
2023-08-01,10.24,10.28,10.24,10.27,57767,0.03,0.04,0.29,0.39,0.02,10.2,10.2,0.01,0.01,-0.0,6553339,22.72,100.0,13.33,1.0,86.67,Strong Buy Signal,10.35,10.2,10.05,0.03,58.47,Target Volume,Expected Range,26.17,Strong Trend
2023-07-31,10.24,10.24,10.24,10.24,1239,0.0,0.0,0.0,0.0,0.0,10.2,10.2,0.01,0.02,-0.0,6495572,20.1,83.33,15.0,1.0,68.33,Weak Buy Signal,10.35,10.2,10.04,0.03,56.82,Target Volume,Expected Range,26.23,Strong Trend
2023-07-28,10.26,10.27,10.26,10.27,2626,0.01,0.01,0.1,0.1,0.0,10.19,10.2,0.01,0.02,-0.0,6496811,22.14,85.0,16.67,1.0,68.33,Weak Buy Signal,10.35,10.19,10.04,0.03,59.14,Target Volume,Expected Range,26.34,Strong Trend
2023-07-27,10.26,10.27,10.26,10.26,227786,0.0,0.01,0.0,0.1,0.0,10.19,10.2,0.01,0.02,-0.0,6494185,22.14,86.67,18.33,1.0,68.33,Weak Buy Signal,10.35,10.19,10.04,0.03,58.58,Target Volume,Expected Range,26.41,Strong Trend
2023-07-26,10.27,10.27,10.25,10.26,57556,-0.01,0.02,-0.1,0.2,0.01,10.19,10.19,0.01,0.02,-0.0,6494185,22.14,88.33,20.0,1.0,68.33,Weak Buy Signal,10.34,10.19,10.03,0.03,58.58,Target Volume,Expected Range,26.48,Strong Trend
2023-07-25,10.26,10.26,10.26,10.26,2,0.0,0.0,0.0,0.0,0.0,10.19,10.19,0.02,0.02,-0.0,6494185,23.14,0.0,0.0,-1.0,0.0,High Volatility / Hold Signal,10.34,10.19,10.03,0.03,58.58,Target Volume,Expected Range,26.55,Strong Trend
2023-07-24,10.27,10.27,10.25,10.26,94119,-0.01,0.02,-0.1,0.19,0.01,10.18,10.19,0.02,0.02,-0.0,6494185,23.14,1.67,1.67,-1.0,0.0,High Volatility / Hold Signal,10.34,10.18,10.03,0.03,58.58,Target Volume,Expected Range,26.61,Strong Trend
2023-07-21,10.27,10.27,10.27,10.27,100,0.0,0.0,0.0,0.0,0.0,10.18,10.19,0.02,0.02,-0.0,6588304,25.11,3.33,3.33,-1.0,0.0,High Volatility / Hold Signal,10.34,10.18,10.02,0.03,59.33,Target Volume,Expected Range,26.67,Strong Trend
