Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-07,1.68,1.7,1.63,1.69,247643,0.01,0.07,0.59,4.14,0.03,1.79,1.82,-0.05,-0.05,-0.0,172561737,7.28,21.67,20.0,1.0,1.67,High Volatility / Hold Signal,2.67,1.79,0.91,0.98,32.67,Trending High,Bullish Trend,22.45,Absent or Weak Trend
2023-07-06,1.63,1.7,1.59,1.67,219055,0.04,0.11,2.4,6.59,0.05,1.79,1.82,-0.05,-0.05,-0.0,172314094,7.28,23.33,21.67,1.0,1.67,High Volatility / Hold Signal,2.67,1.79,0.91,0.98,32.59,Trending High,Bullish Trend,22.71,Absent or Weak Trend
2023-07-05,1.67,1.7,1.57,1.66,193462,-0.01,0.13,-0.61,7.83,0.06,1.78,1.83,-0.05,-0.05,-0.0,172095039,7.28,25.0,23.33,1.0,1.67,High Volatility / Hold Signal,2.67,1.78,0.9,0.99,32.55,Trending High,Bullish Trend,22.97,Absent or Weak Trend
2023-07-03,1.72,1.77,1.62,1.71,260943,-0.01,0.15,-0.58,8.77,0.07,1.78,1.83,-0.05,-0.05,-0.0,172288501,6.96,26.67,25.0,1.0,1.67,High Volatility / Hold Signal,2.67,1.78,0.88,1.01,32.65,Trending High,Bullish Trend,23.24,Absent or Weak Trend
2023-06-30,1.79,1.94,1.67,1.73,560363,-0.06,0.27,-3.47,15.75,0.14,1.77,1.84,-0.05,-0.05,-0.01,172549444,6.67,28.33,26.67,1.0,1.67,High Volatility / Hold Signal,2.67,1.77,0.87,1.02,32.69,Trending High,Bullish Trend,23.52,Absent or Weak Trend
2023-06-29,1.72,1.94,1.69,1.73,1282781,0.01,0.25,0.61,14.45,0.12,1.76,1.84,-0.06,-0.05,-0.01,172549444,6.53,30.0,28.33,1.0,1.67,High Volatility / Hold Signal,2.67,1.76,0.86,1.03,32.69,Trending High,Bullish Trend,23.8,Absent or Weak Trend
2023-06-28,1.7,1.72,1.63,1.71,119848,0.01,0.09,0.58,5.22,0.04,1.76,1.84,-0.06,-0.04,-0.02,171266663,8.07,31.67,30.0,1.0,1.67,High Volatility / Hold Signal,2.67,1.76,0.85,1.03,32.61,Trending High,Bullish Trend,24.09,Absent or Weak Trend
2023-06-27,1.68,1.71,1.61,1.68,96381,0.0,0.1,0.03,5.95,0.05,1.76,1.85,-0.07,-0.04,-0.03,171146815,8.14,33.33,31.67,1.0,1.67,High Volatility / Hold Signal,2.67,1.76,0.84,1.04,32.5,Trending High,Bullish Trend,24.36,Absent or Weak Trend
2023-06-26,1.66,1.7,1.55,1.66,169805,-0.0,0.15,-0.3,8.91,0.07,1.75,1.85,-0.07,-0.03,-0.03,171050434,8.21,35.0,33.33,1.0,1.67,High Volatility / Hold Signal,2.67,1.75,0.84,1.04,32.4,Trending High,Bullish Trend,24.64,Absent or Weak Trend
2023-06-23,1.6,1.7,1.6,1.65,55349,0.05,0.1,2.94,6.06,0.05,1.75,1.86,-0.06,-0.02,-0.04,170880629,7.93,36.67,35.0,1.0,1.67,High Volatility / Hold Signal,2.67,1.75,0.84,1.04,32.38,Trending High,Bullish Trend,24.92,Absent or Weak Trend
