Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-04,332.0,335.13,327.24,327.78,23727694,-4.22,7.89,-1.29,2.41,3.94,332.48,328.36,-1.65,0.94,-2.59,988680785,15.66,78.33,3.33,1.0,75.0,Strong Buy Signal,355.23,332.48,309.73,0.14,53.55,Target Volume,Expected Range,20.96,Absent or Weak Trend
2023-08-03,326.0,329.88,325.95,326.66,18360352,0.66,3.93,0.2,1.2,1.97,332.12,328.38,-1.03,1.59,-2.62,964953091,13.56,80.0,0.0,1.0,80.0,Strong Buy Signal,355.82,332.12,308.43,0.14,53.34,Target Volume,Expected Range,21.05,Absent or Weak Trend
2023-08-02,333.63,333.63,326.36,327.5,27761257,-6.13,7.27,-1.87,2.22,3.64,331.81,328.44,-0.12,2.25,-2.37,983313443,13.78,81.67,0.0,1.0,81.67,Strong Buy Signal,356.26,331.81,307.36,0.15,53.52,Target Volume,Expected Range,21.18,Absent or Weak Trend
2023-08-01,335.19,338.54,333.7,336.34,18381253,1.15,4.84,0.34,1.44,2.42,331.52,328.47,0.96,2.84,-1.88,1011074700,17.75,83.33,0.0,1.0,83.33,Strong Buy Signal,356.58,331.52,306.46,0.15,55.45,Target Volume,Expected Range,21.3,Absent or Weak Trend
2023-07-31,336.92,337.7,333.36,335.92,25446022,-1.0,4.33,-0.3,1.29,2.17,330.99,328.2,1.42,3.31,-1.89,992693447,17.42,85.0,1.67,1.0,83.33,Strong Buy Signal,356.94,330.99,305.05,0.16,55.38,Target Volume,Expected Range,21.36,Absent or Weak Trend
2023-07-28,333.67,340.01,333.17,338.37,28484868,4.7,6.84,1.39,2.02,3.42,330.46,327.94,2.04,3.78,-1.74,1018139469,17.42,86.67,3.33,1.0,83.33,Strong Buy Signal,357.29,330.46,303.63,0.16,55.92,Target Volume,Expected Range,21.43,Absent or Weak Trend
2023-07-27,340.48,341.33,329.05,330.72,39635262,-9.76,12.28,-2.95,3.71,6.14,329.9,327.59,2.54,4.22,-1.67,989654601,17.42,88.33,5.0,1.0,83.33,Strong Buy Signal,357.44,329.9,302.36,0.17,54.55,Target Volume,Expected Range,21.5,Absent or Weak Trend
2023-07-26,341.44,344.67,333.11,337.77,58383702,-3.67,11.56,-1.09,3.42,5.78,329.47,327.48,3.93,4.63,-0.7,1029289863,19.59,90.0,0.0,1.0,90.0,Strong Buy Signal,357.74,329.47,301.19,0.17,56.13,Target Volume,Expected Range,21.57,Absent or Weak Trend
2023-07-25,347.11,351.89,345.07,350.98,41637739,3.87,6.82,1.1,1.94,3.41,328.95,327.13,4.93,4.81,0.12,1087673565,26.35,91.67,0.0,1.0,91.67,Strong Buy Signal,357.73,328.95,300.16,0.18,59.28,Target Volume,Expected Range,21.6,Absent or Weak Trend
2023-07-24,345.85,346.92,342.31,345.11,26719207,-0.74,4.61,-0.21,1.34,2.31,328.17,326.32,4.78,4.78,-0.0,1046035826,24.61,93.33,0.0,1.0,93.33,Strong Buy Signal,357.06,328.17,299.28,0.18,58.26,Target Volume,Expected Range,21.52,Absent or Weak Trend
