Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-25,2.94,3.09,2.88,3.03,74031,0.09,0.21,2.97,7.1,0.11,1
2023-07-24,2.99,3.02,2.75,2.91,229090,-0.08,0.27,-2.75,9.28,0.14,-1
2023-07-21,3.1,3.2,3.02,3.03,159680,-0.07,0.19,-2.31,6.11,0.09,-1
2023-07-20,2.98,3.04,2.85,3.04,200645,0.06,0.19,1.97,6.25,0.09,1
2023-07-19,2.67,2.95,2.6,2.94,123084,0.27,0.35,9.18,11.9,0.18,1
2023-07-18,2.46,2.68,2.46,2.66,107540,0.21,0.23,7.71,8.46,0.11,1
2023-07-17,2.46,2.55,2.37,2.44,72214,-0.02,0.18,-0.82,7.58,0.09,-1
2023-07-14,2.6,2.61,2.4,2.49,86449,-0.11,0.21,-4.42,8.43,0.1,-1
2023-07-13,2.65,2.66,2.47,2.58,115710,-0.07,0.19,-2.71,7.36,0.09,-1
2023-07-12,2.55,2.6,2.44,2.59,55603,0.04,0.16,1.54,6.18,0.08,1
2023-07-11,2.58,2.63,2.47,2.5,42666,-0.08,0.16,-3.2,6.4,0.08,-1
2023-07-10,2.55,2.6,2.47,2.54,77280,-0.01,0.13,-0.39,5.12,0.06,-1
2023-07-07,2.24,2.59,2.24,2.54,194479,0.3,0.35,11.81,13.78,0.17,1
2023-07-06,2.44,2.47,2.17,2.24,177332,-0.2,0.3,-8.93,13.17,0.15,-1
2023-07-05,2.45,2.54,2.43,2.45,103006,0.0,0.11,0.0,4.5,0.06,1
2023-07-03,2.36,2.49,2.36,2.41,58080,0.05,0.13,2.07,5.39,0.07,1
2023-06-30,2.39,2.42,2.33,2.39,153135,0.0,0.09,0.0,3.76,0.04,1
2023-06-29,2.39,2.39,2.31,2.34,62980,-0.05,0.08,-2.14,3.42,0.04,-1
2023-06-28,2.31,2.42,2.26,2.36,158019,0.05,0.16,2.12,6.89,0.08,1
2023-06-27,2.21,2.31,2.15,2.31,56049,0.1,0.16,4.33,6.86,0.08,1
2023-06-26,2.13,2.23,2.11,2.21,51134,0.08,0.12,3.62,5.43,0.06,1
2023-06-23,2.15,2.22,2.14,2.19,77681,0.04,0.08,1.83,3.65,0.04,1
2023-06-22,2.2,2.25,2.16,2.18,61500,-0.02,0.09,-0.92,4.13,0.04,-1
2023-06-21,2.23,2.25,2.16,2.22,86091,-0.01,0.09,-0.45,4.05,0.04,1
2023-06-20,2.07,2.19,2.07,2.16,59031,0.09,0.12,4.17,5.56,0.06,1
2023-06-16,2.22,2.28,2.12,2.12,175993,-0.1,0.16,-4.72,7.55,0.08,-1
2023-06-15,2.09,2.29,2.08,2.21,346542,0.12,0.21,5.43,9.73,0.11,1
2023-06-14,1.99,2.13,1.99,2.09,141542,0.1,0.14,4.78,6.7,0.07,1
2023-06-13,1.99,2.05,1.93,1.99,115408,0.0,0.12,0.0,6.03,0.06,-1
2023-06-12,1.92,2.03,1.81,1.99,196443,0.07,0.22,3.52,11.06,0.11,1
2023-06-09,2.06,2.09,1.84,1.89,320543,-0.17,0.25,-8.99,13.23,0.12,-1
2023-06-08,2.08,2.08,2.01,2.05,168727,-0.03,0.07,-1.46,3.41,0.04,1
2023-06-07,2.0,2.1,1.96,2.04,346131,0.04,0.14,1.96,6.73,0.07,1
2023-06-06,1.91,2.0,1.89,1.99,143177,0.08,0.11,4.02,5.4,0.05,1
2023-06-05,1.86,1.96,1.79,1.9,166941,0.04,0.17,2.11,9.12,0.09,1
2023-06-02,1.85,1.87,1.75,1.84,243802,-0.01,0.12,-0.54,6.52,0.06,1
2023-06-01,1.74,1.85,1.71,1.81,280840,0.07,0.14,3.87,7.73,0.07,1
2023-05-31,1.79,1.85,1.65,1.76,374493,-0.03,0.2,-1.7,11.36,0.1,-1
2023-05-30,1.7,1.8,1.69,1.79,1226229,0.09,0.11,5.03,6.15,0.06,1
2023-05-26,1.69,1.74,1.64,1.69,449293,0.0,0.1,0.0,5.86,0.05,-1
2023-05-25,1.74,1.79,1.67,1.69,938757,-0.05,0.12,-2.96,7.1,0.06,-1
2023-05-24,1.49,1.76,1.49,1.74,1106641,0.25,0.27,14.37,15.52,0.14,1
2023-05-23,1.34,1.53,1.28,1.51,1021859,0.17,0.25,11.26,16.56,0.12,1
2023-05-22,1.25,1.33,1.22,1.3,658951,0.05,0.11,3.85,8.46,0.06,1
2023-05-19,1.24,1.27,1.23,1.25,178224,0.01,0.04,0.4,3.21,0.02,1
2023-05-18,1.26,1.29,1.23,1.24,374496,-0.02,0.06,-1.61,4.69,0.03,-1
2023-05-17,1.29,1.3,1.23,1.24,316150,-0.05,0.07,-4.03,5.65,0.04,-1
2023-05-16,1.35,1.36,1.26,1.3,389721,-0.05,0.09,-3.85,7.31,0.05,-1
2023-05-15,1.32,1.35,1.28,1.3,513682,-0.03,0.07,-1.93,5.41,0.04,1
2023-05-12,1.34,1.37,1.26,1.27,438501,-0.07,0.11,-5.51,8.66,0.06,-1
2023-05-11,1.28,1.51,1.28,1.34,913059,0.06,0.23,4.48,17.16,0.12,1
2023-05-10,1.28,1.35,1.22,1.27,638816,-0.01,0.13,-0.79,10.14,0.06,-1
2023-05-09,1.02,1.29,1.0,1.27,978912,0.25,0.29,19.69,22.65,0.14,1
2023-05-08,1.01,1.02,0.97,0.99,203283,-0.02,0.05,-1.88,4.79,0.02,-1
2023-05-05,1.05,1.07,0.98,1.02,452906,-0.03,0.09,-2.94,8.67,0.04,-1
2023-05-04,1.09,1.1,1.08,1.08,170307,-0.01,0.03,-0.93,2.31,0.01,1
2023-05-03,1.04,1.09,1.04,1.04,19036,0.0,0.05,0.0,4.81,0.03,-1
2023-05-02,1.07,1.08,1.0,1.06,255705,-0.01,0.07,-0.94,7.08,0.04,1
2023-05-01,1.07,1.11,1.03,1.05,165798,-0.02,0.08,-1.9,7.62,0.04,-1
2023-04-28,1.04,1.1,1.03,1.08,96984,0.04,0.07,3.7,6.48,0.04,1
2023-04-27,1.02,1.07,1.0,1.02,457125,0.0,0.07,0.0,6.86,0.04,-1
2023-04-26,1.08,1.1,1.02,1.02,311867,-0.06,0.08,-5.88,7.84,0.04,-1
2023-04-25,1.14,1.15,1.07,1.08,339463,-0.06,0.08,-5.56,7.41,0.04,-1
2023-04-24,1.09,1.17,1.06,1.15,273818,0.06,0.12,5.22,10.0,0.06,1
2023-04-21,1.07,1.09,1.05,1.09,173287,0.02,0.04,1.83,3.67,0.02,1
2023-04-20,1.12,1.13,1.08,1.08,102768,-0.04,0.05,-3.23,4.61,0.02,-1
2023-04-19,1.09,1.16,1.09,1.09,85269,0.0,0.07,0.0,6.42,0.03,-1
2023-04-18,1.14,1.16,1.07,1.11,289351,-0.03,0.09,-2.7,8.24,0.05,-1
2023-04-17,1.06,1.16,1.06,1.15,194584,0.09,0.1,7.83,9.13,0.05,1
2023-04-14,1.08,1.09,1.04,1.04,517064,-0.04,0.05,-3.85,4.74,0.02,-1
2023-04-13,1.09,1.09,1.06,1.06,340567,-0.03,0.03,-2.83,2.83,0.02,1
2023-04-12,1.07,1.11,1.04,1.05,384907,-0.02,0.07,-1.9,6.67,0.04,-1
2023-04-11,1.08,1.1,1.06,1.07,292390,-0.01,0.04,-0.93,3.74,0.02,-1
2023-04-10,1.1,1.12,1.05,1.07,310595,-0.03,0.07,-2.8,6.54,0.04,-1
2023-04-06,1.08,1.13,1.07,1.09,159012,0.01,0.06,0.92,5.5,0.03,-1
2023-04-05,1.07,1.09,1.03,1.09,635319,0.02,0.06,1.83,5.5,0.03,1
2023-04-04,1.06,1.09,1.01,1.03,220584,-0.03,0.08,-2.91,7.54,0.04,-1
2023-04-03,1.07,1.07,1.0,1.04,578497,-0.03,0.07,-2.88,6.73,0.04,-1
2023-03-31,1.0,1.07,0.99,1.07,689091,0.07,0.08,6.54,7.48,0.04,1
2023-03-30,1.01,1.01,0.97,0.98,419861,-0.03,0.04,-3.06,4.08,0.02,-1
2023-03-29,1.0,1.03,0.97,1.0,450362,0.0,0.06,0.0,6.3,0.03,-1
2023-03-28,1.01,1.08,0.98,1.0,247729,-0.01,0.1,-1.0,9.8,0.05,-1
2023-03-27,1.08,1.12,1.0,1.01,130288,-0.07,0.12,-6.93,11.86,0.06,-1
2023-03-24,1.06,1.1,1.01,1.07,202771,0.01,0.09,0.93,8.2,0.04,-1
2023-03-23,1.11,1.21,1.06,1.09,176222,-0.02,0.15,-1.83,13.76,0.07,-1
2023-03-22,1.22,1.28,1.1,1.12,252882,-0.1,0.18,-8.93,16.26,0.09,-1
2023-03-21,1.28,1.32,1.21,1.21,146942,-0.07,0.11,-5.79,9.09,0.06,-1
2023-03-20,1.22,1.36,1.2,1.26,99284,0.04,0.16,3.17,12.97,0.08,1
2023-03-17,1.25,1.28,1.15,1.19,397876,-0.06,0.13,-5.04,10.92,0.07,-1
2023-03-16,1.26,1.33,1.21,1.25,120679,-0.01,0.12,-0.8,9.6,0.06,-1
2023-03-15,1.41,1.45,1.25,1.27,69731,-0.14,0.2,-11.02,15.74,0.1,-1
2023-03-14,1.41,1.57,1.41,1.42,105668,0.01,0.16,0.7,11.27,0.08,1
2023-03-13,1.37,1.44,1.35,1.36,108504,-0.01,0.09,-0.74,6.62,0.04,-1
2023-03-10,1.55,1.59,1.36,1.41,485632,-0.14,0.23,-9.93,16.31,0.12,-1
2023-03-09,1.86,1.91,1.54,1.61,428803,-0.25,0.37,-15.84,22.89,0.18,-1
2023-03-08,1.94,1.96,1.82,1.85,186835,-0.09,0.14,-4.86,7.3,0.07,-1
2023-03-07,1.99,2.01,1.9,1.96,168190,-0.03,0.11,-1.53,5.6,0.05,1
2023-03-06,1.86,2.03,1.86,1.95,382184,0.09,0.17,4.62,8.71,0.08,1
2023-03-03,1.86,1.93,1.84,1.85,180863,-0.01,0.09,-0.54,4.86,0.04,-1
2023-03-02,1.78,1.87,1.78,1.87,31571,0.09,0.09,4.81,4.81,0.05,1
2023-03-01,1.84,1.88,1.79,1.81,88069,-0.03,0.09,-1.66,5.25,0.05,-1
2023-02-28,1.92,1.98,1.84,1.84,50180,-0.08,0.14,-4.35,7.61,0.07,-1
2023-02-27,1.92,1.97,1.91,1.92,49981,0.0,0.06,0.0,3.13,0.03,-1
2023-02-24,1.92,1.95,1.88,1.92,38064,0.01,0.07,0.26,3.64,0.04,-1
2023-02-23,1.96,2.05,1.9,1.92,32820,-0.04,0.15,-2.08,7.81,0.07,-1
2023-02-22,2.0,2.04,1.97,1.97,37989,-0.03,0.07,-1.52,3.81,0.04,-1
2023-02-21,2.19,2.19,2.03,2.03,47830,-0.16,0.16,-7.88,7.88,0.08,-1
2023-02-17,2.2,2.22,2.16,2.19,15246,-0.01,0.05,-0.46,2.51,0.03,-1
2023-02-16,2.18,2.25,2.18,2.23,46187,0.05,0.07,2.24,3.13,0.03,1
2023-02-15,2.16,2.24,2.16,2.2,69347,0.04,0.08,1.82,3.64,0.04,1
2023-02-14,2.17,2.21,2.15,2.19,64632,0.02,0.06,0.91,2.74,0.03,1
2023-02-13,2.08,2.21,2.07,2.18,106714,0.1,0.14,4.59,6.42,0.07,1
2023-02-10,2.19,2.21,2.13,2.13,23393,-0.06,0.08,-2.82,3.76,0.04,-1
2023-02-09,2.21,2.21,2.13,2.17,139434,-0.04,0.08,-1.84,3.69,0.04,-1
2023-02-08,2.17,2.25,2.14,2.2,45260,0.03,0.11,1.36,5.04,0.06,-1
2023-02-07,2.25,2.3,2.14,2.2,132820,-0.05,0.16,-2.27,7.27,0.08,-1
2023-02-06,2.38,2.39,2.22,2.29,137677,-0.09,0.17,-3.93,7.37,0.08,-1
2023-02-03,2.29,2.48,2.25,2.36,236050,0.07,0.23,2.97,9.75,0.12,1
2023-02-02,2.25,2.35,2.21,2.3,324965,0.05,0.14,2.17,6.09,0.07,1
2023-02-01,2.08,2.34,2.07,2.25,396765,0.17,0.27,7.56,12.0,0.14,1
2023-01-31,2.12,2.18,2.04,2.06,192996,-0.06,0.14,-2.91,6.8,0.07,-1
2023-01-30,2.13,2.19,2.03,2.12,271842,-0.01,0.16,-0.71,7.57,0.08,-1
2023-01-27,2.18,2.18,2.09,2.12,73039,-0.06,0.09,-2.83,4.3,0.05,-1
2023-01-26,2.11,2.22,2.08,2.2,122838,0.09,0.14,4.09,6.36,0.07,1
2023-01-25,2.08,2.15,1.97,2.12,92530,0.04,0.18,1.89,8.5,0.09,1
2023-01-24,2.06,2.1,2.03,2.07,94777,0.01,0.07,0.48,3.38,0.04,-1
2023-01-23,1.98,2.08,1.95,2.07,71482,0.09,0.13,4.35,6.28,0.07,1
2023-01-20,1.87,1.97,1.87,1.95,68139,0.08,0.1,4.1,5.12,0.05,1
2023-01-19,1.92,1.94,1.8,1.88,81853,-0.04,0.14,-1.86,7.45,0.07,-1
2023-01-18,1.97,2.05,1.92,1.97,221654,0.0,0.13,0.0,6.6,0.06,1
2023-01-17,2.06,2.09,1.95,1.96,76351,-0.1,0.14,-5.1,7.14,0.07,-1
2023-01-13,1.88,2.08,1.84,2.05,330631,0.17,0.24,8.29,11.54,0.12,1
2023-01-12,1.78,1.88,1.78,1.88,112725,0.1,0.1,5.32,5.32,0.05,1
2023-01-11,1.8,1.8,1.7,1.78,96791,-0.02,0.1,-1.12,5.62,0.05,1
2023-01-10,1.7,1.8,1.7,1.77,152712,0.07,0.1,3.95,5.64,0.05,1
2023-01-09,1.65,1.75,1.61,1.7,149881,0.05,0.14,2.94,8.24,0.07,1
2023-01-06,1.52,1.67,1.49,1.65,183293,0.13,0.18,7.88,10.91,0.09,1
2023-01-05,1.55,1.55,1.49,1.5,17983,-0.05,0.06,-3.33,4.0,0.03,-1
2023-01-04,1.53,1.54,1.46,1.54,112370,0.01,0.08,0.65,5.19,0.04,-1
2023-01-03,1.5,1.59,1.45,1.54,168308,0.04,0.14,2.6,9.09,0.07,1
2022-12-30,1.37,1.51,1.37,1.5,249470,0.13,0.14,8.67,9.33,0.07,1
2022-12-29,1.29,1.41,1.28,1.4,280633,0.11,0.13,7.86,9.28,0.06,1
2022-12-28,1.4,1.4,1.25,1.29,399359,-0.11,0.15,-8.53,11.63,0.07,-1
2022-12-27,1.44,1.45,1.38,1.39,363291,-0.05,0.07,-3.6,5.04,0.04,-1
2022-12-23,1.4,1.5,1.4,1.45,358701,0.05,0.1,3.45,6.9,0.05,1
2022-12-22,1.58,1.62,1.38,1.43,390045,-0.15,0.24,-10.49,16.78,0.12,-1
2022-12-21,1.61,1.64,1.55,1.57,185126,-0.04,0.09,-2.55,5.73,0.04,-1
2022-12-20,1.61,1.65,1.6,1.61,96552,0.0,0.05,0.0,3.11,0.02,-1
2022-12-19,1.65,1.7,1.57,1.62,130686,-0.03,0.13,-1.97,8.02,0.06,-1
2022-12-16,1.67,1.7,1.58,1.65,245179,-0.02,0.12,-1.21,7.34,0.06,-1
2022-12-15,1.7,1.76,1.67,1.69,78934,-0.01,0.09,-0.59,5.33,0.05,-1
2022-12-14,1.77,1.79,1.71,1.74,72749,-0.03,0.08,-1.72,4.39,0.04,-1
2022-12-13,1.82,1.86,1.77,1.77,160599,-0.05,0.09,-2.82,5.08,0.05,-1
2022-12-12,1.67,1.83,1.67,1.8,154589,0.13,0.16,7.22,8.89,0.08,1
2022-12-09,1.7,1.7,1.6,1.68,355215,-0.02,0.1,-1.19,5.95,0.05,1
2022-12-08,1.73,1.75,1.64,1.67,175615,-0.06,0.11,-3.59,6.59,0.06,-1
2022-12-07,1.78,1.79,1.71,1.73,114399,-0.05,0.08,-2.89,4.62,0.04,-1
2022-12-06,1.8,1.83,1.77,1.78,64103,-0.02,0.06,-1.12,3.37,0.03,-1
2022-12-05,1.79,1.87,1.77,1.82,216289,0.03,0.1,1.92,5.48,0.05,1
2022-12-02,1.85,1.89,1.72,1.78,211770,-0.07,0.17,-3.93,9.55,0.08,-1
2022-12-01,1.9,1.91,1.86,1.87,31374,-0.03,0.05,-1.6,2.67,0.02,-1
2022-11-30,1.95,1.97,1.85,1.91,161293,-0.04,0.12,-2.09,6.26,0.06,-1
2022-11-29,1.95,2.01,1.9,1.93,489178,-0.02,0.11,-0.79,5.7,0.05,1
2022-11-28,1.95,2.01,1.86,1.88,213508,-0.07,0.15,-3.72,7.98,0.07,-1
2022-11-25,1.99,2.0,1.93,1.96,227103,-0.02,0.07,-1.27,3.56,0.04,1
2022-11-23,1.93,1.98,1.92,1.95,197437,0.02,0.06,1.03,3.08,0.03,-1
2022-11-22,1.97,2.01,1.91,1.95,181509,-0.02,0.1,-1.03,5.13,0.05,-1
2022-11-21,1.92,2.13,1.87,1.95,679610,0.03,0.26,1.54,13.33,0.13,-1
2022-11-18,1.98,2.0,1.86,1.95,232823,-0.03,0.14,-1.54,7.18,0.07,1
2022-11-17,1.93,1.98,1.83,1.9,153489,-0.03,0.15,-1.58,7.89,0.07,-1
2022-11-16,1.96,1.97,1.86,1.95,144656,-0.01,0.11,-0.51,5.64,0.05,-1
2022-11-15,2.02,2.02,1.91,1.96,175919,-0.06,0.11,-3.06,5.61,0.06,1
2022-11-14,1.95,1.99,1.91,1.95,200782,0.0,0.08,0.0,4.11,0.04,1
2022-11-11,1.94,2.1,1.92,1.94,297287,0.0,0.18,0.0,9.28,0.09,-1
2022-11-10,1.95,2.04,1.9,1.94,214832,-0.01,0.14,-0.52,7.22,0.07,1
2022-11-09,1.97,1.97,1.82,1.92,58370,-0.05,0.15,-2.6,7.81,0.07,-1
2022-11-08,2.06,2.07,1.98,2.0,20544,-0.06,0.09,-3.0,4.5,0.04,-1
2022-11-07,2.04,2.09,1.96,2.07,54295,0.03,0.13,1.45,6.52,0.07,1
2022-11-04,2.04,2.07,1.95,2.01,137870,-0.03,0.12,-1.49,5.97,0.06,-1
2022-11-03,2.11,2.11,1.99,2.04,155438,-0.07,0.12,-3.43,5.88,0.06,-1
2022-11-02,2.55,2.57,2.03,2.09,172121,-0.46,0.54,-22.01,25.85,0.27,-1
2022-11-01,2.59,2.63,2.36,2.54,300798,-0.04,0.27,-1.77,10.57,0.13,1
2022-10-31,2.3,2.52,2.3,2.49,232705,0.19,0.22,7.63,8.98,0.11,1
2022-10-28,2.23,2.33,2.22,2.33,93727,0.1,0.11,4.29,4.72,0.05,1
2022-10-27,2.24,2.32,2.22,2.25,106596,0.01,0.1,0.4,4.44,0.05,1
2022-10-26,2.15,2.28,2.15,2.24,167576,0.09,0.14,4.02,6.04,0.07,1
2022-10-25,2.05,2.18,2.04,2.17,109853,0.12,0.14,5.53,6.45,0.07,1
2022-10-24,1.94,2.1,1.94,2.09,207469,0.15,0.16,7.18,7.66,0.08,1
2022-10-21,1.9,2.05,1.86,2.0,83477,0.09,0.18,4.75,9.25,0.09,1
2022-10-20,1.94,2.0,1.94,1.96,45679,0.01,0.05,0.77,2.81,0.03,-1
2022-10-19,1.89,1.97,1.88,1.96,113310,0.07,0.09,3.44,4.59,0.05,1
2022-10-18,1.86,1.94,1.86,1.92,95579,0.06,0.08,3.38,4.16,0.04,1
2022-10-17,1.84,1.87,1.8,1.84,56359,-0.0,0.07,-0.08,3.98,0.04,1
2022-10-14,1.77,1.82,1.71,1.82,37375,0.05,0.11,2.75,6.04,0.06,1
