Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-05-12,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-11,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-10,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-09,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-08,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-05,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-04,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-03,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-02,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-01,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-28,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-27,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-26,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-25,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-24,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-21,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-20,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-19,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-18,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-17,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-14,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-13,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-12,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-11,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
2023-04-10,25.01,25.01,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,-1
