Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-04,0.89,0.89,0.89,0.89,34,0.0,0.0,0.0,0.0,0.0,-1
2023-08-03,0.91,0.91,0.89,0.89,3285,-0.02,0.02,-2.25,2.26,0.01,-1
2023-08-02,1.0,1.0,1.0,1.0,201,0.0,0.0,0.0,0.0,0.0,-1
2023-08-01,1.0,1.0,1.0,1.0,374,0.0,0.0,0.0,0.0,0.0,-1
2023-07-31,1.0,1.07,0.94,1.04,5901,0.04,0.13,3.85,12.97,0.07,1
2023-07-28,1.03,1.03,1.0,1.0,448,-0.03,0.03,-3.0,3.0,0.02,1
2023-07-27,0.99,0.99,0.99,0.99,175,0.0,0.0,0.0,0.0,0.0,-1
2023-07-26,0.99,0.99,0.99,0.99,638,0.0,0.0,0.0,0.0,0.0,1
2023-07-25,0.91,0.99,0.9,0.98,848,0.07,0.09,7.14,9.18,0.04,1
2023-07-24,0.95,0.97,0.95,0.95,639,0.0,0.02,0.0,2.43,0.01,1
2023-07-21,0.88,0.88,0.87,0.87,783,-0.01,0.01,-1.52,1.52,0.01,-1
2023-07-20,0.89,0.89,0.89,0.89,481,0.0,0.0,0.0,0.0,0.0,-1
2023-07-19,0.89,1.0,0.79,0.99,2724,0.09,0.21,9.38,21.3,0.1,-1
2023-07-18,1.0,1.0,1.0,1.0,1098,0.0,0.0,0.0,0.0,0.0,-1
2023-07-17,1.0,1.0,0.88,1.0,2755,0.0,0.12,0.0,11.5,0.06,-1
2023-07-14,1.0,1.0,1.0,1.0,106,0.0,0.0,0.0,0.0,0.0,-1
2023-07-13,1.0,1.0,1.0,1.0,503,-0.0,0.0,-0.01,0.01,0.0,1
2023-07-12,0.95,0.99,0.83,0.89,1286,-0.06,0.16,-7.33,18.07,0.08,-1
2023-07-11,0.95,0.95,0.95,0.95,302,0.0,0.0,0.0,0.0,0.0,-1
2023-07-10,0.95,0.95,0.95,0.95,225,0.0,0.0,0.0,0.0,0.0,-1
2023-07-07,0.9,0.98,0.9,0.95,2342,0.05,0.09,5.77,9.45,0.04,-1
2023-07-06,0.95,0.95,0.95,0.95,30,0.0,0.0,0.0,0.0,0.0,-1
2023-07-05,0.95,0.95,0.95,0.95,5,0.0,0.0,0.0,0.0,0.0,-1
2023-07-03,0.95,0.95,0.95,0.95,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-30,0.95,0.95,0.95,0.95,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-29,0.95,0.95,0.95,0.95,0,0.0,0.0,0.0,0.0,0.0,-1
2023-06-28,1.02,1.03,0.95,0.95,2769,-0.07,0.08,-7.37,8.42,0.04,-1
2023-06-27,1.07,1.07,1.01,1.03,1000,-0.04,0.06,-3.88,5.83,0.03,1
2023-06-26,1.07,1.07,0.8,1.02,1644,-0.05,0.27,-4.9,26.47,0.14,1
2023-06-23,1.01,1.01,1.01,1.01,100,0.0,0.0,0.0,0.0,0.0,1
2023-06-22,1.04,1.05,0.96,0.96,2100,-0.08,0.09,-8.22,9.25,0.04,-1
2023-06-21,1.0,1.0,1.0,1.0,2,0.0,0.0,0.0,0.0,0.0,-1
2023-06-20,1.01,1.01,1.0,1.0,3899,-0.01,0.01,-1.0,1.0,0.01,-1
