Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2022-12-01,10.07,10.08,10.06,10.08,23662,0.01,0.02,0.1,0.2,0.01,9.96,9.98,0.02,0.03,-0.0,3557903,62.54,95.0,21.67,1.0,73.33,Strong Buy Signal,10.15,9.96,9.77,0.04,62.51,Trending Low,Bearish Trend,66.99,Very Strong Trend
2022-11-30,10.07,10.07,10.06,10.07,16803,0.0,0.01,0.0,0.05,0.0,9.95,9.98,0.02,0.03,-0.0,3534241,62.24,96.67,23.33,1.0,73.33,Strong Buy Signal,10.14,9.95,9.77,0.04,61.93,Trending Low,Bearish Trend,67.07,Very Strong Trend
2022-11-29,10.07,10.08,10.07,10.08,1204,0.01,0.01,0.1,0.1,0.0,9.95,9.97,0.03,0.03,-0.0,3551044,62.88,98.33,25.0,1.0,73.33,Strong Buy Signal,10.14,9.95,9.76,0.04,62.88,Trending Low,Bearish Trend,67.15,Very Strong Trend
2022-11-28,10.06,10.1,10.06,10.09,26928,0.03,0.04,0.31,0.41,0.02,9.95,9.97,0.03,0.03,-0.0,3552248,62.88,100.0,26.67,1.0,73.33,Strong Buy Signal,10.13,9.95,9.76,0.04,63.85,Trending Low,Bearish Trend,67.22,Very Strong Trend
2022-11-25,10.05,10.06,10.05,10.05,3433,0.0,0.0,0.0,0.05,0.0,9.94,9.97,0.02,0.03,-0.0,3525320,61.56,96.67,28.33,1.0,68.33,Weak Buy Signal,10.13,9.94,9.76,0.04,61.52,Trending Low,Bearish Trend,67.3,Very Strong Trend
2022-11-23,10.06,10.07,10.04,10.06,19495,0.0,0.03,0.0,0.3,0.02,9.94,9.96,0.03,0.03,-0.0,3528753,61.56,98.33,30.0,1.0,68.33,Weak Buy Signal,10.12,9.94,9.75,0.04,62.51,Trending Low,Bearish Trend,67.4,Very Strong Trend
2022-11-22,10.07,10.08,10.07,10.08,392,0.01,0.01,0.1,0.1,0.0,9.94,9.96,0.03,0.03,-0.0,3548248,65.33,100.0,31.67,1.0,68.33,Weak Buy Signal,10.12,9.94,9.75,0.04,64.55,Trending Low,Bearish Trend,67.49,Very Strong Trend
2022-11-21,10.05,10.05,10.05,10.05,1367,0.0,0.0,0.0,0.0,0.0,9.93,9.96,0.02,0.03,-0.0,3547856,64.52,98.33,33.33,1.0,65.0,Weak Buy Signal,10.11,9.93,9.75,0.04,62.76,Trending Low,Bearish Trend,67.53,Very Strong Trend
2022-11-18,10.07,10.07,10.04,10.04,21621,-0.03,0.03,-0.3,0.3,0.02,9.93,9.95,0.03,0.03,-0.0,3546489,64.52,100.0,35.0,1.0,65.0,Weak Buy Signal,10.11,9.93,9.75,0.04,62.13,Trending Low,Bearish Trend,67.58,Very Strong Trend
2022-11-17,10.06,10.07,10.06,10.07,1386,0.01,0.01,0.1,0.1,0.0,9.92,9.95,0.03,0.03,-0.0,3568110,67.05,100.0,36.67,1.0,63.33,Weak Buy Signal,10.1,9.92,9.74,0.04,65.37,Trending Low,Bearish Trend,67.63,Very Strong Trend
2022-11-16,10.03,10.03,10.03,10.03,141,0.0,0.0,0.0,0.0,0.0,9.92,9.95,0.03,0.03,-0.01,3566724,66.02,98.33,38.33,1.0,60.0,Weak Buy Signal,10.1,9.92,9.74,0.04,62.83,Trending Low,Bearish Trend,67.64,Very Strong Trend
2022-11-15,10.03,10.06,10.03,10.03,7734,0.0,0.03,0.0,0.3,0.02,9.92,9.94,0.03,0.03,-0.01,3566724,66.02,100.0,40.0,1.0,60.0,Weak Buy Signal,10.09,9.92,9.74,0.04,62.83,Trending Low,Bearish Trend,67.67,Very Strong Trend
2022-11-14,10.05,10.05,10.03,10.04,40794,-0.01,0.02,-0.09,0.2,0.01,9.91,9.94,0.03,0.04,-0.01,3574458,65.76,100.0,41.67,1.0,58.33,Weak Buy Signal,10.09,9.91,9.74,0.04,63.97,Trending Low,Bearish Trend,67.7,Very Strong Trend
2022-11-11,10.04,10.04,10.04,10.04,4481,0.0,0.01,0.0,0.05,0.0,9.91,9.94,0.03,0.04,-0.0,3574458,67.01,98.33,43.33,1.0,55.0,Weak Buy Signal,10.08,9.91,9.74,0.03,63.97,Trending Low,Bearish Trend,67.73,Very Strong Trend
2022-11-10,10.04,10.05,10.04,10.04,500212,-0.01,0.01,-0.05,0.1,0.01,9.91,9.93,0.03,0.04,-0.0,3574458,67.01,100.0,45.0,1.0,55.0,Weak Buy Signal,10.08,9.91,9.74,0.03,63.97,Trending Low,Bearish Trend,67.74,Very Strong Trend
2022-11-09,10.03,10.04,10.03,10.04,3179,0.01,0.01,0.1,0.1,0.0,9.9,9.93,0.04,0.04,-0.0,3574458,66.77,100.0,46.67,1.0,53.33,Weak Buy Signal,10.07,9.9,9.74,0.03,63.97,Trending Low,Bearish Trend,67.76,Very Strong Trend
2022-11-08,10.03,10.04,10.03,10.03,10125,0.0,0.01,0.0,0.05,0.0,9.9,9.93,0.04,0.04,-0.0,3571279,66.65,98.33,48.33,1.0,50.0,Weak Buy Signal,10.07,9.9,9.74,0.03,63.35,Trending Low,Bearish Trend,67.77,Very Strong Trend
2022-11-07,10.03,10.04,10.03,10.03,1827,0.0,0.01,0.0,0.1,0.0,9.9,9.92,0.04,0.04,-0.0,3571279,66.65,100.0,50.0,1.0,50.0,Weak Buy Signal,10.06,9.9,9.74,0.03,63.35,Trending Low,Bearish Trend,67.79,Very Strong Trend
2022-11-04,10.04,10.04,10.03,10.03,16541,-0.01,0.01,-0.1,0.1,0.0,9.89,9.92,0.04,0.04,-0.0,3571279,66.65,100.0,51.67,1.0,48.33,Weak Buy Signal,10.05,9.89,9.74,0.03,63.35,Trending Low,Bearish Trend,67.81,Very Strong Trend
2022-11-03,10.04,10.04,10.04,10.04,5918,0.0,0.0,0.0,0.0,0.0,9.89,9.91,0.04,0.04,0.0,3587820,67.8,100.0,53.33,1.0,46.67,Weak Buy Signal,10.05,9.89,9.74,0.03,64.4,Trending Low,Bearish Trend,67.83,Very Strong Trend
2022-11-02,10.03,10.04,10.03,10.04,494009,0.01,0.01,0.1,0.1,0.0,9.89,9.91,0.04,0.04,0.0,3587820,67.8,100.0,55.0,1.0,45.0,Weak Buy Signal,10.04,9.89,9.74,0.03,64.4,Trending Low,Bearish Trend,67.83,Very Strong Trend
2022-11-01,10.04,10.04,10.04,10.04,38432,0.0,0.0,0.0,0.05,0.0,9.88,9.91,0.04,0.04,0.0,3587820,68.37,100.0,56.67,1.0,43.33,Weak Buy Signal,10.03,9.88,9.74,0.03,64.4,Trending Low,Bearish Trend,67.83,Very Strong Trend
2022-10-31,10.04,10.04,10.04,10.04,206,0.0,0.0,0.0,0.0,0.0,9.88,9.9,0.05,0.04,0.0,3587820,68.92,100.0,58.33,1.0,41.67,Weak Buy Signal,10.02,9.88,9.74,0.03,64.4,Trending Low,Bearish Trend,67.82,Very Strong Trend
2022-10-28,10.04,10.04,10.03,10.03,1715,-0.01,0.01,-0.1,0.1,0.0,9.88,9.9,0.04,0.04,0.0,3587614,68.92,100.0,60.0,1.0,40.0,Weak Buy Signal,10.01,9.88,9.74,0.03,63.84,Trending Low,Bearish Trend,67.8,Very Strong Trend
2022-10-27,10.04,10.04,10.03,10.03,506,-0.01,0.01,-0.1,0.1,0.0,9.87,9.89,0.04,0.04,0.01,3587614,68.92,100.0,61.67,1.0,38.33,Weak Buy Signal,10.01,9.87,9.74,0.03,63.84,Trending Low,Bearish Trend,67.79,Very Strong Trend
2022-10-26,10.03,10.04,10.03,10.03,30830,0.0,0.01,0.0,0.1,0.0,9.87,9.89,0.04,0.04,0.01,3587614,68.92,100.0,63.33,1.0,36.67,Weak Buy Signal,10.0,9.87,9.74,0.03,63.84,Trending Low,Bearish Trend,67.77,Very Strong Trend
