Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-14,24.86,24.94,24.86,24.94,816,0.08,0.08,0.32,0.32,0.04,1
2023-07-13,24.81,24.91,24.81,24.85,1427,0.04,0.1,0.16,0.4,0.05,-1
2023-07-12,24.92,24.92,24.92,24.92,175,0.0,0.0,0.0,0.0,0.0,1
2023-07-11,24.9,24.9,24.9,24.9,854,0.0,0.0,0.0,0.0,0.0,-1
2023-07-10,24.94,24.94,24.91,24.91,941,-0.03,0.03,-0.12,0.12,0.02,-1
2023-07-07,24.95,24.95,24.95,24.95,1017,0.0,0.0,0.0,0.0,0.0,1
2023-07-06,24.92,24.92,24.82,24.85,3072,-0.07,0.1,-0.28,0.38,0.05,-1
2023-07-05,24.85,24.92,24.85,24.92,4994,0.08,0.08,0.31,0.31,0.04,1
2023-07-03,24.9,24.9,24.81,24.85,1556,-0.05,0.09,-0.2,0.36,0.04,1
2023-06-30,24.81,24.81,24.8,24.81,2077,0.0,0.01,0.0,0.04,0.0,1
2023-06-29,24.79,24.79,24.79,24.79,30,0.0,0.0,0.0,0.0,0.0,-1
2023-06-28,24.8,24.86,24.79,24.79,2100,-0.01,0.07,-0.04,0.28,0.03,-1
2023-06-27,24.88,24.88,24.82,24.82,1578,-0.05,0.05,-0.22,0.22,0.03,1
2023-06-26,24.86,24.89,24.81,24.81,15190,-0.05,0.08,-0.2,0.32,0.04,-1
2023-06-23,24.87,24.95,24.85,24.89,10227,0.02,0.1,0.08,0.4,0.05,1
2023-06-22,24.75,24.75,24.66,24.66,710,-0.09,0.09,-0.36,0.36,0.04,-1
2023-06-21,24.73,24.77,24.71,24.77,989,0.04,0.06,0.16,0.24,0.03,1
2023-06-20,24.74,24.75,24.68,24.72,2901,-0.02,0.07,-0.08,0.28,0.04,1
2023-06-16,24.64,24.73,24.64,24.68,1853,0.04,0.09,0.16,0.38,0.05,1
2023-06-15,24.75,24.75,24.64,24.64,1331,-0.11,0.11,-0.47,0.47,0.06,-1
2023-06-14,24.62,24.75,24.61,24.75,1489,0.13,0.14,0.53,0.57,0.07,-1
2023-06-13,24.92,24.97,24.87,24.97,1358,0.05,0.1,0.2,0.4,0.05,1
2023-06-12,24.89,24.89,24.87,24.87,400,-0.02,0.02,-0.08,0.08,0.01,1
2023-06-09,24.93,24.93,24.85,24.85,1151,-0.08,0.08,-0.33,0.33,0.04,-1
2023-06-08,24.85,24.9,24.85,24.9,1233,0.05,0.05,0.2,0.2,0.02,1
2023-06-07,24.89,24.93,24.85,24.85,1489,-0.04,0.08,-0.16,0.32,0.04,-1
2023-06-06,24.92,24.95,24.9,24.9,676,-0.03,0.05,-0.1,0.2,0.03,-1
2023-06-05,24.85,24.9,24.82,24.9,1445,0.05,0.07,0.2,0.3,0.04,-1
2023-06-02,24.74,24.94,24.74,24.94,1472,0.2,0.2,0.79,0.79,0.1,1
2023-06-01,24.94,24.97,24.74,24.74,16753,-0.2,0.23,-0.81,0.93,0.11,-1
2023-05-31,24.89,24.94,24.74,24.82,14094,-0.07,0.21,-0.28,0.83,0.1,-1
2023-05-30,24.87,24.92,24.86,24.89,11225,0.02,0.06,0.08,0.24,0.03,1
2023-05-26,24.76,24.78,24.76,24.76,5317,0.0,0.02,0.0,0.08,0.01,-1
2023-05-25,24.76,24.76,24.76,24.76,165,0.0,0.0,0.0,0.0,0.0,1
2023-05-24,24.68,24.68,24.68,24.68,0,0.0,0.0,0.0,0.0,0.0,-1
2023-05-23,24.78,24.78,24.65,24.68,3632,-0.1,0.13,-0.41,0.53,0.07,-1
2023-05-22,24.74,24.76,24.72,24.75,3796,0.01,0.05,0.04,0.18,0.02,1
2023-05-19,24.68,24.74,24.66,24.74,2973,0.06,0.07,0.24,0.3,0.04,1
2023-05-18,24.67,24.68,24.67,24.68,550,0.01,0.01,0.04,0.04,0.0,-1
2023-05-17,24.61,24.68,24.61,24.68,1600,0.07,0.07,0.28,0.28,0.04,-1
2023-05-16,24.74,24.74,24.7,24.74,530,0.0,0.04,0.0,0.18,0.02,1
2023-05-15,24.6,24.6,24.6,24.6,547,0.0,0.0,0.0,0.0,0.0,1
2023-05-12,24.52,24.52,24.52,24.52,242,0.0,0.0,0.0,0.0,0.0,-1
2023-05-11,24.7,24.76,24.55,24.62,7650,-0.08,0.21,-0.35,0.85,0.11,1
2023-05-10,24.67,24.75,24.6,24.6,1196,-0.07,0.15,-0.28,0.61,0.07,1
2023-05-09,24.55,24.55,24.55,24.55,6,0.0,0.0,0.0,0.0,0.0,-1
2023-05-08,24.7,24.7,24.55,24.55,2388,-0.15,0.15,-0.63,0.63,0.08,-1
2023-05-05,24.6,24.74,24.57,24.57,2548,-0.03,0.17,-0.13,0.71,0.09,-1
2023-05-04,24.7,24.7,24.46,24.58,2700,-0.12,0.24,-0.49,0.98,0.12,-1
2023-05-03,24.75,24.75,24.7,24.7,2300,-0.05,0.05,-0.2,0.2,0.03,-1
2023-05-02,24.73,24.76,24.5,24.75,10431,0.02,0.25,0.08,1.03,0.13,1
2023-05-01,24.68,24.73,24.68,24.73,819,0.05,0.05,0.22,0.22,0.03,1
2023-04-28,24.62,24.69,24.56,24.56,1880,-0.06,0.13,-0.25,0.54,0.07,-1
2023-04-27,24.52,24.71,24.52,24.7,2022,0.18,0.19,0.73,0.77,0.1,1
2023-04-26,24.48,24.62,24.48,24.62,849,0.14,0.14,0.56,0.56,0.07,-1
2023-04-25,24.7,24.72,24.62,24.62,1060,-0.08,0.1,-0.32,0.41,0.05,-1
2023-04-24,24.65,24.67,24.65,24.65,4889,0.0,0.02,0.0,0.08,0.01,-1
2023-04-21,24.7,24.7,24.66,24.66,548,-0.04,0.04,-0.16,0.16,0.02,-1
2023-04-20,24.58,24.68,24.58,24.68,925,0.1,0.1,0.41,0.41,0.05,1
2023-04-19,24.6,24.6,24.6,24.6,419,0.0,0.0,0.0,0.0,0.0,-1
2023-04-18,24.7,24.72,24.65,24.7,4691,0.0,0.07,0.01,0.28,0.04,-1
2023-04-17,24.69,24.7,24.65,24.7,4596,0.01,0.05,0.04,0.2,0.03,1
2023-04-14,24.68,24.68,24.68,24.68,52,0.0,0.0,0.0,0.0,0.0,-1
2023-04-13,24.68,24.68,24.68,24.68,202,0.0,0.0,0.0,0.0,0.0,1
2023-04-12,24.6,24.6,24.45,24.55,481,-0.05,0.15,-0.2,0.61,0.08,-1
2023-04-11,24.5,24.57,24.5,24.57,1636,0.07,0.07,0.28,0.28,0.04,1
2023-04-10,24.53,24.53,24.53,24.53,128,0.0,0.0,0.0,0.0,0.0,-1
2023-04-06,24.5,24.55,24.45,24.53,2673,0.03,0.1,0.11,0.41,0.05,1
2023-04-05,24.54,24.55,24.51,24.51,2285,-0.03,0.04,-0.14,0.16,0.02,1
2023-04-04,24.44,24.48,24.44,24.48,882,0.03,0.03,0.12,0.12,0.02,1
2023-04-03,24.49,24.49,24.4,24.44,3683,-0.05,0.09,-0.21,0.37,0.04,1
2023-03-31,24.32,24.46,24.32,24.4,12072,0.08,0.14,0.33,0.57,0.07,1
2023-03-30,24.45,24.45,24.36,24.36,911,-0.09,0.09,-0.37,0.39,0.05,-1
2023-03-29,24.4,24.46,24.4,24.43,3620,0.03,0.06,0.12,0.25,0.03,1
2023-03-28,24.3,24.39,24.3,24.35,3358,0.05,0.09,0.19,0.37,0.04,-1
2023-03-27,24.3,24.35,24.3,24.35,6101,0.05,0.05,0.2,0.21,0.03,-1
2023-03-24,24.37,24.39,24.35,24.35,956,-0.02,0.04,-0.06,0.16,0.02,-1
