Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-26,1.16,1.26,1.14,1.18,304901,0.02,0.12,1.69,10.17,0.06,1
2023-07-25,1.13,1.22,0.99,1.13,196590,0.0,0.23,0.0,20.07,0.11,1
2023-07-24,1.06,1.15,1.02,1.11,126904,0.05,0.13,4.5,11.71,0.06,1
2023-07-21,1.02,1.14,1.01,1.04,60593,0.02,0.13,1.92,12.5,0.06,1
2023-07-20,1.03,1.06,0.96,1.0,62287,-0.03,0.11,-2.94,10.5,0.05,-1
2023-07-19,1.04,1.05,1.0,1.04,22840,-0.0,0.05,-0.04,4.81,0.03,-1
2023-07-18,0.96,1.09,0.91,1.05,68752,0.09,0.18,8.57,17.09,0.09,1
2023-07-17,1.03,1.08,0.92,0.94,70478,-0.09,0.16,-10.11,17.43,0.08,-1
2023-07-14,1.08,1.11,1.03,1.05,56951,-0.03,0.08,-2.86,7.62,0.04,-1
2023-07-13,1.03,1.11,1.03,1.05,88753,0.02,0.08,1.9,7.62,0.04,-1
2023-07-12,1.03,1.15,1.03,1.05,140968,0.02,0.12,1.9,11.43,0.06,-1
2023-07-11,1.02,1.11,0.96,1.07,101038,0.05,0.15,4.67,13.58,0.07,1
2023-07-10,1.03,1.07,0.94,1.01,101058,-0.02,0.13,-1.52,12.73,0.06,1
2023-07-07,0.91,1.02,0.85,0.96,69214,0.05,0.17,5.21,17.71,0.09,1
2023-07-06,0.9,0.94,0.86,0.9,42648,0.0,0.07,0.02,8.03,0.04,-1
2023-07-05,0.97,1.01,0.9,0.96,115346,-0.01,0.11,-1.1,11.46,0.05,1
2023-07-03,1.02,1.02,0.93,0.95,14710,-0.07,0.09,-7.09,9.45,0.04,-1
2023-06-30,0.91,1.0,0.91,0.95,92430,0.04,0.09,4.22,9.47,0.04,1
2023-06-29,0.97,1.02,0.88,0.89,123822,-0.08,0.14,-8.99,15.73,0.07,-1
2023-06-28,1.06,1.07,0.97,0.97,88377,-0.09,0.1,-9.28,10.31,0.05,-1
2023-06-27,0.97,1.07,0.96,1.03,69333,0.06,0.11,5.53,10.68,0.06,1
2023-06-26,0.93,1.05,0.93,0.94,117954,0.01,0.12,1.06,12.77,0.06,1
2023-06-23,0.97,1.03,0.89,0.9,144656,-0.07,0.14,-7.77,15.55,0.07,-1
2023-06-22,1.06,1.08,0.94,0.97,160925,-0.09,0.14,-9.28,14.3,0.07,-1
2023-06-21,1.13,1.14,1.0,1.03,146644,-0.1,0.14,-9.71,13.62,0.07,-1
2023-06-20,1.07,1.15,1.0,1.07,125784,0.0,0.15,0.0,14.02,0.07,-1
2023-06-16,1.09,1.15,1.07,1.08,90721,-0.01,0.08,-0.93,7.41,0.04,-1
2023-06-15,1.07,1.13,1.05,1.09,87859,0.02,0.08,1.83,7.34,0.04,1
2023-06-14,1.02,1.07,1.0,1.07,51279,0.05,0.07,4.67,6.52,0.03,1
2023-06-13,0.93,1.01,0.93,1.0,46749,0.07,0.08,7.0,8.0,0.04,1
2023-06-12,0.91,0.98,0.87,0.95,75353,0.04,0.11,4.22,11.57,0.05,1
2023-06-09,0.87,0.91,0.86,0.88,22929,0.01,0.05,1.22,6.2,0.03,-1
2023-06-08,0.86,0.9,0.82,0.89,13125,0.03,0.08,2.94,8.99,0.04,1
2023-06-07,0.84,0.84,0.84,0.84,1338,0.0,0.0,0.0,0.0,0.0,-1
2023-06-06,0.82,0.87,0.82,0.86,9813,0.04,0.05,4.38,6.13,0.03,1
2023-06-05,0.89,0.89,0.82,0.83,36776,-0.06,0.07,-7.53,8.13,0.03,-1
2023-06-02,0.85,0.91,0.83,0.85,32683,0.0,0.08,0.0,9.29,0.04,-1
2023-06-01,0.92,0.92,0.85,0.86,15860,-0.06,0.07,-6.98,8.14,0.04,1
2023-05-31,0.89,0.92,0.84,0.85,11734,-0.04,0.08,-4.69,9.4,0.04,-1
2023-05-30,0.92,0.92,0.84,0.88,10876,-0.04,0.08,-4.08,9.04,0.04,1
2023-05-26,0.87,0.92,0.83,0.87,81211,0.0,0.09,0.06,10.11,0.04,-1
2023-05-25,0.87,0.9,0.85,0.9,19806,0.03,0.05,3.28,5.5,0.02,-1
2023-05-24,0.86,0.91,0.82,0.9,20512,0.04,0.09,4.44,9.99,0.04,1
2023-05-23,0.91,0.91,0.79,0.83,91623,-0.08,0.12,-9.53,14.78,0.06,-1
2023-05-22,0.9,0.95,0.86,0.9,21783,0.0,0.09,0.02,9.81,0.04,-1
2023-05-19,0.98,1.1,0.87,0.92,78443,-0.06,0.23,-6.52,24.54,0.11,-1
2023-05-18,0.9,1.0,0.86,0.98,26784,0.08,0.14,8.16,14.29,0.07,1
2023-05-17,0.8,0.92,0.8,0.87,11937,0.07,0.12,8.16,13.76,0.06,1
2023-05-16,0.8,0.91,0.75,0.84,109791,0.04,0.16,4.76,18.75,0.08,1
2023-05-15,0.85,0.88,0.75,0.78,39948,-0.07,0.13,-9.68,16.18,0.06,-1
2023-05-12,0.82,0.92,0.81,0.82,54342,0.0,0.11,0.0,13.16,0.05,-1
2023-05-11,0.87,0.95,0.79,0.82,61606,-0.05,0.16,-6.46,19.27,0.08,-1
2023-05-10,1.02,1.05,0.84,0.87,87072,-0.15,0.21,-16.84,23.65,0.1,-1
2023-05-09,0.85,1.08,0.85,1.0,73729,0.15,0.23,15.0,22.94,0.11,1
2023-05-08,1.15,1.15,0.9,0.97,74729,-0.18,0.25,-18.56,25.75,0.12,-1
2023-05-05,1.05,1.16,0.92,1.06,152180,0.01,0.24,0.94,22.64,0.12,1
2023-05-04,0.95,1.04,0.84,0.92,29867,-0.03,0.2,-3.26,21.2,0.1,-1
2023-05-03,0.82,1.05,0.82,0.96,89142,0.14,0.23,14.47,23.98,0.11,1
2023-05-02,0.83,0.9,0.83,0.85,18783,0.02,0.07,2.37,8.65,0.04,-1
2023-05-01,0.9,0.97,0.84,0.86,98142,-0.04,0.13,-4.65,15.12,0.06,-1
2023-04-28,0.95,1.03,0.8,0.87,324934,-0.08,0.23,-9.21,26.44,0.12,-1
2023-04-27,0.92,1.0,0.92,0.95,50815,0.03,0.08,3.16,8.42,0.04,-1
2023-04-26,1.02,1.02,0.9,0.95,61587,-0.07,0.12,-7.37,12.63,0.06,-1
2023-04-25,1.03,1.04,0.96,0.98,29794,-0.05,0.08,-5.11,8.16,0.04,-1
2023-04-24,1.07,1.09,1.01,1.05,35402,-0.02,0.08,-1.9,7.62,0.04,-1
2023-04-21,1.09,1.12,1.08,1.09,22932,0.0,0.04,0.0,3.67,0.02,-1
2023-04-20,1.06,1.14,1.06,1.13,16814,0.07,0.08,6.19,7.22,0.04,1
2023-04-19,1.07,1.11,1.05,1.06,22173,-0.01,0.06,-0.94,5.66,0.03,-1
2023-04-18,1.25,1.27,1.09,1.1,68370,-0.15,0.18,-13.65,16.18,0.09,-1
2023-04-17,1.3,1.32,1.04,1.25,44691,-0.05,0.28,-4.26,22.4,0.14,-1
2023-04-14,1.34,1.39,1.29,1.32,33886,-0.02,0.1,-1.52,7.58,0.05,-1
2023-04-13,1.29,1.45,1.28,1.32,159014,0.03,0.17,2.27,12.88,0.08,1
2023-04-12,1.24,1.31,1.15,1.26,100127,0.02,0.16,1.59,12.7,0.08,1
2023-04-11,1.25,1.3,1.2,1.24,92284,-0.01,0.1,-0.81,8.06,0.05,-1
2023-04-10,1.3,1.3,1.24,1.25,44476,-0.05,0.06,-4.0,4.8,0.03,1
2023-04-06,1.13,1.34,1.12,1.24,166414,0.11,0.22,8.87,17.74,0.11,1
2023-04-05,1.14,1.15,1.05,1.1,62185,-0.04,0.1,-3.64,8.96,0.05,-1
