Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-14,32.15,32.78,32.01,32.19,373737,0.04,0.77,0.12,2.38,0.38,-1
2023-07-13,31.88,32.66,31.88,32.32,410798,0.44,0.79,1.36,2.43,0.39,1
2023-07-12,31.74,31.84,31.04,31.8,525814,0.06,0.8,0.19,2.52,0.4,-1
2023-07-11,31.03,31.99,31.03,31.82,349198,0.79,0.96,2.48,3.02,0.48,1
2023-07-10,30.86,31.56,30.83,31.34,390092,0.48,0.73,1.53,2.34,0.37,1
2023-07-07,31.09,31.59,30.83,31.08,662198,-0.01,0.76,-0.03,2.45,0.38,1
2023-07-06,31.29,31.29,30.3,31.01,676296,-0.28,0.99,-0.9,3.21,0.5,-1
2023-07-05,31.81,31.97,31.12,31.46,543318,-0.35,0.85,-1.11,2.7,0.42,-1
2023-07-03,31.95,32.46,31.64,32.0,437401,0.05,0.82,0.16,2.55,0.41,1
2023-06-30,30.99,31.6,30.95,31.54,875664,0.55,0.65,1.74,2.06,0.33,1
2023-06-29,29.78,30.76,29.75,30.69,675374,0.91,1.0,2.97,3.27,0.5,1
2023-06-28,28.77,30.22,28.6,29.91,1038176,1.14,1.62,3.81,5.43,0.81,1
2023-06-27,27.66,28.2,27.51,27.75,877826,0.09,0.69,0.32,2.49,0.34,1
2023-06-26,28.62,28.7,27.26,27.43,931658,-1.19,1.44,-4.34,5.25,0.72,-1
2023-06-23,29.3,29.73,28.69,28.9,3112577,-0.4,1.04,-1.38,3.6,0.52,-1
2023-06-22,30.24,30.36,29.53,29.71,533424,-0.53,0.83,-1.78,2.79,0.41,-1
2023-06-21,31.17,31.44,30.25,30.45,624341,-0.72,1.19,-2.36,3.91,0.6,-1
2023-06-20,32.76,33.08,31.24,31.25,903538,-1.51,1.84,-4.83,5.89,0.92,-1
2023-06-16,33.74,34.38,32.45,32.76,2022290,-0.98,1.93,-3.01,5.9,0.97,1
2023-06-15,30.44,31.52,29.78,31.39,754245,0.95,1.74,3.03,5.54,0.87,1
2023-06-14,30.84,31.01,30.23,30.65,526360,-0.19,0.78,-0.62,2.54,0.39,-1
2023-06-13,31.0,31.75,30.78,31.14,999516,0.14,0.97,0.45,3.11,0.48,1
2023-06-12,29.92,30.75,29.73,30.75,497467,0.83,1.02,2.7,3.32,0.51,1
2023-06-09,29.73,30.4,29.48,29.64,445023,-0.09,0.92,-0.3,3.12,0.46,-1
2023-06-08,29.74,30.37,29.63,29.93,448697,0.19,0.74,0.63,2.47,0.37,1
2023-06-07,30.85,31.39,29.69,29.79,543731,-1.06,1.7,-3.56,5.71,0.85,-1
2023-06-06,29.65,30.97,29.53,30.81,793779,1.16,1.44,3.77,4.67,0.72,1
2023-06-05,29.8,30.02,29.29,29.72,455059,-0.08,0.73,-0.27,2.44,0.36,-1
2023-06-02,29.72,30.16,29.47,29.97,498583,0.25,0.69,0.83,2.3,0.35,1
2023-06-01,29.1,29.7,28.45,29.45,556938,0.35,1.25,1.19,4.24,0.62,1
2023-05-31,28.66,29.45,28.54,29.39,1240265,0.73,0.91,2.48,3.1,0.46,1
2023-05-30,29.08,29.42,28.45,28.68,426703,-0.4,0.97,-1.39,3.38,0.49,-1
2023-05-26,29.13,29.97,29.0,29.12,470846,-0.01,0.96,-0.03,3.31,0.48,-1
2023-05-25,29.81,29.88,29.17,29.25,524293,-0.56,0.71,-1.91,2.43,0.35,-1
2023-05-24,29.6,30.14,29.42,29.64,429136,0.04,0.71,0.13,2.41,0.36,-1
2023-05-23,29.41,30.29,29.32,29.8,550527,0.39,0.97,1.31,3.26,0.48,1
2023-05-22,29.46,30.18,29.37,29.61,419289,0.15,0.81,0.51,2.75,0.41,1
2023-05-19,29.47,29.63,29.11,29.6,542977,0.13,0.52,0.44,1.76,0.26,1
2023-05-18,28.28,29.49,28.2,29.47,602634,1.19,1.29,4.04,4.38,0.65,1
2023-05-17,28.59,28.99,27.34,28.28,632363,-0.31,1.65,-1.1,5.83,0.82,1
2023-05-16,28.1,29.15,27.63,28.26,730042,0.16,1.52,0.57,5.38,0.76,1
2023-05-15,28.0,28.84,27.82,28.24,767766,0.24,1.02,0.85,3.61,0.51,1
2023-05-12,27.84,28.46,27.48,28.09,578428,0.25,0.98,0.89,3.49,0.49,1
2023-05-11,28.74,28.83,27.91,28.08,950242,-0.66,0.92,-2.35,3.28,0.46,-1
2023-05-10,28.09,29.38,28.02,28.84,623100,0.75,1.36,2.6,4.73,0.68,1
2023-05-09,29.18,29.7,27.1,27.65,1142339,-1.53,2.6,-5.53,9.4,1.3,-1
2023-05-08,27.55,28.04,27.35,27.66,1066242,0.11,0.69,0.4,2.49,0.34,1
2023-05-05,26.26,27.62,25.6,27.48,1143853,1.22,2.02,4.44,7.35,1.01,1
2023-05-04,26.53,27.0,25.93,26.22,1223665,-0.31,1.07,-1.18,4.08,0.54,-1
2023-05-03,30.51,30.59,26.13,26.39,2183405,-4.12,4.46,-15.61,16.9,2.23,-1
2023-05-02,31.78,31.9,30.96,31.13,1060060,-0.65,0.94,-2.09,3.02,0.47,-1
2023-05-01,30.97,31.88,30.97,31.84,558202,0.87,0.91,2.73,2.86,0.46,1
2023-04-28,30.9,31.49,30.64,31.1,632065,0.2,0.85,0.64,2.73,0.42,-1
2023-04-27,31.55,31.62,30.68,31.5,458984,-0.05,0.94,-0.16,2.98,0.47,1
2023-04-26,32.19,32.75,31.19,31.3,687364,-0.89,1.56,-2.84,4.98,0.78,-1
2023-04-25,33.15,33.2,31.26,31.45,846796,-1.7,1.94,-5.41,6.17,0.97,1
2023-04-24,31.36,31.8,30.65,30.71,612241,-0.65,1.15,-2.12,3.74,0.58,-1
2023-04-21,31.35,31.82,31.27,31.65,365028,0.3,0.55,0.95,1.74,0.28,1
