Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-07,7.09,7.24,7.03,7.14,16536,0.05,0.21,0.7,2.94,0.1,6.28,6.6,0.16,0.2,-0.04,-1696642,11.59,71.67,30.0,1.0,41.67,Weak Buy Signal,7.75,6.28,4.81,0.47,52.31,Target Volume,Expected Range,8.68,Absent or Weak Trend
2023-07-06,7.13,7.13,6.91,7.08,20860,-0.05,0.22,-0.71,3.11,0.11,6.25,6.58,0.17,0.21,-0.05,-1713178,10.44,73.33,31.67,1.0,41.67,Weak Buy Signal,7.72,6.25,4.79,0.47,52.02,Target Volume,Expected Range,8.63,Absent or Weak Trend
2023-07-05,7.24,7.31,6.99,7.0,37155,-0.24,0.32,-3.43,4.54,0.16,6.22,6.56,0.17,0.22,-0.05,-1734038,11.5,75.0,0.0,1.0,75.0,Strong Buy Signal,7.69,6.22,4.76,0.47,51.63,Target Volume,Expected Range,8.6,Absent or Weak Trend
2023-07-03,7.13,7.23,7.1,7.1,13730,-0.03,0.13,-0.42,1.83,0.07,6.2,6.55,0.19,0.24,-0.05,-1696883,12.9,76.67,1.67,1.0,75.0,Strong Buy Signal,7.66,6.2,4.74,0.47,52.15,Target Volume,Expected Range,8.55,Absent or Weak Trend
2023-06-30,7.14,7.24,7.09,7.2,23959,0.06,0.15,0.83,2.08,0.08,6.17,6.53,0.2,0.25,-0.05,-1683153,12.9,78.33,0.0,1.0,78.33,Strong Buy Signal,7.63,6.17,4.7,0.47,52.67,Target Volume,Expected Range,8.48,Absent or Weak Trend
2023-06-29,7.05,7.25,6.97,6.99,28528,-0.06,0.28,-0.86,4.01,0.14,6.14,6.5,0.2,0.26,-0.06,-1707112,12.9,80.0,0.0,1.0,80.0,Strong Buy Signal,7.59,6.14,4.68,0.47,51.67,Target Volume,Expected Range,8.4,Absent or Weak Trend
2023-06-28,7.0,7.14,6.99,7.11,13822,0.11,0.15,1.55,2.08,0.07,6.11,6.49,0.22,0.28,-0.06,-1678584,11.83,81.67,0.0,1.0,81.67,Strong Buy Signal,7.56,6.11,4.65,0.48,52.29,Target Volume,Expected Range,8.32,Absent or Weak Trend
2023-06-27,6.85,7.07,6.85,7.07,30851,0.22,0.22,3.11,3.11,0.11,6.08,6.47,0.22,0.29,-0.07,-1692406,11.14,83.33,1.67,1.0,81.67,Strong Buy Signal,7.52,6.08,4.63,0.48,52.1,Target Volume,Expected Range,8.27,Absent or Weak Trend
2023-06-26,6.82,7.01,6.78,6.83,18769,0.01,0.22,0.15,3.29,0.11,6.04,6.45,0.23,0.31,-0.07,-1723257,10.55,85.0,3.33,1.0,81.67,Strong Buy Signal,7.49,6.04,4.6,0.48,50.96,Target Volume,Expected Range,8.22,Absent or Weak Trend
2023-06-23,6.92,6.97,6.79,6.87,27017,-0.05,0.18,-0.73,2.56,0.09,6.02,6.43,0.27,0.32,-0.06,-1704488,10.17,86.67,5.0,1.0,81.67,Strong Buy Signal,7.46,6.02,4.57,0.48,51.16,Target Volume,Expected Range,8.18,Absent or Weak Trend
2023-06-22,7.27,7.27,6.82,7.04,96457,-0.23,0.45,-3.27,6.39,0.22,5.99,6.42,0.3,0.34,-0.04,-1677471,10.47,88.33,6.67,1.0,81.67,Strong Buy Signal,7.43,5.99,4.54,0.48,52.01,Target Volume,Expected Range,8.14,Absent or Weak Trend
2023-06-21,7.24,7.34,6.97,7.05,36346,-0.19,0.37,-2.7,5.25,0.19,5.96,6.4,0.32,0.35,-0.03,-1581014,12.25,90.0,8.33,1.0,81.67,Strong Buy Signal,7.39,5.96,4.53,0.48,52.06,Target Volume,Expected Range,8.1,Absent or Weak Trend
2023-06-20,7.24,7.35,7.16,7.24,38059,0.0,0.19,0.0,2.62,0.09,5.93,6.38,0.34,0.36,-0.01,-1544668,14.54,91.67,10.0,1.0,81.67,Strong Buy Signal,7.34,5.93,4.52,0.48,53.02,Target Volume,Expected Range,8.03,Absent or Weak Trend
