Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-27,4.89,4.92,4.86,4.87,2015156,-0.02,0.06,-0.41,1.23,0.03,4.76,4.77,0.05,0.06,-0.0,-112083869,1.78,90.0,60.0,1.0,30.0,Weak Buy Signal,5.01,4.76,4.51,0.1,51.83,Target Volume,Expected Range,5.53,Absent or Weak Trend
2023-07-26,4.9,4.93,4.89,4.91,1720914,0.01,0.04,0.2,0.81,0.02,4.76,4.77,0.06,0.06,0.0,-110068713,2.96,91.67,61.67,1.0,30.0,Weak Buy Signal,5.0,4.76,4.51,0.1,52.56,Target Volume,Expected Range,5.6,Absent or Weak Trend
2023-07-25,4.88,4.92,4.88,4.91,1038502,0.03,0.04,0.61,0.81,0.02,4.75,4.76,0.07,0.06,0.01,-110068713,2.59,93.33,63.33,1.0,30.0,Weak Buy Signal,5.0,4.75,4.51,0.1,52.56,Target Volume,Expected Range,5.64,Absent or Weak Trend
2023-07-24,4.92,4.92,4.89,4.9,660171,-0.02,0.04,-0.41,0.71,0.02,4.75,4.76,0.07,0.05,0.02,-111107215,2.97,95.0,0.0,1.0,95.0,Strong Buy Signal,4.99,4.75,4.51,0.1,52.4,Target Volume,Expected Range,5.69,Absent or Weak Trend
2023-07-21,4.91,4.97,4.91,4.95,2782692,0.04,0.06,0.81,1.21,0.03,4.74,4.75,0.08,0.05,0.03,-110447044,3.74,96.67,0.0,1.0,96.67,Strong Buy Signal,4.99,4.74,4.5,0.1,53.3,Target Volume,Expected Range,5.74,Absent or Weak Trend
2023-07-20,4.94,4.97,4.83,4.91,4810413,-0.03,0.14,-0.61,2.85,0.07,4.74,4.75,0.08,0.04,0.03,-113229736,3.74,98.33,1.67,1.0,96.67,Strong Buy Signal,4.98,4.74,4.49,0.1,52.66,Target Volume,Expected Range,5.77,Absent or Weak Trend
2023-07-19,5.09,5.12,5.08,5.11,2513587,0.02,0.04,0.39,0.88,0.02,4.73,4.74,0.08,0.04,0.05,-108419323,13.73,100.0,0.0,1.0,100.0,Strong Buy Signal,4.98,4.73,4.48,0.1,56.44,Target Volume,Expected Range,5.81,Absent or Weak Trend
2023-07-18,5.05,5.1,5.04,5.09,1816986,0.04,0.06,0.79,1.18,0.03,4.72,4.73,0.07,0.03,0.04,-110932910,13.05,100.0,0.0,1.0,100.0,Strong Buy Signal,4.96,4.72,4.48,0.1,56.13,Target Volume,Expected Range,5.67,Absent or Weak Trend
2023-07-17,5.0,5.08,5.0,5.05,2238594,0.05,0.08,0.99,1.58,0.04,4.71,4.72,0.05,0.01,0.03,-112749896,12.38,100.0,0.0,1.0,100.0,Strong Buy Signal,4.94,4.71,4.48,0.1,55.51,Target Volume,Expected Range,5.55,Absent or Weak Trend
2023-07-14,4.87,4.96,4.87,4.92,3450827,0.05,0.09,1.02,1.83,0.04,4.7,4.71,0.02,0.01,0.02,-114988490,8.2,100.0,1.67,1.0,98.33,Strong Buy Signal,4.93,4.7,4.46,0.1,53.4,Target Volume,Expected Range,5.43,Absent or Weak Trend
2023-07-13,4.75,4.81,4.74,4.8,3235150,0.05,0.07,1.04,1.56,0.04,4.69,4.7,0.01,0.0,0.01,-118439317,2.48,55.0,3.33,1.0,51.67,Weak Buy Signal,4.92,4.69,4.45,0.1,51.29,Target Volume,Expected Range,5.39,Absent or Weak Trend
